Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Sne-ATaw_009-Ex1-lcwgs.clmp.fp2_r2_screen	402800.0	354867.0	48547.0	31549.0	19404.0	4788.0	4610.0	1726.0	104.0	17.0	0.0	1254501.0	24118286.0
Sne-ATaw_010-Ex1-lcwgs.clmp.fp2_r1_screen	4752064.0	377673.0	38099.0	16223.0	10146.0	2314.0	2458.0	1169.0	119.0	0.0	0.0	3415158.0	17918061.0
Sne-ATaw_010-Ex1-lcwgs.clmp.fp2_r2_screen	4726598.0	372514.0	37691.0	16010.0	9831.0	2304.0	2380.0	1173.0	38.0	14.0	0.0	3354003.0	18010928.0
Sne-ATaw_011-Ex1-lcwgs.clmp.fp2_r1_screen	317081.0	398330.0	52585.0	36229.0	24380.0	6640.0	6834.0	1443.0	197.0	1.0	0.0	1181062.0	24687370.0
Sne-ATaw_011-Ex1-lcwgs.clmp.fp2_r2_screen	313501.0	393307.0	51277.0	35310.0	24084.0	6568.0	6577.0	1389.0	157.0	1.0	0.0	1173912.0	24706069.0
Sne-ATaw_012-Ex1-lcwgs.clmp.fp2_r1_screen	2848444.0	463374.0	24574.0	18462.0	11679.0	3199.0	3034.0	1630.0	188.0	3.0	0.0	2213572.0	17911248.0
Sne-ATaw_012-Ex1-lcwgs.clmp.fp2_r2_screen	2823773.0	456626.0	24054.0	17876.0	11382.0	3023.0	2951.0	1513.0	60.0	13.0	0.0	2169340.0	17988796.0
Sne-ATaw_013-Ex1-lcwgs.clmp.fp2_r1_screen	4497588.0	334410.0	38924.0	24964.0	16294.0	4273.0	4493.0	1388.0	232.0	3.0	0.0	2347698.0	18088180.0
Sne-ATaw_013-Ex1-lcwgs.clmp.fp2_r2_screen	4506532.0	328027.0	38795.0	23975.0	15702.0	4248.0	4327.0	1368.0	100.0	20.0	0.0	2301528.0	18133825.0
Sne-ATaw_014-Ex1-lcwgs.clmp.fp2_r1_screen	499142.0	337784.0	41775.0	30434.0	18951.0	4845.0	4949.0	1563.0	139.0	0.0	0.0	1327030.0	20698045.0
Sne-ATaw_014-Ex1-lcwgs.clmp.fp2_r2_screen	497733.0	335379.0	41074.0	29763.0	18426.0	4681.0	4741.0	1401.0	153.0	3.0	0.0	1317183.0	20714120.0
Sne-ATaw_015-Ex1-lcwgs.clmp.fp2_r1_screen	1223714.0	216770.0	71247.0	13509.0	3715.0	833.0	910.0	1903.0	204.0	3.0	0.0	1398442.0	9426461.0
Sne-ATaw_015-Ex1-lcwgs.clmp.fp2_r2_screen	1215675.0	211697.0	71309.0	13159.0	3766.0	794.0	877.0	1776.0	35.0	28.0	0.0	1375060.0	9463535.0
Sne-ATaw_016-Ex1-lcwgs.clmp.fp2_r1_screen	579847.0	301245.0	46535.0	24800.0	12658.0	3288.0	3565.0	2188.0	368.0	7.0	0.0	1216661.0	16714456.0
Sne-ATaw_016-Ex1-lcwgs.clmp.fp2_r2_screen	576571.0	290601.0	46023.0	23684.0	12203.0	3247.0	3382.0	1976.0	120.0	36.0	0.0	1201179.0	16746596.0
Sne-ATaw_017-Ex1-lcwgs.clmp.fp2_r1_screen	3591099.0	342052.0	38043.0	25019.0	17129.0	4496.0	4400.0	1474.0	102.0	0.0	0.0	2203373.0	24676964.0
Sne-ATaw_017-Ex1-lcwgs.clmp.fp2_r2_screen	3589222.0	340811.0	37392.0	24213.0	16819.0	4502.0	4315.0	1358.0	64.0	3.0	0.0	2165222.0	24720230.0
Sne-ATaw_018-Ex1-lcwgs.clmp.fp2_r1_screen	1961635.0	556736.0	62251.0	46264.0	30464.0	7356.0	7386.0	2130.0	366.0	1.0	0.0	2785318.0	33961799.0
Sne-ATaw_018-Ex1-lcwgs.clmp.fp2_r2_screen	1954228.0	546053.0	61031.0	44387.0	30063.0	7205.0	7107.0	1923.0	106.0	10.0	0.0	2748661.0	34020932.0
Sne-ATaw_019-Ex1-lcwgs.clmp.fp2_r1_screen	4441453.0	315479.0	7374.0	5100.0	2709.0	723.0	722.0	920.0	101.0	0.0	0.0	2630626.0	9555870.0
Sne-ATaw_019-Ex1-lcwgs.clmp.fp2_r2_screen	4397621.0	308921.0	7376.0	5171.0	2804.0	646.0	713.0	909.0	40.0	4.0	0.0	2543617.0	9693255.0
Sne-ATaw_020-Ex1-lcwgs.clmp.fp2_r1_screen	901008.0	354949.0	53642.0	33291.0	17131.0	4855.0	4785.0	2541.0	203.0	2.0	0.0	1373656.0	22586613.0
Sne-ATaw_020-Ex1-lcwgs.clmp.fp2_r2_screen	894175.0	353584.0	53010.0	32277.0	16477.0	4632.0	4638.0	2587.0	72.0	25.0	0.0	1356720.0	22614479.0
Sne-ATaw_021-Ex1-lcwgs.clmp.fp2_r1_screen	2956133.0	370407.0	36493.0	41644.0	17040.0	4485.0	4665.0	1292.0	197.0	1.0	0.0	2344803.0	20638749.0
Sne-ATaw_021-Ex1-lcwgs.clmp.fp2_r2_screen	2940573.0	366364.0	36404.0	40631.0	16833.0	4390.0	4430.0	1291.0	68.0	15.0	0.0	2302763.0	20702147.0
Sne-ATaw_022-Ex1-lcwgs.clmp.fp2_r1_screen	174886.0	374152.0	54700.0	34321.0	22819.0	6122.0	6250.0	1364.0	252.0	0.0	0.0	1098548.0	23381392.0
Sne-ATaw_022-Ex1-lcwgs.clmp.fp2_r2_screen	174055.0	371970.0	53538.0	33556.0	22572.0	5838.0	5943.0	1294.0	78.0	4.0	0.0	1094504.0	23391454.0
Sne-ATaw_023-Ex1-lcwgs.clmp.fp2_r1_screen	554566.0	358777.0	45984.0	32157.0	17334.0	4325.0	4438.0	2038.0	227.0	1.0	0.0	1435405.0	21085032.0
Sne-ATaw_023-Ex1-lcwgs.clmp.fp2_r2_screen	549955.0	352804.0	45716.0	31098.0	16818.0	4242.0	4113.0	1882.0	65.0	7.0	0.0	1420304.0	21113280.0
Sne-ATaw_024-Ex1-lcwgs.clmp.fp2_r1_screen	782195.0	284588.0	50980.0	20907.0	10330.0	1853.0	2166.0	3606.0	263.0	2.0	0.0	1334853.0	19815713.0
Sne-ATaw_024-Ex1-lcwgs.clmp.fp2_r2_screen	777665.0	276966.0	51064.0	19928.0	10103.0	1803.0	2062.0	3506.0	93.0	12.0	0.0	1319542.0	19844712.0
Sne-ATaw_025-Ex1-lcwgs.clmp.fp2_r1_screen	209027.0	338642.0	38934.0	27976.0	19019.0	4951.0	4897.0	1550.0	171.0	1.0	0.0	994219.0	24887909.0
Sne-ATaw_025-Ex1-lcwgs.clmp.fp2_r2_screen	208215.0	333403.0	38024.0	27474.0	18903.0	4658.0	4807.0	1432.0	80.0	6.0	0.0	989122.0	24901172.0
Sne-ATaw_026-Ex1-lcwgs.clmp.fp2_r1_screen	1001448.0	412175.0	61650.0	35485.0	22284.0	6422.0	6356.0	2412.0	172.0	0.0	0.0	1557417.0	27859484.0
Sne-ATaw_026-Ex1-lcwgs.clmp.fp2_r2_screen	994340.0	409424.0	60904.0	34590.0	21970.0	6347.0	6031.0	2356.0	64.0	3.0	0.0	1548116.0	27881160.0
Sne-ATaw_027-Ex1-lcwgs.clmp.fp2_r1_screen	94368.0	302113.0	38224.0	27069.0	17956.0	4971.0	5017.0	1096.0	127.0	1.0	0.0	889338.0	17450275.0
Sne-ATaw_027-Ex1-lcwgs.clmp.fp2_r2_screen	93696.0	300743.0	37443.0	26709.0	17421.0	4858.0	4922.0	1027.0	90.0	2.0	0.0	885837.0	17457807.0
Sne-CTaw_004-Ex1-lcwgs.clmp.fp2_r1_screen	117606.0	346465.0	82107.0	35356.0	21042.0	4824.0	4543.0	1621.0	48.0	1.0	0.0	1456008.0	28820231.0
Sne-CTaw_004-Ex1-lcwgs.clmp.fp2_r2_screen	117225.0	345911.0	81598.0	34750.0	20652.0	4581.0	4479.0	1497.0	32.0	1.0	0.0	1449628.0	28829498.0
Sne-CTaw_005-Ex1-lcwgs.clmp.fp2_r1_screen	15104.0	167400.0	18479.0	14669.0	10808.0	2776.0	2624.0	611.0	23.0	0.0	0.0	590424.0	14792216.0
Sne-CTaw_005-Ex1-lcwgs.clmp.fp2_r2_screen	15290.0	167399.0	18412.0	14213.0	10402.0	2707.0	2479.0	651.0	19.0	0.0	0.0	589785.0	14793777.0
Sne-CTaw_006-Ex1-lcwgs.clmp.fp2_r1_screen	61441.0	854178.0	90417.0	82987.0	48324.0	13122.0	12921.0	3427.0	234.0	0.0	0.0	3988796.0	50946945.0
Sne-CTaw_006-Ex1-lcwgs.clmp.fp2_r2_screen	61905.0	853910.0	89738.0	82565.0	47111.0	12810.0	12538.0	3331.0	163.0	0.0	0.0	3997386.0	50941335.0
Sne-CTaw_008-Ex1-lcwgs.clmp.fp2_r1_screen	2622.0	46768.0	4922.0	4040.0	2844.0	712.0	654.0	180.0	17.0	0.0	0.0	172245.0	3895117.0
Sne-CTaw_008-Ex1-lcwgs.clmp.fp2_r2_screen	2614.0	47075.0	5081.0	4040.0	2896.0	707.0	644.0	184.0	4.0	0.0	0.0	172585.0	3894291.0
Sne-CTaw_009-Ex1-lcwgs.clmp.fp2_r1_screen	77449.0	432426.0	46654.0	39815.0	27826.0	6077.0	5931.0	1734.0	100.0	0.0	0.0	1690012.0	38371684.0
Sne-CTaw_009-Ex1-lcwgs.clmp.fp2_r2_screen	77076.0	434141.0	45900.0	39023.0	27522.0	5796.0	5708.0	1791.0	53.0	0.0	0.0	1682874.0	38379824.0
Sne-CTaw_010-Ex1-lcwgs.clmp.fp2_r1_screen	22034.0	388279.0	40956.0	34415.0	24076.0	6069.0	5706.0	1522.0	57.0	0.0	0.0	1439972.0	32781782.0
Sne-CTaw_010-Ex1-lcwgs.clmp.fp2_r2_screen	21931.0	389757.0	40356.0	33875.0	23215.0	5780.0	5500.0	1454.0	46.0	0.0	0.0	1434223.0	32788731.0
Sne-CTaw_011-Ex1-lcwgs.clmp.fp2_r1_screen	2182.0	27247.0	3080.0	2443.0	1696.0	343.0	371.0	100.0	2.0	0.0	0.0	94749.0	2450061.0
Sne-CTaw_011-Ex1-lcwgs.clmp.fp2_r2_screen	2134.0	27327.0	3071.0	2425.0	1675.0	357.0	357.0	101.0	3.0	0.0	0.0	94505.0	2450319.0
Sne-CTaw_012-Ex1-lcwgs.clmp.fp2_r1_screen	848.0	11665.0	1071.0	987.0	702.0	123.0	117.0	32.0	1.0	0.0	0.0	36498.0	978523.0
Sne-CTaw_012-Ex1-lcwgs.clmp.fp2_r2_screen	769.0	11731.0	1078.0	969.0	718.0	145.0	128.0	37.0	0.0	0.0	0.0	36263.0	978729.0
Sne-CTaw_015-Ex1-lcwgs.clmp.fp2_r1_screen	319020.0	990886.0	117659.0	95149.0	85586.0	15140.0	14526.0	4482.0	159.0	0.0	0.0	4034150.0	80859167.0
Sne-CTaw_015-Ex1-lcwgs.clmp.fp2_r2_screen	317842.0	994079.0	115591.0	94020.0	83381.0	14749.0	13994.0	4310.0	148.0	1.0	0.0	4012681.0	80885128.0
Sne-CTaw_016-Ex1-lcwgs.clmp.fp2_r1_screen	72076.0	263294.0	29486.0	24017.0	17375.0	4064.0	3838.0	1160.0	40.0	0.0	0.0	994239.0	23190565.0
Sne-CTaw_016-Ex1-lcwgs.clmp.fp2_r2_screen	71779.0	263345.0	28962.0	23491.0	16835.0	3850.0	3880.0	1077.0	29.0	0.0	0.0	991421.0	23195485.0
Sne-CTaw_020-Ex1-lcwgs.clmp.fp2_r1_screen	21917.0	534250.0	57495.0	48512.0	33814.0	8390.0	8059.0	2044.0	93.0	0.0	0.0	2053451.0	43060194.0
Sne-CTaw_020-Ex1-lcwgs.clmp.fp2_r2_screen	21816.0	533589.0	56569.0	47977.0	33689.0	8004.0	7659.0	2052.0	62.0	0.0	0.0	2047442.0	43069360.0
Sne-CTaw_032-Ex1-lcwgs.clmp.fp2_r1_screen	52276.0	725906.0	98207.0	64753.0	49522.0	13410.0	11143.0	3092.0	173.0	0.0	0.0	2411787.0	68634185.0
Sne-CTaw_032-Ex1-lcwgs.clmp.fp2_r2_screen	52358.0	724858.0	97042.0	63956.0	49484.0	13126.0	10965.0	3014.0	87.0	0.0	0.0	2415379.0	68634185.0
Sne-CTaw_035-Ex1-lcwgs.clmp.fp2_r1_screen	12563.0	137684.0	15996.0	11691.0	9048.0	2390.0	2114.0	509.0	17.0	0.0	0.0	445385.0	13099586.0
Sne-CTaw_035-Ex1-lcwgs.clmp.fp2_r2_screen	12527.0	138406.0	15695.0	11246.0	8978.0	2290.0	2148.0	484.0	12.0	0.0	0.0	442863.0	13102334.0
Sne-CTaw_036-Ex1-lcwgs.clmp.fp2_r1_screen	33017.0	175621.0	22791.0	16948.0	12185.0	3037.0	2921.0	736.0	22.0	0.0	0.0	624082.0	15926747.0
Sne-CTaw_036-Ex1-lcwgs.clmp.fp2_r2_screen	32809.0	176339.0	22686.0	16698.0	11971.0	2930.0	2792.0	707.0	17.0	0.0	0.0	624411.0	15926747.0
Sne-CTaw_037-Ex1-lcwgs.clmp.fp2_r1_screen	50432.0	9959.0	1304.0	624.0	438.0	107.0	94.0	50.0	4.0	0.0	0.0	46655.0	726209.0
Sne-CTaw_037-Ex1-lcwgs.clmp.fp2_r2_screen	50112.0	9807.0	1286.0	635.0	460.0	95.0	90.0	54.0	1.0	0.0	0.0	46292.0	727044.0
Sne-CTaw_038-Ex1-lcwgs.clmp.fp2_r1_screen	128604.0	198103.0	26555.0	18389.0	13533.0	3157.0	2894.0	787.0	37.0	0.0	0.0	659663.0	19291059.0
Sne-CTaw_038-Ex1-lcwgs.clmp.fp2_r2_screen	127929.0	198324.0	25967.0	17862.0	12886.0	2978.0	2797.0	795.0	25.0	1.0	0.0	651987.0	19301230.0
Sne-CTaw_039-Ex1-lcwgs.clmp.fp2_r1_screen	43369.0	26194.0	3403.0	2146.0	1647.0	384.0	345.0	115.0	4.0	0.0	0.0	98534.0	2270254.0
Sne-CTaw_039-Ex1-lcwgs.clmp.fp2_r2_screen	43521.0	26294.0	3299.0	2147.0	1556.0	362.0	334.0	102.0	2.0	0.0	0.0	97790.0	2270988.0
Sne-CTaw_040-Ex1-lcwgs.clmp.fp2_r1_screen	23126.0	55997.0	6309.0	4756.0	3384.0	885.0	830.0	221.0	8.0	0.0	0.0	188052.0	5117712.0
Sne-CTaw_040-Ex1-lcwgs.clmp.fp2_r2_screen	23104.0	56550.0	6332.0	4690.0	3332.0	788.0	806.0	218.0	10.0	0.0	0.0	187198.0	5118252.0
Sne-CTaw_041-Ex1-lcwgs.clmp.fp2_r1_screen	6041.0	18837.0	2276.0	1650.0	1177.0	259.0	277.0	81.0	2.0	0.0	0.0	62629.0	1679177.0
Sne-CTaw_041-Ex1-lcwgs.clmp.fp2_r2_screen	5961.0	18829.0	2176.0	1611.0	1209.0	270.0	269.0	69.0	3.0	0.0	0.0	62123.0	1679886.0
Sne-CTaw_043-Ex1-lcwgs.clmp.fp2_r1_screen	14654.0	296594.0	34611.0	25243.0	18952.0	5256.0	4945.0	1156.0	79.0	0.0	0.0	1014458.0	25350541.0
Sne-CTaw_043-Ex1-lcwgs.clmp.fp2_r2_screen	14585.0	296703.0	34133.0	25119.0	18399.0	4919.0	4888.0	1131.0	30.0	0.0	0.0	1013364.0	25353218.0
Sne-CTaw_044-Ex1-lcwgs.clmp.fp2_r1_screen	30721.0	321295.0	57001.0	27564.0	21851.0	5349.0	5066.0	1207.0	99.0	0.0	0.0	1083635.0	30816781.0
Sne-CTaw_044-Ex1-lcwgs.clmp.fp2_r2_screen	30642.0	322280.0	56685.0	27287.0	21344.0	5022.0	4958.0	1183.0	40.0	0.0	0.0	1087584.0	30813544.0
Sne-CTaw_047-Ex1-lcwgs.clmp.fp2_r1_screen	11419.0	118041.0	14697.0	10679.0	7915.0	2025.0	1804.0	494.0	18.0	0.0	0.0	397958.0	11133705.0
Sne-CTaw_047-Ex1-lcwgs.clmp.fp2_r2_screen	11206.0	117903.0	14437.0	10315.0	7636.0	2013.0	1735.0	411.0	17.0	0.0	0.0	395868.0	11137214.0
Sne-CTaw_048-Ex1-lcwgs.clmp.fp2_r1_screen	24228.0	115696.0	26157.0	10564.0	7802.0	1943.0	1841.0	456.0	10.0	0.0	0.0	412560.0	10700550.0
Sne-CTaw_048-Ex1-lcwgs.clmp.fp2_r2_screen	24069.0	116078.0	25955.0	10603.0	7637.0	1847.0	1798.0	448.0	14.0	0.0	0.0	410547.0	10702811.0
Sne-CTaw_049-Ex1-lcwgs.clmp.fp2_r1_screen	150056.0	347908.0	45159.0	30262.0	24522.0	5369.0	5140.0	1329.0	63.0	0.0	0.0	1149011.0	35903237.0
Sne-CTaw_049-Ex1-lcwgs.clmp.fp2_r2_screen	149338.0	347407.0	44739.0	29836.0	23731.0	5085.0	4890.0	1349.0	40.0	2.0	0.0	1144869.0	35910770.0
Sne-CTaw_050-Ex1-lcwgs.clmp.fp2_r1_screen	65551.0	234186.0	26491.0	19607.0	15065.0	3492.0	3457.0	846.0	34.0	0.0	0.0	740240.0	22139849.0
Sne-CTaw_050-Ex1-lcwgs.clmp.fp2_r2_screen	65023.0	234882.0	25936.0	19508.0	14716.0	3469.0	3346.0	833.0	31.0	1.0	0.0	738899.0	22142174.0
Sne-CTaw_051-Ex1-lcwgs.clmp.fp2_r1_screen	36449.0	37446.0	4230.0	3163.0	2289.0	565.0	503.0	134.0	3.0	0.0	0.0	129316.0	3284219.0
Sne-CTaw_051-Ex1-lcwgs.clmp.fp2_r2_screen	36064.0	37337.0	4280.0	3007.0	2176.0	541.0	554.0	154.0	3.0	0.0	0.0	128582.0	3285619.0
Sne-CTaw_052-Ex1-lcwgs.clmp.fp2_r1_screen	59918.0	206789.0	23320.0	17432.0	13072.0	3261.0	3164.0	795.0	29.0	0.0	0.0	691428.0	19083505.0
Sne-CTaw_052-Ex1-lcwgs.clmp.fp2_r2_screen	59577.0	207512.0	22944.0	16959.0	12674.0	3066.0	2975.0	747.0	15.0	0.0	0.0	690729.0	19085515.0
Sne-CTaw_053-Ex1-lcwgs.clmp.fp2_r1_screen	7258.0	84465.0	9593.0	7188.0	5651.0	1485.0	1362.0	316.0	9.0	0.0	0.0	269959.0	7870408.0
Sne-CTaw_053-Ex1-lcwgs.clmp.fp2_r2_screen	7098.0	84253.0	9646.0	7291.0	5428.0	1468.0	1305.0	314.0	14.0	0.0	0.0	268818.0	7872059.0
Sne-CTaw_054-Ex1-lcwgs.clmp.fp2_r1_screen	7805.0	76583.0	9038.0	6885.0	5093.0	1259.0	1203.0	313.0	17.0	0.0	0.0	231606.0	7435982.0
Sne-CTaw_054-Ex1-lcwgs.clmp.fp2_r2_screen	7878.0	76254.0	9111.0	6565.0	5122.0	1234.0	1171.0	288.0	12.0	0.0	0.0	232167.0	7435982.0
Sne-CTaw_055-Ex1-lcwgs.clmp.fp2_r1_screen	1224.0	16986.0	1896.0	1462.0	1137.0	275.0	250.0	70.0	3.0	0.0	0.0	57621.0	1534306.0
Sne-CTaw_055-Ex1-lcwgs.clmp.fp2_r2_screen	1248.0	16570.0	1899.0	1494.0	1111.0	271.0	244.0	77.0	0.0	0.0	0.0	57202.0	1535114.0
Sne-CTaw_056-Ex1-lcwgs.clmp.fp2_r1_screen	18674.0	171106.0	19430.0	14669.0	10835.0	2680.0	2609.0	650.0	46.0	0.0	0.0	575038.0	16249874.0
Sne-CTaw_056-Ex1-lcwgs.clmp.fp2_r2_screen	18484.0	171516.0	19346.0	14236.0	10848.0	2547.0	2443.0	670.0	16.0	0.0	0.0	573924.0	16251581.0
Sne-CTaw_057-Ex1-lcwgs.clmp.fp2_r1_screen	5999.0	44956.0	5415.0	3968.0	3122.0	756.0	703.0	143.0	14.0	0.0	0.0	154117.0	4318964.0
Sne-CTaw_057-Ex1-lcwgs.clmp.fp2_r2_screen	6031.0	45075.0	5228.0	3929.0	3116.0	716.0	674.0	146.0	5.0	0.0	0.0	154273.0	4318964.0
Sne-CTaw_058-Ex1-lcwgs.clmp.fp2_r1_screen	2239.0	15779.0	1776.0	1321.0	1000.0	221.0	213.0	57.0	0.0	0.0	0.0	51680.0	1558369.0
Sne-CTaw_058-Ex1-lcwgs.clmp.fp2_r2_screen	2223.0	15728.0	1656.0	1368.0	972.0	249.0	216.0	49.0	0.0	0.0	0.0	51336.0	1558858.0
Sne-CTaw_060-Ex1-lcwgs.clmp.fp2_r1_screen	877.0	5558.0	684.0	497.0	391.0	87.0	91.0	21.0	0.0	0.0	0.0	18965.0	542446.0
Sne-CTaw_060-Ex1-lcwgs.clmp.fp2_r2_screen	873.0	5744.0	659.0	491.0	368.0	81.0	85.0	17.0	0.0	0.0	0.0	18967.0	542332.0
Sne-CTaw_062-Ex1-lcwgs.clmp.fp2_r1_screen	136039.0	579563.0	70454.0	51794.0	39482.0	10090.0	9334.0	2414.0	83.0	0.0	0.0	2016478.0	54143577.0
Sne-CTaw_062-Ex1-lcwgs.clmp.fp2_r2_screen	135876.0	581566.0	69579.0	50860.0	38666.0	9616.0	8921.0	2354.0	86.0	0.0	0.0	2006795.0	54154989.0
Sne-CTaw_063-Ex1-lcwgs.clmp.fp2_r1_screen	33001.0	26850.0	3212.0	2215.0	1669.0	369.0	407.0	90.0	8.0	0.0	0.0	96872.0	2334436.0
Sne-CTaw_063-Ex1-lcwgs.clmp.fp2_r2_screen	32908.0	26926.0	3115.0	2307.0	1610.0	386.0	365.0	104.0	8.0	0.0	0.0	95964.0	2335436.0
Sne-CTaw_064-Ex1-lcwgs.clmp.fp2_r1_screen	64690.0	216839.0	25892.0	19610.0	14362.0	3631.0	3364.0	844.0	36.0	0.0	0.0	742096.0	20059089.0
Sne-CTaw_064-Ex1-lcwgs.clmp.fp2_r2_screen	64599.0	218151.0	25705.0	19035.0	14038.0	3496.0	3289.0	827.0	33.0	0.0	0.0	737961.0	20063319.0
Sne-CTaw_065-Ex1-lcwgs.clmp.fp2_r1_screen	11404.0	92517.0	10394.0	7920.0	6044.0	1433.0	1483.0	327.0	16.0	0.0	0.0	294567.0	8918295.0
Sne-CTaw_065-Ex1-lcwgs.clmp.fp2_r2_screen	11389.0	92498.0	10432.0	7916.0	5872.0	1464.0	1382.0	319.0	9.0	0.0	0.0	294824.0	8918295.0
Sne-CTaw_067-Ex1-lcwgs.clmp.fp2_r1_screen	11755.0	285492.0	33392.0	24587.0	18403.0	5164.0	5057.0	1122.0	76.0	0.0	0.0	999954.0	22870723.0
Sne-CTaw_067-Ex1-lcwgs.clmp.fp2_r2_screen	11605.0	286801.0	33308.0	24217.0	18037.0	5073.0	4757.0	1078.0	38.0	0.0	0.0	997663.0	22873148.0
Sne-CTaw_071-Ex1-lcwgs.clmp.fp2_r1_screen	5416.0	87782.0	10669.0	7775.0	5956.0	2024.0	1519.0	297.0	15.0	0.0	0.0	297315.0	8180144.0
Sne-CTaw_071-Ex1-lcwgs.clmp.fp2_r2_screen	5414.0	87988.0	10198.0	7511.0	5830.0	1941.0	1416.0	335.0	14.0	0.0	0.0	295541.0	8182724.0
Sne-CTaw_072-Ex1-lcwgs.clmp.fp2_r1_screen	35455.0	266748.0	30870.0	22594.0	17467.0	4340.0	4161.0	1001.0	32.0	0.0	0.0	886743.0	24796519.0
Sne-CTaw_072-Ex1-lcwgs.clmp.fp2_r2_screen	35466.0	266223.0	30742.0	22495.0	17015.0	4376.0	4141.0	982.0	24.0	0.0	0.0	887947.0	24796519.0
Sne-CTaw_073-Ex1-lcwgs.clmp.fp2_r1_screen	108122.0	35845.0	4667.0	2712.0	1939.0	465.0	409.0	146.0	11.0	0.0	0.0	145586.0	3047208.0
Sne-CTaw_073-Ex1-lcwgs.clmp.fp2_r2_screen	107598.0	35305.0	4586.0	2653.0	1892.0	440.0	391.0	161.0	2.0	2.0	0.0	144194.0	3049886.0
Sne-CTaw_074-Ex1-lcwgs.clmp.fp2_r1_screen	24673.0	98931.0	11582.0	8690.0	6389.0	1538.0	1446.0	355.0	22.0	0.0	0.0	309147.0	9960036.0
Sne-CTaw_074-Ex1-lcwgs.clmp.fp2_r2_screen	24906.0	98961.0	11243.0	8475.0	6319.0	1458.0	1437.0	386.0	11.0	0.0	0.0	306450.0	9963163.0
