Sample	Unique Reads	Duplicate Reads
Sde-CMal_020-Ex1-1C-lcwgs-1-1.1	30094.0	1966.0
Sde-CMal_020-Ex1-1C-lcwgs-1-1.2	30713.0	1347.0
Sde-CMal_021-Ex1-4A-lcwgs-1-1.1	283.0	8.0
Sde-CMal_021-Ex1-4A-lcwgs-1-1.2	284.0	7.0
Sde-CMal_022-Ex1-5G-lcwgs-1-1.1	37888.0	3706.0
Sde-CMal_022-Ex1-5G-lcwgs-1-1.2	39281.0	2313.0
Sde-CMal_023-Ex1-7E-lcwgs-1-1.1	5539.0	768.0
Sde-CMal_023-Ex1-7E-lcwgs-1-1.2	5935.0	372.0
Sde-CMal_024-Ex1-4C-lcwgs-1-1.1	18035.0	948.0
Sde-CMal_024-Ex1-4C-lcwgs-1-1.2	18404.0	579.0
Sde-CMal_025-Ex1-3C-lcwgs-1-1.1	28655.0	1331.0
Sde-CMal_025-Ex1-3C-lcwgs-1-1.2	29161.0	825.0
Sde-CMal_026-Ex1-5E-lcwgs-1-1.1	4548.0	667.0
Sde-CMal_026-Ex1-5E-lcwgs-1-1.2	4845.0	370.0
Sde-CMal_027-Ex1-8H-lcwgs-1-1.1	33311.0	2282.0
Sde-CMal_027-Ex1-8H-lcwgs-1-1.2	34390.0	1203.0
Sde-CMal_028-Ex1-6H-lcwgs-1-1.1	28764.0	2295.0
Sde-CMal_028-Ex1-6H-lcwgs-1-1.2	29780.0	1279.0
Sde-CMal_029-Ex1-7F-lcwgs-1-1.1	16359.0	1282.0
Sde-CMal_029-Ex1-7F-lcwgs-1-1.2	16960.0	681.0
Sde-CMal_030-Ex1-5F-lcwgs-1-1.1	12777.0	1188.0
Sde-CMal_030-Ex1-5F-lcwgs-1-1.2	13293.0	672.0
Sde-CMal_031-Ex1-5D-lcwgs-1-1.1	21940.0	2002.0
Sde-CMal_031-Ex1-5D-lcwgs-1-1.2	22800.0	1142.0
Sde-CMal_032-Ex1-8C-lcwgs-1-1.1	23246.0	1014.0
Sde-CMal_032-Ex1-8C-lcwgs-1-1.2	23706.0	554.0
Sde-CMal_033-Ex1-7B-lcwgs-1-1.1	4426.0	358.0
Sde-CMal_033-Ex1-7B-lcwgs-1-1.2	4603.0	181.0
Sde-CMal_034-Ex1-1A-lcwgs-1-1.1	297.0	13.0
Sde-CMal_034-Ex1-1A-lcwgs-1-1.2	300.0	10.0
Sde-CMal_035-Ex1-3A-lcwgs-1-1.1	168.0	12.0
Sde-CMal_035-Ex1-3A-lcwgs-1-1.2	168.0	12.0
Sde-CMal_036-Ex1-8F-lcwgs-1-1.1	21538.0	1376.0
Sde-CMal_036-Ex1-8F-lcwgs-1-1.2	22176.0	738.0
Sde-CMal_037-Ex1-8G-lcwgs-1-1.1	50709.0	4126.0
Sde-CMal_037-Ex1-8G-lcwgs-1-1.2	52627.0	2208.0
Sde-CMal_038-Ex1-2H-lcwgs-1-1.1	47259.0	2947.0
Sde-CMal_038-Ex1-2H-lcwgs-1-1.2	48349.0	1857.0
Sde-CMal_039-Ex1-6F-lcwgs-1-1.1	17793.0	1472.0
Sde-CMal_039-Ex1-6F-lcwgs-1-1.2	18431.0	834.0
Sde-CMal_040-Ex1-6E-lcwgs-1-1.1	6404.0	792.0
Sde-CMal_040-Ex1-6E-lcwgs-1-1.2	6710.0	486.0
Sde-CMal_041-Ex1-7H-lcwgs-1-1.1	26982.0	2075.0
Sde-CMal_041-Ex1-7H-lcwgs-1-1.2	27965.0	1092.0
Sde-CMal_042-Ex1-7A-lcwgs-1-1.1	67.0	0.0
Sde-CMal_042-Ex1-7A-lcwgs-1-1.2	67.0	0.0
Sde-CMal_043-Ex1-1E-lcwgs-1-1.1	9650.0	1149.0
Sde-CMal_043-Ex1-1E-lcwgs-1-1.2	10063.0	736.0
Sde-CMal_044-Ex1-2D-lcwgs-1-1.1	48375.0	3036.0
Sde-CMal_044-Ex1-2D-lcwgs-1-1.2	49530.0	1881.0
Sde-CMal_045-Ex1-6C-lcwgs-1-1.1	18306.0	1103.0
Sde-CMal_045-Ex1-6C-lcwgs-1-1.2	18736.0	673.0
Sde-CMal_046-Ex1-1H-lcwgs-1-1.1	49506.0	4290.0
Sde-CMal_046-Ex1-1H-lcwgs-1-1.2	50928.0	2868.0
Sde-CMal_047-Ex1-2F-lcwgs-1-1.1	28471.0	1743.0
Sde-CMal_047-Ex1-2F-lcwgs-1-1.2	29084.0	1130.0
Sde-CMal_048-Ex1-4F-lcwgs-1-1.1	16632.0	1296.0
Sde-CMal_048-Ex1-4F-lcwgs-1-1.2	17218.0	710.0
Sde-CMal_049-Ex1-6A-lcwgs-1-1.1	70.0	0.0
Sde-CMal_049-Ex1-6A-lcwgs-1-1.2	70.0	0.0
Sde-CMal_050-Ex1-3D-lcwgs-1-1.1	37124.0	3010.0
Sde-CMal_050-Ex1-3D-lcwgs-1-1.2	38410.0	1724.0
Sde-CMal_051-Ex1-5H-lcwgs-1-1.1	20183.0	1852.0
Sde-CMal_051-Ex1-5H-lcwgs-1-1.2	20956.0	1079.0
Sde-CMal_052-Ex1-8E-lcwgs-1-1.1	6616.0	755.0
Sde-CMal_052-Ex1-8E-lcwgs-1-1.2	6968.0	403.0
Sde-CMal_053-Ex1-7D-lcwgs-1-1.1	27050.0	2203.0
Sde-CMal_053-Ex1-7D-lcwgs-1-1.2	28093.0	1160.0
Sde-CMal_054-Ex1-5B-lcwgs-1-1.1	3591.0	387.0
Sde-CMal_054-Ex1-5B-lcwgs-1-1.2	3758.0	220.0
Sde-CMal_055-Ex1-8D-lcwgs-1-1.1	36335.0	2512.0
Sde-CMal_055-Ex1-8D-lcwgs-1-1.2	37512.0	1335.0
Sde-CMal_056-Ex1-5C-lcwgs-1-1.1	12587.0	835.0
Sde-CMal_056-Ex1-5C-lcwgs-1-1.2	12931.0	491.0
Sde-CMal_057-Ex1-7C-lcwgs-1-1.1	17370.0	849.0
Sde-CMal_057-Ex1-7C-lcwgs-1-1.2	17738.0	481.0
Sde-CMal_058-Ex1-7G-lcwgs-1-1.1	41314.0	3757.0
Sde-CMal_058-Ex1-7G-lcwgs-1-1.2	43041.0	2030.0
Sde-CMal_059-Ex1-3B-lcwgs-1-1.1	6242.0	478.0
Sde-CMal_059-Ex1-3B-lcwgs-1-1.2	6418.0	302.0
Sde-CMal_060-Ex1-4H-lcwgs-1-1.1	26017.0	1993.0
Sde-CMal_060-Ex1-4H-lcwgs-1-1.2	26911.0	1099.0
Sde-CMal_061-Ex1-8B-lcwgs-1-1.1	5492.0	443.0
Sde-CMal_061-Ex1-8B-lcwgs-1-1.2	5704.0	231.0
Sde-CMal_062-Ex1-2B-lcwgs-1-1.1	7647.0	558.0
Sde-CMal_062-Ex1-2B-lcwgs-1-1.2	7848.0	357.0
Sde-CMal_063-Ex1-6B-lcwgs-1-1.1	5341.0	444.0
Sde-CMal_063-Ex1-6B-lcwgs-1-1.2	5556.0	229.0
Sde-CMal_064-Ex1-6D-lcwgs-1-1.1	31272.0	2363.0
Sde-CMal_064-Ex1-6D-lcwgs-1-1.2	32272.0	1363.0
Sde-CMal_065-Ex1-2C-lcwgs-1-1.1	31522.0	1553.0
Sde-CMal_065-Ex1-2C-lcwgs-1-1.2	32066.0	1009.0
Sde-CMal_066-Ex1-1G-lcwgs-1-1.1	74684.0	6901.0
Sde-CMal_066-Ex1-1G-lcwgs-1-1.2	76972.0	4613.0
Sde-CMal_067-Ex1-3F-lcwgs-1-1.1	22706.0	1794.0
Sde-CMal_067-Ex1-3F-lcwgs-1-1.2	23411.0	1089.0
Sde-CMal_068-Ex1-2A-lcwgs-1-1.1	304.0	9.0
Sde-CMal_068-Ex1-2A-lcwgs-1-1.2	308.0	5.0
Sde-CMal_069-Ex1-4E-lcwgs-1-1.1	5029.0	632.0
Sde-CMal_069-Ex1-4E-lcwgs-1-1.2	5353.0	308.0
