Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Pli-AMvi_066-Ex1-9E-lcwgs-X-1.clmp.r1r2_fastp	0.539707	0.916418	438572.0	0.43915	97.8776087725504	1.4149274849663955
Pli-AMvi_067-Ex1-10E-lcwgs-X-1.clmp.r1r2_fastp	0.611354	0.952303	3177956.0	0.431241	96.84036132696934	2.9643801033489803
Pli-AMvi_068-Ex1-1E-lcwgs-X-1.clmp.r1r2_fastp	0.666349	0.903934	396349.0	0.457884	96.79101484155636	0.7220216606498195
Pli-AMvi_069-Ex1-12E-lcwgs-X-1.clmp.r1r2_fastp	11.6814	0.901983	129585310.0	0.59637	96.8879585741247	0.1413104465825731
Pli-AMvi_070-Ex1-1G-lcwgs-X-1.clmp.r1r2_fastp	19.4435	0.896551	336267103.0	0.57301	96.2413209162664	0.29506598179089716
Pli-AMvi_071-Ex1-2G-lcwgs-X-1.clmp.r1r2_fastp	21.584	0.895277	297299585.0	0.565482	96.14908767067487	0.189454599186112
Pli-AMvi_072-Ex1-3G-lcwgs-X-1.clmp.r1r2_fastp	0.187753	0.926267	1000184.0	0.429848	97.96982167352539	2.263374485596708
Pli-AMvi_073-Ex1-4G-lcwgs-X-1.clmp.r1r2_fastp	0.43279	0.934646	1084144.0	0.453099	98.30255763275605	1.8809496501892418
Pli-AMvi_074-Ex1-5G-lcwgs-X-1.clmp.r1r2_fastp	0.484027	0.915449	505001.0	0.44691	97.65554553651938	1.9837691614066726
Pli-AMvi_075-Ex1-6G-lcwgs-X-1.clmp.r1r2_fastp	5.08895	0.930924	81154774.0	0.504815	97.66605291125622	1.494115383101462
Pli-AMvi_076-Ex1-7F-lcwgs-X-1.clmp.r1r2_fastp	0.54984	0.960354	4239979.0	0.46131	99.03265113271827	1.5865516126625716
Pli-AMvi_077-Ex1-8F-lcwgs-X-1.clmp.r1r2_fastp	0.425144	0.924483	481125.0	0.448682	97.87408013082583	1.8806214227309894
Pli-AMvi_078-Ex1-9F-lcwgs-X-1.clmp.r1r2_fastp	0.3003	0.91362	443327.0	0.444626	97.68246281563474	1.6257350397786234
Pli-AMvi_079-Ex1-10F-lcwgs-X-1.clmp.r1r2_fastp	0.7928299999999999	0.91014	501891.0	0.446279	97.8267716535433	1.5118110236220472
Pli-AMvi_080-Ex1-11F-lcwgs-X-1.clmp.r1r2_fastp	0.366166	0.924947	845180.0	0.429179	97.7600543017139	1.9684371287968776
Pli-AMvi_081-Ex1-12F-lcwgs-X-1.clmp.r1r2_fastp	11.6991	0.896181	56165912.0	0.564736	96.42249384529002	0.1291409320606401
Pli-AMvi_082-Ex1-1H-lcwgs-X-1.clmp.r1r2_fastp	1.68195	0.951398	282248638.0	0.464091	98.8332516799661	1.6902247017574807
Pli-AMvi_083-Ex1-2H-lcwgs-X-1.clmp.r1r2_fastp	0.601052	0.966987	267661133.0	0.412032	99.22810521946663	1.8265106706789804
Pli-AMvi_084-Ex1-3H-lcwgs-X-1.clmp.r1r2_fastp	1.8715699999999997	0.948936	185932927.0	0.468723	98.56425162670543	1.8624324842324458
Pli-AMvi_085-Ex1-4H-lcwgs-X-1.clmp.r1r2_fastp	0.5874189999999999	0.966694	49153733.0	0.425916	97.95082706495661	2.669471652506449
Pli-AMvi_086-Ex1-5H-lcwgs-X-1.clmp.r1r2_fastp	1.06567	0.960284	136064992.0	0.433403	99.13301017839338	1.5383096561460319
Pli-AMvi_087-Ex1-6H-lcwgs-X-1.clmp.r1r2_fastp	2.61226	0.938945	131369967.0	0.508308	98.57541814833436	1.3150545516226155
Pli-AMvi_088-Ex1-7G-lcwgs-X-1.clmp.r1r2_fastp	2.7317299999999998	0.940012	113383900.0	0.478767	98.63091966640903	1.3206455458122035
Pli-AMvi_089-Ex1-8G-lcwgs-X-1.clmp.r1r2_fastp	0.226904	0.919534	496884.0	0.441063	97.59439707673569	2.0097442143727164
Pli-AMvi_090-Ex1-9G-lcwgs-X-1.clmp.r1r2_fastp	0.300526	0.914546	670998.0	0.449407	97.47427502338635	1.4265668849391955
Pli-AMvi_091-Ex1-10G-lcwgs-X-1.clmp.r1r2_fastp	0.503215	0.910072	621012.0	0.450751	97.4265661554458	1.4556797504549
Pli-AMvi_092-Ex1-11G-lcwgs-X-1.clmp.r1r2_fastp	0.166493	0.924401	760963.0	0.433424	98.29383886255924	1.6303317535545023
Pli-AMvi_093-Ex1-12G-lcwgs-X-1.clmp.r1r2_fastp	21.6618	0.893389	110895147.0	0.572093	95.92048878220682	0.13263371743195243
Pli-AMvi_094-Ex1-7H-lcwgs-X-1.clmp.r1r2_fastp	0.5985159999999999	0.965011	59853579.0	0.437142	99.1557355538931	1.7690189611885114
Pli-AMvi_095-Ex1-8H-lcwgs-X-1.clmp.r1r2_fastp	0.50447	0.963887	24988494.0	0.47431	97.50804018698666	2.89665918773189
Pli-AMvi_096-Ex1-9H-lcwgs-X-1.clmp.r1r2_fastp	0.583544	0.921839	769007.0	0.441487	97.2901080631754	2.0116375727348297
Pli-AMvi_097-Ex1-10H-lcwgs-X-1.clmp.r1r2_fastp	0.341978	0.925565	1070725.0	0.433835	97.46450304259635	2.129817444219067
Pli-AMvi_098-Ex1-11H-lcwgs-X-1.clmp.r1r2_fastp	0.166264	0.927334	1005734.0	0.429241	97.93376733654118	2.1652986130767053
Pli-AMvi_099-Ex1-12H-lcwgs-X-1.clmp.r1r2_fastp	26.9478	0.891631	221331494.0	0.555579	95.74907669280054	0.18148127732289673
Pli-CMvi_001-Ex1-1B-lcwgs-1-1.clmp.r1r2_fastp	4.390610000000001	0.910794	981960288.0	0.426876	97.37239762379372	0.30652269613347116
Pli-CMvi_002-Ex1-2A-lcwgs-1-1.clmp.r1r2_fastp	3.66461	0.915767	1317248040.0	0.426939	97.69505825683927	0.4383879210279812
Pli-CMvi_003-Ex1-2G-lcwgs-X-1.clmp.r1r2_fastp	2.7792399999999997	0.920041	131053302.0	0.422145	97.84851530508962	0.5494134735929936
Pli-CMvi_004-Ex1-3F-lcwgs-1-1.clmp.r1r2_fastp	4.62455	0.913884	1275854423.0	0.423757	97.6142667142133	0.3419039089801571
Pli-CMvi_005-Ex1-4C-lcwgs-X-1.clmp.r1r2_fastp	0.150733	0.91216	5712977.0	0.426066	97.1985956784538	1.1509645662166563
Pli-CMvi_006-Ex1-5A-lcwgs-X-1.clmp.r1r2_fastp	0.49770400000000004	0.911335	13083701.0	0.427995	97.27581926914584	1.139642471428341
Pli-CMvi_007-Ex1-5G-lcwgs-1-1.clmp.r1r2_fastp	4.20481	0.915481	643463890.0	0.423993	97.55422339997179	0.46671880292059925
Pli-CMvi_013-Ex1-1C-lcwgs-X-1.clmp.r1r2_fastp	5.83295	0.898967	605150172.0	0.435317	96.67018285372781	0.16192861460229685
Pli-CMvi_014-Ex1-2B-lcwgs-X-1.clmp.r1r2_fastp	0.449801	0.913036	7888158.0	0.424029	95.7279325434945	2.4922617141637313
Pli-CMvi_015-Ex1-2H-lcwgs-X-1.clmp.r1r2_fastp	3.53678	0.914635	478952881.0	0.428237	97.51278635881184	0.36462295400719424
Pli-CMvi_020-Ex1-6D-lcwgs-X-1.clmp.r1r2_fastp	6.13547	0.912724	988979097.0	0.42982	97.38843775411058	0.4651356053647862
Pli-CMvi_021-Ex1-6G-lcwgs-X-1.clmp.r1r2_fastp	3.213	0.912178	198979790.0	0.422785	97.53031729331634	0.32043117928272147
Pli-CMvi_022-Ex1-7B-lcwgs-X-1.clmp.r1r2_fastp	1.9552300000000002	0.923439	14146565.0	0.421459	97.9853362060649	0.7894652217255684
Pli-CMvi_023-Ex1-7F-lcwgs-X-1.clmp.r1r2_fastp	2.9072899999999997	0.923943	273355807.0	0.420876	98.12180322030662	0.567828933899241
Pli-CMvi_025-Ex1-1D-lcwgs-X-1.clmp.r1r2_fastp	2.1733599999999997	0.910009	25049213.0	0.432093	97.35199373942163	0.6742861302709884
Pli-CMvi_028-Ex1-3G-lcwgs-X-1.clmp.r1r2_fastp	5.75083	0.908861	708840141.0	0.428053	97.29908349512698	0.2919316498562463
Pli-CMvi_030-Ex1-5B-lcwgs-X-1.clmp.r1r2_fastp	0.27480899999999997	0.907816	6685463.0	0.426487	96.982052846181	1.0338074292869297
Pli-CMvi_031-Ex1-5H-lcwgs-X-1.clmp.r1r2_fastp	5.05942	0.915707	604784977.0	0.432378	97.36208871997697	0.49250233305832547
Pli-CMvi_034-Ex1-7C-lcwgs-X-1.clmp.r1r2_fastp	1.92439	0.931327	54877807.0	0.422107	98.41095510090761	0.8573983268484079
Pli-CMvi_037-Ex1-1E-lcwgs-X-1.clmp.r1r2_fastp	5.92995	0.899818	630383284.0	0.428602	96.639849426998	0.18446112368781237
Pli-CMvi_038-Ex1-2C-lcwgs-X-1.clmp.r1r2_fastp	2.41626	0.91488	25923933.0	0.423944	97.52259076407577	0.5569715008822428
Pli-CMvi_039-Ex1-3A-lcwgs-X-1.clmp.r1r2_fastp	4.26634	0.910621	817256251.0	0.432211	97.41980632348319	0.36945743890948796
Pli-CMvi_040-Ex1-3H-lcwgs-1-1.clmp.r1r2_fastp	4.2823899999999995	0.913067	975153598.0	0.425602	97.45460421357497	0.326386642904599
Pli-CMvi_041-Ex1-4E-lcwgs-1-1.clmp.r1r2_fastp	3.5103099999999996	0.915079	870167043.0	0.424639	97.58620337535764	0.39399687418843016
Pli-CMvi_042-Ex1-5C-lcwgs-X-1.clmp.r1r2_fastp	4.2308699999999995	0.907069	1141769972.0	0.42739	97.15592829710415	0.22736041419136327
Pli-CMvi_047-Ex1-7G-lcwgs-X-1.clmp.r1r2_fastp	2.9076	0.920836	217442284.0	0.42156	97.93286034039511	0.5347893828165574
Pli-CMvi_049-Ex1-1F-lcwgs-1-1.clmp.r1r2_fastp	4.40112	0.912427	1399058368.0	0.425653	97.5164117973717	0.287989747313293
Pli-CMvi_051-Ex1-3B-lcwgs-X-1.clmp.r1r2_fastp	4.68644	0.912556	1708036629.0	0.42863	97.40258269015308	0.33124774136393864
Pli-CMvi_053-Ex1-4F-lcwgs-X-1.clmp.r1r2_fastp	2.63193	0.917571	63970377.0	0.422142	97.80720510816509	0.5293970182708331
Pli-CMvi_054-Ex1-5D-lcwgs-X-1.clmp.r1r2_fastp	3.25745	0.91613	652705456.0	0.423948	97.74451501829789	0.45583953980521225
Pli-CMvi_059-Ex1-7H-lcwgs-X-1.clmp.r1r2_fastp	3.58249	0.914522	584188171.0	0.426199	97.52988458155406	0.37107761648446497
Pli-CMvi_060-Ex1-8F-lcwgs-X-1.clmp.r1r2_fastp	2.97303	0.913493	21587057.0	0.424053	97.46908445627462	0.414795097876116
Pli-CMvi_062-Ex1-2D-lcwgs-1-1.clmp.r1r2_fastp	3.3204200000000004	0.919065	1241422354.0	0.42392	97.8461473047777	0.46924060781406274
Pli-CMvi_063-Ex1-3C-lcwgs-1-1.clmp.r1r2_fastp	4.1235800000000005	0.911083	874797163.0	0.426294	97.41049232353883	0.28718177136255446
