Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
Lva-CPnd_036-Ex1-12C-lcwgs-2-1.clmp.r1r2_fastp	2283468.0	0.0	0.0	69230.0	0.0
Lva-CPnd_037-Ex1-1D-lcwgs-2-1.clmp.r1r2_fastp	1115288.0	0.0	0.0	18414.0	0.0
Lva-CPnd_038-Ex1-2D-lcwgs-2-1.clmp.r1r2_fastp	8919688.0	0.0	0.0	139106.0	0.0
Lva-CPnd_039-Ex1-3D-lcwgs-2-1.clmp.r1r2_fastp	8207614.0	0.0	0.0	175850.0	0.0
Lva-CPnd_040-Ex1-4D-lcwgs-2-1.clmp.r1r2_fastp	7538426.0	0.0	0.0	148470.0	0.0
Lva-CPnd_041-Ex1-5D-lcwgs-2-1.clmp.r1r2_fastp	6249632.0	0.0	0.0	123384.0	0.0
Lva-CPnd_042-Ex1-6D-lcwgs-2-1.clmp.r1r2_fastp	9489364.0	0.0	0.0	201896.0	0.0
Lva-CPnd_043-Ex1-7D-lcwgs-2-1.clmp.r1r2_fastp	7106438.0	0.0	0.0	138408.0	0.0
Lva-CPnd_044-Ex1-8D-lcwgs-2-1.clmp.r1r2_fastp	3215402.0	0.0	0.0	96242.0	0.0
Lva-CPnd_045-Ex1-9D-lcwgs-2-1.clmp.r1r2_fastp	10712948.0	0.0	0.0	231702.0	0.0
Lva-CPnd_046-Ex1-10D-lcwgs-2-1.clmp.r1r2_fastp	7469620.0	0.0	0.0	140082.0	0.0
Lva-CPnd_047-Ex1-11D-lcwgs-2-1.clmp.r1r2_fastp	9034394.0	0.0	0.0	231234.0	0.0
Lva-CPnd_048-Ex1-12D-lcwgs-2-1.clmp.r1r2_fastp	5283584.0	0.0	0.0	112434.0	0.0
