Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Hte-CJol_005-Ex1-6C-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_005-Ex1-6C-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38445.0	0.0	33-150	45.0	97.97112758486149	118.17065938353493	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_006-Ex1-8F-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_006-Ex1-8F-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41991.0	0.0	33-150	45.0	97.64235193255698	118.4447143435498	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_006-Ex1-8F-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_006-Ex1-8F-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41991.0	0.0	33-150	45.0	98.01386011288133	116.46983877497559	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_007-Ex1-7A-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_007-Ex1-7A-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14272.0	0.0	33-150	45.0	98.50056053811659	114.80626401345292	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_007-Ex1-7A-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_007-Ex1-7A-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14272.0	0.0	33-150	45.0	98.67572869955157	112.83660313901345	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_008-Ex1-5G-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_008-Ex1-5G-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	119350.0	0.0	33-150	47.0	95.54873935912175	119.7874319229158	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CJol_008-Ex1-5G-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_008-Ex1-5G-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	119350.0	0.0	33-150	47.0	95.99913556014754	117.51261834939254	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CJol_009-Ex1-4G-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_009-Ex1-4G-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	123370.0	0.0	33-150	45.0	96.1235411694675	118.76292453594877	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_009-Ex1-4G-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_009-Ex1-4G-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	123370.0	0.0	33-150	44.0	96.54259612869325	116.64572424414364	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
Hte-CJol_010-Ex1-8G-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_010-Ex1-8G-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33206.0	0.0	33-150	43.0	98.80744443775221	115.08561705715834	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_010-Ex1-8G-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_010-Ex1-8G-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33206.0	0.0	33-150	43.0	99.04535324941276	113.10639643437933	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_011-Ex1-8D-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_011-Ex1-8D-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	103895.0	0.0	33-150	46.0	96.78480865643328	122.40328215987294	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_011-Ex1-8D-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_011-Ex1-8D-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	103895.0	0.0	33-150	46.0	97.14868606402098	120.43087732807162	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_012-Ex1-7D-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_012-Ex1-7D-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40539.0	0.0	33-150	47.0	97.27916327487111	123.76247564074102	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_012-Ex1-7D-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_012-Ex1-7D-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40539.0	0.0	33-150	46.0	97.65164409580898	121.22918670909495	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_013-Ex1-1G-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_013-Ex1-1G-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	125982.0	0.0	33-150	46.0	97.40351905804857	107.58632979314505	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CJol_013-Ex1-1G-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_013-Ex1-1G-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	125982.0	0.0	33-150	46.0	97.66377813833279	106.12393040275595	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CJol_014-Ex1-3D-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_014-Ex1-3D-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	405089.0	0.0	33-150	48.0	94.66113223196069	127.75956888486233	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_014-Ex1-3D-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_014-Ex1-3D-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	405089.0	0.0	33-150	48.0	94.48288512160615	125.07716082144911	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CJol_016-Ex1-6D-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_016-Ex1-6D-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79806.0	0.0	33-150	47.0	95.68578803598727	125.7462847404957	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_016-Ex1-6D-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_016-Ex1-6D-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79806.0	0.0	33-150	47.0	96.19076259930331	122.68131468811869	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_021-Ex1-2A-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_021-Ex1-2A-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81994.0	0.0	33-150	48.0	96.3570505158914	115.32009659243359	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_021-Ex1-2A-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_021-Ex1-2A-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81994.0	0.0	33-150	48.0	96.72658975046954	113.4400443934922	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
Hte-CJol_022-Ex1-7E-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_022-Ex1-7E-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24877.0	0.0	33-150	45.0	98.86240302287254	117.12577883185271	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_022-Ex1-7E-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_022-Ex1-7E-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24877.0	0.0	33-150	44.0	99.0754512200024	115.20597338907425	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_023-Ex1-7F-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_023-Ex1-7F-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	819746.0	0.0	33-150	45.0	95.6344187955258	132.24339124558094	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_023-Ex1-7F-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_023-Ex1-7F-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	819746.0	0.0	33-150	45.0	95.1436868605353	128.97482756853952	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_024-Ex1-2D-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_024-Ex1-2D-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	185205.0	0.0	33-150	49.0	94.61273682067724	114.7322048540806	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_024-Ex1-2D-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_024-Ex1-2D-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	185205.0	0.0	33-150	49.0	94.67512601310588	113.04036608082936	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CJol_028-Ex1-2C-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_028-Ex1-2C-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	141204.0	0.0	33-150	48.0	93.32435662467925	120.62288603722274	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
