Sample	Human	Bacteria_24k	Protists_1k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Cha-APnd_019-Ex1-3C-lcwgs-1-1.clmp.fp2_r2_screen	134.0	143.0	210.0	25.0	13.0	2.0	9.0	1.0	0.0	0.0	718.0	43381.0
Cha-APnd_020-Ex1-3D-lcwgs-1-1.clmp.fp2_r1_screen	36.0	1498.0	170.0	10.0	5.0	2.0	4.0	1.0	0.0	0.0	1191.0	21864.0
Cha-APnd_020-Ex1-3D-lcwgs-1-1.clmp.fp2_r2_screen	35.0	1467.0	190.0	18.0	2.0	5.0	2.0	6.0	0.0	0.0	1177.0	21879.0
Cha-APnd_021-Ex1-3E-lcwgs-1-1.clmp.fp2_r1_screen	501.0	925.0	1388.0	174.0	102.0	42.0	43.0	8.0	3.0	0.0	3925.0	385725.0
Cha-APnd_021-Ex1-3E-lcwgs-1-1.clmp.fp2_r2_screen	492.0	909.0	1424.0	202.0	125.0	43.0	42.0	12.0	1.0	0.0	3979.0	385607.0
Cha-APnd_022-Ex1-3F-lcwgs-1-1.clmp.fp2_r1_screen	7667.0	5951.0	6326.0	893.0	482.0	164.0	170.0	36.0	4.0	0.0	19339.0	1317615.0
Cha-APnd_022-Ex1-3F-lcwgs-1-1.clmp.fp2_r2_screen	7641.0	5842.0	6370.0	792.0	468.0	183.0	174.0	33.0	4.0	0.0	19253.0	1317887.0
Cha-APnd_023-Ex1-3G-lcwgs-1-1.clmp.fp2_r1_screen	11.0	21.0	71.0	10.0	8.0	1.0	0.0	0.0	0.0	0.0	178.0	11123.0
Cha-APnd_023-Ex1-3G-lcwgs-1-1.clmp.fp2_r2_screen	15.0	22.0	66.0	6.0	5.0	0.0	2.0	2.0	0.0	0.0	187.0	11118.0
Cha-APnd_024-Ex1-3H-lcwgs-1-1.clmp.fp2_r1_screen	11.0	27.0	41.0	4.0	4.0	0.0	4.0	0.0	0.0	0.0	267.0	9855.0
Cha-APnd_024-Ex1-3H-lcwgs-1-1.clmp.fp2_r2_screen	11.0	22.0	64.0	4.0	1.0	2.0	1.0	1.0	0.0	0.0	252.0	9855.0
Cha-APnd_025-Ex1-4A-lcwgs-1-1.clmp.fp2_r1_screen	78.0	65.0	486.0	58.0	35.0	6.0	16.0	2.0	0.0	0.0	1645.0	59217.0
Cha-APnd_025-Ex1-4A-lcwgs-1-1.clmp.fp2_r2_screen	88.0	54.0	489.0	73.0	39.0	16.0	11.0	1.0	0.0	0.0	1638.0	59199.0
Cha-APnd_026-Ex1-4B-lcwgs-1-1.clmp.fp2_r1_screen	26980.0	2631.0	8408.0	1113.0	619.0	192.0	229.0	41.0	2.0	0.0	31365.0	1494716.0
Cha-APnd_026-Ex1-4B-lcwgs-1-1.clmp.fp2_r2_screen	26965.0	2634.0	8461.0	1081.0	595.0	208.0	216.0	54.0	4.0	0.0	31049.0	1495029.0
Cha-APnd_027-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	1043.0	1769.0	5847.0	793.0	431.0	150.0	178.0	27.0	2.0	0.0	15292.0	1362023.0
Cha-APnd_027-Ex1-4C-lcwgs-1-1.clmp.fp2_r2_screen	955.0	1729.0	5866.0	817.0	439.0	147.0	154.0	23.0	6.0	0.0	15118.0	1362301.0
Cha-APnd_028-Ex1-4D-lcwgs-1-1.clmp.fp2_r1_screen	2102.0	5160.0	12853.0	1508.0	804.0	297.0	332.0	48.0	4.0	0.0	34167.0	1808347.0
Cha-APnd_028-Ex1-4D-lcwgs-1-1.clmp.fp2_r2_screen	1986.0	5105.0	12878.0	1435.0	794.0	268.0	327.0	47.0	4.0	0.0	33871.0	1808907.0
Cha-APnd_029-Ex1-4E-lcwgs-1-1.clmp.fp2_r1_screen	1501.0	6158.0	6800.0	866.0	493.0	164.0	196.0	36.0	4.0	0.0	20415.0	1315105.0
Cha-APnd_029-Ex1-4E-lcwgs-1-1.clmp.fp2_r2_screen	1505.0	6118.0	6685.0	880.0	467.0	159.0	174.0	34.0	7.0	0.0	20198.0	1315511.0
Cha-APnd_030-Ex1-4F-lcwgs-1-1.clmp.fp2_r1_screen	622.0	579.0	2068.0	287.0	152.0	70.0	52.0	3.0	0.0	0.0	5073.0	534100.0
Cha-APnd_030-Ex1-4F-lcwgs-1-1.clmp.fp2_r2_screen	608.0	565.0	2113.0	300.0	143.0	65.0	58.0	6.0	2.0	0.0	5046.0	534100.0
Cha-APnd_031-Ex1-4G-lcwgs-1-1.clmp.fp2_r1_screen	267.0	206.0	1589.0	216.0	118.0	45.0	44.0	8.0	0.0	0.0	5789.0	212568.0
Cha-APnd_031-Ex1-4G-lcwgs-1-1.clmp.fp2_r2_screen	269.0	207.0	1567.0	237.0	109.0	44.0	53.0	8.0	1.0	0.0	5699.0	212656.0
Cha-APnd_032-Ex1-4H-lcwgs-1-1.clmp.fp2_r1_screen	2039.0	3497.0	11452.0	1349.0	732.0	245.0	342.0	43.0	5.0	0.0	31141.0	1563258.0
Cha-APnd_032-Ex1-4H-lcwgs-1-1.clmp.fp2_r2_screen	2072.0	3428.0	11405.0	1337.0	732.0	252.0	313.0	51.0	11.0	0.0	30921.0	1563581.0
Cha-APnd_033-Ex1-5A-lcwgs-1-1.clmp.fp2_r1_screen	51.0	59.0	45.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	188.0	6050.0
Cha-APnd_033-Ex1-5A-lcwgs-1-1.clmp.fp2_r2_screen	49.0	57.0	39.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	186.0	6063.0
Cha-APnd_034-Ex1-5B-lcwgs-1-1.clmp.fp2_r1_screen	439.0	2933.0	146.0	17.0	6.0	2.0	3.0	4.0	0.0	0.0	1126.0	20036.0
Cha-APnd_034-Ex1-5B-lcwgs-1-1.clmp.fp2_r2_screen	440.0	2882.0	142.0	15.0	5.0	3.0	0.0	3.0	0.0	0.0	1146.0	20076.0
Cha-APnd_035-Ex1-5C-lcwgs-1-1.clmp.fp2_r1_screen	26344.0	100804.0	3210.0	567.0	139.0	40.0	57.0	91.0	0.0	0.0	36797.0	521523.0
Cha-APnd_035-Ex1-5C-lcwgs-1-1.clmp.fp2_r2_screen	26365.0	100210.0	3122.0	545.0	120.0	40.0	58.0	82.0	3.0	0.0	36746.0	522281.0
Cha-APnd_036-Ex1-5D-lcwgs-1-1.clmp.fp2_r1_screen	7862.0	143750.0	2874.0	440.0	35.0	6.0	13.0	79.0	0.0	0.0	41844.0	258152.0
Cha-APnd_036-Ex1-5D-lcwgs-1-1.clmp.fp2_r2_screen	7849.0	143195.0	2816.0	427.0	37.0	6.0	9.0	84.0	0.0	0.0	41297.0	259335.0
Cha-APnd_037-Ex1-5E-lcwgs-1-1.clmp.fp2_r1_screen	250868.0	20645.0	1270.0	175.0	7.0	0.0	2.0	102.0	0.0	0.0	78767.0	42245.0
Cha-APnd_037-Ex1-5E-lcwgs-1-1.clmp.fp2_r2_screen	251196.0	20368.0	1330.0	160.0	5.0	0.0	1.0	97.0	0.0	0.0	77851.0	43073.0
Cha-APnd_038-Ex1-5F-lcwgs-1-1.clmp.fp2_r1_screen	322762.0	97167.0	4377.0	2753.0	155.0	56.0	71.0	160.0	1.0	1.0	118333.0	433769.0
Cha-APnd_038-Ex1-5F-lcwgs-1-1.clmp.fp2_r2_screen	322946.0	96758.0	4373.0	2691.0	157.0	56.0	62.0	163.0	0.0	1.0	116474.0	435924.0
Cha-APnd_039-Ex1-5G-lcwgs-1-1.clmp.fp2_r1_screen	2095.0	1471.0	56.0	32.0	2.0	0.0	0.0	0.0	0.0	0.0	1054.0	5159.0
Cha-APnd_039-Ex1-5G-lcwgs-1-1.clmp.fp2_r2_screen	2115.0	1428.0	39.0	33.0	1.0	2.0	0.0	0.0	0.0	0.0	1046.0	5205.0
Cha-APnd_040-Ex1-5H-lcwgs-1-1.clmp.fp2_r1_screen	1345.0	934.0	61.0	16.0	3.0	0.0	1.0	3.0	0.0	0.0	772.0	8470.0
Cha-APnd_040-Ex1-5H-lcwgs-1-1.clmp.fp2_r2_screen	1344.0	937.0	69.0	15.0	1.0	1.0	1.0	3.0	0.0	0.0	722.0	8512.0
Cha-CPnd_009-Ex1-8D-lcwgs-1-1.clmp.fp2_r1_screen	136.0	30033.0	2147.0	38.0	6.0	1.0	1.0	15.0	0.0	0.0	13340.0	82411.0
Cha-CPnd_009-Ex1-8D-lcwgs-1-1.clmp.fp2_r2_screen	149.0	29649.0	2036.0	37.0	10.0	2.0	2.0	23.0	0.0	0.0	13194.0	83026.0
Cha-CPnd_010-Ex1-7D-lcwgs-1-1.clmp.fp2_r1_screen	1047.0	451.0	5133.0	686.0	489.0	198.0	141.0	36.0	3.0	0.0	16202.0	1064254.0
Cha-CPnd_010-Ex1-7D-lcwgs-1-1.clmp.fp2_r2_screen	922.0	404.0	5177.0	650.0	494.0	227.0	123.0	27.0	4.0	0.0	16358.0	1064254.0
Cha-CPnd_011-Ex1-7C-lcwgs-1-1.clmp.fp2_r1_screen	133.0	11641.0	1014.0	30.0	13.0	4.0	2.0	19.0	0.0	0.0	5670.0	50989.0
Cha-CPnd_011-Ex1-7C-lcwgs-1-1.clmp.fp2_r2_screen	127.0	11574.0	1004.0	30.0	13.0	2.0	2.0	22.0	1.0	0.0	5466.0	51274.0
Cha-CPnd_013-Ex1-8G-lcwgs-1-1.clmp.fp2_r1_screen	705.0	471.0	3919.0	505.0	372.0	173.0	91.0	18.0	9.0	0.0	12490.0	829797.0
Cha-CPnd_013-Ex1-8G-lcwgs-1-1.clmp.fp2_r2_screen	670.0	464.0	3949.0	501.0	336.0	163.0	94.0	19.0	1.0	0.0	12641.0	829712.0
Cha-CPnd_014-Ex1-7F-lcwgs-1-1.clmp.fp2_r1_screen	1758.0	713.0	9190.0	1208.0	823.0	351.0	226.0	43.0	4.0	0.0	28271.0	1938159.0
Cha-CPnd_014-Ex1-7F-lcwgs-1-1.clmp.fp2_r2_screen	1784.0	730.0	9431.0	1234.0	832.0	383.0	216.0	39.0	8.0	0.0	28920.0	1937169.0
Cha-CPnd_015-Ex1-7E-lcwgs-1-1.clmp.fp2_r1_screen	664.0	310.0	3705.0	462.0	301.0	114.0	96.0	18.0	1.0	0.0	12654.0	686471.0
Cha-CPnd_015-Ex1-7E-lcwgs-1-1.clmp.fp2_r2_screen	643.0	324.0	3776.0	455.0	310.0	128.0	95.0	17.0	0.0	0.0	12789.0	686259.0
Cha-CPnd_016-Ex1-6E-lcwgs-1-1.clmp.fp2_r1_screen	254.0	222.0	1501.0	168.0	104.0	49.0	33.0	4.0	0.0	0.0	5014.0	288978.0
Cha-CPnd_016-Ex1-6E-lcwgs-1-1.clmp.fp2_r2_screen	283.0	217.0	1487.0	188.0	130.0	59.0	28.0	6.0	2.0	0.0	5009.0	288918.0
Cha-CPnd_017-Ex1-8E-lcwgs-1-1.clmp.fp2_r1_screen	1455.0	476.0	7304.0	914.0	623.0	304.0	217.0	46.0	23.0	0.0	22742.0	1567005.0
Cha-CPnd_017-Ex1-8E-lcwgs-1-1.clmp.fp2_r2_screen	1422.0	485.0	7476.0	910.0	684.0	289.0	199.0	47.0	7.0	0.0	22585.0	1567005.0
Cha-CPnd_018-Ex1-6C-lcwgs-1-1.clmp.fp2_r1_screen	815.0	460.0	4085.0	531.0	395.0	212.0	103.0	23.0	3.0	0.0	13643.0	935850.0
Cha-CPnd_018-Ex1-6C-lcwgs-1-1.clmp.fp2_r2_screen	811.0	480.0	4315.0	480.0	386.0	214.0	104.0	21.0	3.0	0.0	13934.0	935372.0
Cha-CPnd_021-Ex1-5F-lcwgs-1-1.clmp.fp2_r1_screen	1996.0	1104.0	8541.0	1099.0	720.0	337.0	216.0	40.0	4.0	0.0	25910.0	1752248.0
Cha-CPnd_021-Ex1-5F-lcwgs-1-1.clmp.fp2_r2_screen	2037.0	1121.0	8580.0	1021.0	712.0	322.0	224.0	41.0	7.0	0.0	26081.0	1752069.0
Cha-CPnd_022-Ex1-6H-lcwgs-1-1.clmp.fp2_r1_screen	979.0	462.0	5379.0	718.0	473.0	211.0	136.0	22.0	2.0	0.0	16556.0	1151360.0
Cha-CPnd_022-Ex1-6H-lcwgs-1-1.clmp.fp2_r2_screen	1029.0	479.0	5451.0	721.0	461.0	198.0	141.0	23.0	2.0	0.0	16668.0	1151125.0
Cha-CPnd_023-Ex1-1G-lcwgs-1-1.clmp.fp2_r1_screen	128.0	20839.0	2929.0	137.0	19.0	7.0	12.0	197.0	0.0	0.0	12259.0	104177.0
Cha-CPnd_023-Ex1-1G-lcwgs-1-1.clmp.fp2_r2_screen	128.0	20535.0	2969.0	127.0	22.0	8.0	9.0	202.0	1.0	0.0	11935.0	104768.0
Cha-CPnd_024-Ex1-4A-lcwgs-1-1.clmp.fp2_r1_screen	790.0	384.0	4058.0	531.0	407.0	175.0	94.0	19.0	1.0	0.0	13121.0	870405.0
Cha-CPnd_024-Ex1-4A-lcwgs-1-1.clmp.fp2_r2_screen	810.0	405.0	4199.0	504.0	390.0	163.0	98.0	17.0	5.0	0.0	13256.0	870138.0
Cha-CPnd_025-Ex1-2H-lcwgs-1-1.clmp.fp2_r1_screen	1074.0	541.0	5131.0	645.0	516.0	221.0	124.0	39.0	2.0	0.0	17966.0	1120413.0
Cha-CPnd_025-Ex1-2H-lcwgs-1-1.clmp.fp2_r2_screen	983.0	554.0	5191.0	648.0	513.0	221.0	143.0	27.0	1.0	0.0	18208.0	1120183.0
Cha-CPnd_026-Ex1-8H-lcwgs-1-1.clmp.fp2_r1_screen	785.0	603.0	4115.0	540.0	333.0	176.0	91.0	20.0	6.0	0.0	12444.0	849651.0
Cha-CPnd_026-Ex1-8H-lcwgs-1-1.clmp.fp2_r2_screen	794.0	598.0	4083.0	462.0	346.0	169.0	98.0	20.0	3.0	0.0	12540.0	849651.0
Cha-CPnd_027-Ex1-5E-lcwgs-1-1.clmp.fp2_r1_screen	1052.0	619.0	2646.0	308.0	254.0	112.0	53.0	15.0	0.0	0.0	8440.0	556037.0
Cha-CPnd_027-Ex1-5E-lcwgs-1-1.clmp.fp2_r2_screen	1058.0	635.0	2613.0	313.0	239.0	125.0	56.0	17.0	1.0	0.0	8669.0	555810.0
Cha-CPnd_028-Ex1-1B-lcwgs-1-1.clmp.fp2_r1_screen	859.0	570.0	4425.0	560.0	414.0	185.0	114.0	29.0	3.0	0.0	15057.0	992175.0
Cha-CPnd_028-Ex1-1B-lcwgs-1-1.clmp.fp2_r2_screen	861.0	578.0	4688.0	602.0	405.0	186.0	77.0	27.0	6.0	0.0	15191.0	991770.0
Cha-CPnd_030-Ex1-3H-lcwgs-1-1.clmp.fp2_r1_screen	2576.0	1143.0	13855.0	1804.0	1258.0	608.0	416.0	72.0	18.0	0.0	44790.0	2729249.0
Cha-CPnd_030-Ex1-3H-lcwgs-1-1.clmp.fp2_r2_screen	2472.0	1119.0	13814.0	1762.0	1195.0	606.0	380.0	82.0	15.0	0.0	44536.0	2729808.0
Cha-CPnd_031-Ex1-2E-lcwgs-1-1.clmp.fp2_r1_screen	2833.0	1160.0	13643.0	1701.0	1410.0	590.0	331.0	67.0	11.0	0.0	44972.0	3140869.0
Cha-CPnd_031-Ex1-2E-lcwgs-1-1.clmp.fp2_r2_screen	2727.0	1122.0	13734.0	1740.0	1352.0	574.0	316.0	88.0	8.0	0.0	44737.0	3141189.0
Cha-CPnd_032-Ex1-7B-lcwgs-1-1.clmp.fp2_r1_screen	1024.0	405.0	5221.0	636.0	495.0	216.0	141.0	26.0	4.0	0.0	16232.0	1154298.0
Cha-CPnd_032-Ex1-7B-lcwgs-1-1.clmp.fp2_r2_screen	1034.0	378.0	5253.0	656.0	471.0	222.0	118.0	33.0	5.0	0.0	16347.0	1154181.0
Cha-CPnd_033-Ex1-8F-lcwgs-1-1.clmp.fp2_r1_screen	1953.0	900.0	10143.0	1364.0	969.0	405.0	286.0	39.0	11.0	0.0	30237.0	2179985.0
Cha-CPnd_033-Ex1-8F-lcwgs-1-1.clmp.fp2_r2_screen	1953.0	874.0	10225.0	1204.0	965.0	402.0	236.0	54.0	5.0	0.0	30389.0	2179985.0
Cha-CPnd_034-Ex1-6B-lcwgs-1-1.clmp.fp2_r1_screen	1170.0	672.0	6405.0	812.0	629.0	239.0	159.0	37.0	2.0	0.0	20716.0	1327778.0
Cha-CPnd_034-Ex1-6B-lcwgs-1-1.clmp.fp2_r2_screen	1169.0	683.0	6382.0	808.0	577.0	251.0	159.0	32.0	5.0	0.0	20911.0	1327642.0
Cha-CPnd_035-Ex1-4B-lcwgs-1-1.clmp.fp2_r1_screen	871.0	770.0	4500.0	574.0	421.0	234.0	104.0	18.0	2.0	0.0	14649.0	1002983.0
Cha-CPnd_035-Ex1-4B-lcwgs-1-1.clmp.fp2_r2_screen	843.0	746.0	4582.0	576.0	387.0	235.0	112.0	13.0	3.0	0.0	14749.0	1002880.0
Cha-CPnd_036-Ex1-4G-lcwgs-1-1.clmp.fp2_r1_screen	1609.0	696.0	8651.0	1109.0	814.0	330.0	267.0	35.0	12.0	0.0	26437.0	1712652.0
Cha-CPnd_036-Ex1-4G-lcwgs-1-1.clmp.fp2_r2_screen	1630.0	716.0	8690.0	1044.0	784.0	310.0	209.0	44.0	8.0	0.0	26525.0	1712652.0
Cha-CPnd_037-Ex1-2C-lcwgs-1-1.clmp.fp2_r1_screen	319.0	187.0	1665.0	196.0	161.0	54.0	40.0	8.0	1.0	0.0	5778.0	331999.0
Cha-CPnd_037-Ex1-2C-lcwgs-1-1.clmp.fp2_r2_screen	291.0	174.0	1667.0	205.0	139.0	53.0	48.0	7.0	1.0	0.0	5926.0	331897.0
Cha-CPnd_038-Ex1-5B-lcwgs-1-1.clmp.fp2_r1_screen	1445.0	777.0	6445.0	859.0	599.0	211.0	154.0	31.0	5.0	0.0	20944.0	1134063.0
Cha-CPnd_038-Ex1-5B-lcwgs-1-1.clmp.fp2_r2_screen	1386.0	712.0	6439.0	837.0	515.0	228.0	153.0	31.0	2.0	0.0	21050.0	1134180.0
Cha-CPnd_039-Ex1-3C-lcwgs-1-1.clmp.fp2_r1_screen	3500.0	1431.0	17554.0	2298.0	1974.0	778.0	419.0	90.0	9.0	0.0	65421.0	4079436.0
Cha-CPnd_039-Ex1-3C-lcwgs-1-1.clmp.fp2_r2_screen	3481.0	1442.0	18010.0	2288.0	1787.0	746.0	421.0	112.0	10.0	0.0	65594.0	4079019.0
Cha-CPnd_040-Ex1-7G-lcwgs-1-1.clmp.fp2_r1_screen	1604.0	1510.0	9372.0	1164.0	749.0	306.0	224.0	73.0	8.0	0.0	28746.0	1779409.0
Cha-CPnd_040-Ex1-7G-lcwgs-1-1.clmp.fp2_r2_screen	1504.0	1506.0	9518.0	1149.0	729.0	355.0	228.0	72.0	6.0	0.0	29054.0	1779044.0
Cha-CPnd_041-Ex1-1A-lcwgs-1-1.clmp.fp2_r1_screen	455.0	431.0	2184.0	272.0	237.0	98.0	53.0	10.0	2.0	0.0	7634.0	483230.0
Cha-CPnd_041-Ex1-1A-lcwgs-1-1.clmp.fp2_r2_screen	441.0	426.0	2266.0	260.0	221.0	85.0	40.0	18.0	2.0	0.0	7617.0	483230.0
Cha-CPnd_042-Ex1-5H-lcwgs-1-1.clmp.fp2_r1_screen	1167.0	1153.0	4522.0	575.0	429.0	179.0	114.0	34.0	4.0	0.0	14976.0	966263.0
Cha-CPnd_042-Ex1-5H-lcwgs-1-1.clmp.fp2_r2_screen	1124.0	1114.0	4624.0	580.0	434.0	176.0	111.0	46.0	1.0	0.0	15141.0	966065.0
Cha-CPnd_043-Ex1-3G-lcwgs-1-1.clmp.fp2_r1_screen	1013.0	435.0	4955.0	616.0	463.0	181.0	136.0	19.0	2.0	0.0	16162.0	1051403.0
Cha-CPnd_043-Ex1-3G-lcwgs-1-1.clmp.fp2_r2_screen	965.0	456.0	5096.0	620.0	435.0	197.0	108.0	27.0	3.0	0.0	16290.0	1051188.0
Cha-CPnd_044-Ex1-4E-lcwgs-1-1.clmp.fp2_r1_screen	985.0	469.0	4576.0	598.0	473.0	193.0	114.0	30.0	4.0	0.0	16711.0	1030549.0
Cha-CPnd_044-Ex1-4E-lcwgs-1-1.clmp.fp2_r2_screen	979.0	466.0	4465.0	555.0	474.0	172.0	106.0	34.0	5.0	0.0	16686.0	1030760.0
Cha-CPnd_045-Ex1-6F-lcwgs-1-1.clmp.fp2_r1_screen	1520.0	1257.0	8551.0	1037.0	806.0	318.0	190.0	44.0	8.0	0.0	26926.0	1913961.0
