Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
Sgr-AJol_045-Ex19D-lwgs-1-1.clmp.fp2_r1_screen	25743.0	5644.0	1864.0	1322.0	570.0	525.0	212.0	100.0	1.0	0.0	0.0	190740.0	1792165.0
Sgr-AJol_045-Ex19D-lwgs-1-1.clmp.fp2_r2_screen	25806.0	5639.0	1912.0	1300.0	615.0	529.0	172.0	108.0	1.0	0.0	0.0	190236.0	1792568.0
Sgr-AJol_046-Ex110D-lwgs-1-1.clmp.fp2_r1_screen	92537.0	50369.0	8060.0	4613.0	2104.0	1979.0	700.0	317.0	7.0	0.0	0.0	948679.0	6361105.0
Sgr-AJol_046-Ex110D-lwgs-1-1.clmp.fp2_r2_screen	92710.0	50600.0	8131.0	4490.0	2172.0	1960.0	717.0	273.0	10.0	0.0	0.0	946808.0	6362599.0
Sgr-AJol_047-Ex111D-lwgs-1-1.clmp.fp2_r1_screen	32038.0	6599.0	2616.0	1729.0	747.0	694.0	303.0	114.0	3.0	0.0	0.0	253143.0	2696846.0
Sgr-AJol_047-Ex111D-lwgs-1-1.clmp.fp2_r2_screen	32718.0	6547.0	2552.0	1798.0	755.0	641.0	309.0	144.0	0.0	0.0	0.0	252223.0	2697145.0
Sgr-AJol_048-Ex112D-lwgs-1-1.clmp.fp2_r1_screen	39437.0	8339.0	3031.0	2105.0	908.0	899.0	378.0	162.0	1.0	0.0	0.0	320980.0	3066027.0
Sgr-AJol_048-Ex112D-lwgs-1-1.clmp.fp2_r2_screen	39440.0	8325.0	2970.0	2042.0	926.0	886.0	363.0	167.0	2.0	0.0	0.0	320087.0	3067059.0
Sgr-AJol_049-Ex11E-lwgs-1-1.clmp.fp2_r1_screen	21335.0	1965.0	1797.0	1155.0	500.0	484.0	196.0	72.0	5.0	0.0	0.0	113868.0	1946904.0
Sgr-AJol_049-Ex11E-lwgs-1-1.clmp.fp2_r2_screen	21457.0	1967.0	1775.0	1195.0	512.0	516.0	208.0	67.0	2.0	0.0	0.0	113678.0	1946904.0
