Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Viruses	Bird	Plant	Coral	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Adu-AGui_040-Ex1-4D-lcwgs-1-1.clmp.fp2_r2_screen	7659.0	1331.0	155.0	61.0	49.0	18.0	7.0	8.0	0.0	0.0	5235.0	102217.0
Adu-AGui_041-Ex1-5D-lcwgs-1-1.clmp.fp2_r1_screen	1350.0	370.0	91.0	21.0	24.0	13.0	3.0	4.0	0.0	0.0	1497.0	50422.0
Adu-AGui_041-Ex1-5D-lcwgs-1-1.clmp.fp2_r2_screen	1377.0	362.0	96.0	30.0	23.0	15.0	2.0	4.0	0.0	0.0	1481.0	50405.0
Adu-AGui_042-Ex1-6D-lcwgs-1-1.clmp.fp2_r1_screen	14817.0	18660.0	3548.0	1643.0	371.0	747.0	255.0	247.0	0.0	0.0	87756.0	2631505.0
Adu-AGui_042-Ex1-6D-lcwgs-1-1.clmp.fp2_r2_screen	14712.0	18722.0	3509.0	1728.0	372.0	765.0	220.0	248.0	3.0	0.0	88041.0	2631229.0
Adu-AGui_043-Ex1-7D-lcwgs-1-1.clmp.fp2_r1_screen	15252.0	20762.0	7450.0	1735.0	669.0	914.0	267.0	312.0	1.0	0.0	91759.0	3474410.0
Adu-AGui_043-Ex1-7D-lcwgs-1-1.clmp.fp2_r2_screen	15146.0	20484.0	7350.0	1775.0	646.0	948.0	259.0	313.0	1.0	0.0	92561.0	3474048.0
Adu-AGui_044-Ex1-8D-lcwgs-1-1.clmp.fp2_r1_screen	21736.0	9918.0	3274.0	712.0	303.0	364.0	124.0	133.0	0.0	0.0	47333.0	1398379.0
Adu-AGui_044-Ex1-8D-lcwgs-1-1.clmp.fp2_r2_screen	21512.0	9967.0	3145.0	746.0	313.0	374.0	125.0	143.0	1.0	0.0	47423.0	1398527.0
Adu-AGui_045-Ex1-9D-lcwgs-1-1.clmp.fp2_r1_screen	21297.0	2953.0	336.0	68.0	29.0	16.0	8.0	3.0	0.0	0.0	11201.0	163924.0
Adu-AGui_045-Ex1-9D-lcwgs-1-1.clmp.fp2_r2_screen	21239.0	2898.0	325.0	84.0	26.0	16.0	9.0	5.0	0.0	0.0	11109.0	164124.0
Adu-AGui_046-Ex1-10D-lcwgs-1-1.clmp.fp2_r1_screen	32702.0	3841.0	832.0	79.0	40.0	21.0	4.0	1.0	0.0	0.0	15951.0	192935.0
