Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Och-ACat_015-Ex1-5A-lcwgs-1-1.clmp.fp2_r1_screen	110.0	23.0	12.0	13.0	6.0	4.0	0.0	1.0	0.0	0.0	509.0	14479.0
Och-ACat_015-Ex1-5A-lcwgs-1-1.clmp.fp2_r2_screen	123.0	22.0	14.0	11.0	6.0	5.0	0.0	0.0	1.0	0.0	504.0	14471.0
Och-ACat_016-Ex1-4B-lcwgs-2-1.clmp.fp2_r1_screen	19321.0	1816.0	2089.0	1456.0	980.0	298.0	235.0	53.0	0.0	0.0	81604.0	1978244.0
Och-ACat_016-Ex1-4B-lcwgs-2-1.clmp.fp2_r2_screen	19454.0	1787.0	2122.0	1486.0	959.0	258.0	237.0	81.0	7.0	0.0	81461.0	1978244.0
Och-ACat_017-Ex1-5B-lcwgs-2-1.clmp.fp2_r1_screen	36484.0	76433.0	6219.0	3166.0	1947.0	674.0	532.0	145.0	3.0	0.0	162230.0	3479603.0
Och-ACat_017-Ex1-5B-lcwgs-2-1.clmp.fp2_r2_screen	36805.0	75634.0	6161.0	3034.0	1842.0	607.0	590.0	154.0	8.0	0.0	161491.0	3481110.0
Och-ACat_018-Ex1-6B-lcwgs-2-1.clmp.fp2_r1_screen	16989.0	2617.0	1285.0	896.0	571.0	199.0	109.0	68.0	0.0	0.0	101433.0	1445575.0
Och-ACat_018-Ex1-6B-lcwgs-2-1.clmp.fp2_r2_screen	17128.0	2565.0	1190.0	877.0	580.0	172.0	86.0	59.0	3.0	0.0	100565.0	1446517.0
Och-ACat_019-Ex1-7B-lcwgs-2-1.clmp.fp2_r1_screen	20332.0	2829.0	1823.0	1238.0	910.0	221.0	154.0	59.0	3.0	0.0	102278.0	2248292.0
Och-ACat_019-Ex1-7B-lcwgs-2-1.clmp.fp2_r2_screen	20520.0	2826.0	1738.0	1313.0	867.0	216.0	132.0	79.0	5.0	0.0	101437.0	2249006.0
Och-ACat_020-Ex1-8B-lcwgs-2-1.clmp.fp2_r1_screen	8676.0	913.0	717.0	568.0	447.0	94.0	85.0	35.0	3.0	0.0	39211.0	1059713.0
Och-ACat_020-Ex1-8B-lcwgs-2-1.clmp.fp2_r2_screen	8778.0	893.0	779.0	562.0	383.0	79.0	75.0	37.0	2.0	0.0	39050.0	1059824.0
Och-ACat_021-Ex1-9B-lcwgs-2-1.clmp.fp2_r1_screen	31373.0	7162.0	3050.0	2096.0	1414.0	437.0	373.0	123.0	15.0	0.0	199280.0	2450524.0
Och-ACat_021-Ex1-9B-lcwgs-2-1.clmp.fp2_r2_screen	31495.0	7067.0	3014.0	2105.0	1307.0	397.0	348.0	114.0	8.0	0.0	198389.0	2451603.0
Och-ACat_022-Ex1-10B-lcwgs-2-1.clmp.fp2_r1_screen	25396.0	41649.0	2694.0	2019.0	1239.0	390.0	348.0	133.0	9.0	0.0	170402.0	2125056.0
Och-ACat_022-Ex1-10B-lcwgs-2-1.clmp.fp2_r2_screen	25560.0	40995.0	2625.0	1887.0	1200.0	378.0	329.0	109.0	13.0	0.0	169051.0	2127188.0
Och-ACat_023-Ex1-11B-lcwgs-2-1.clmp.fp2_r1_screen	25332.0	2878.0	2068.0	1596.0	973.0	268.0	193.0	96.0	4.0	0.0	136219.0	2173278.0
Och-ACat_023-Ex1-11B-lcwgs-2-1.clmp.fp2_r2_screen	25515.0	2875.0	2020.0	1597.0	1030.0	279.0	194.0	96.0	4.0	0.0	135080.0	2174215.0
Och-ACat_024-Ex1-12B-lcwgs-2-1.clmp.fp2_r1_screen	37597.0	421138.0	1240.0	1794.0	306.0	129.0	100.0	90.0	1.0	0.0	238846.0	1584418.0
Och-ACat_024-Ex1-12B-lcwgs-2-1.clmp.fp2_r2_screen	37843.0	414310.0	1177.0	1788.0	296.0	109.0	74.0	96.0	9.0	0.0	230225.0	1599732.0
Och-ACat_025-Ex1-1C-lcwgs-2-1.clmp.fp2_r1_screen	21904.0	2324.0	1743.0	1193.0	863.0	238.0	163.0	76.0	5.0	0.0	107448.0	2184126.0
Och-ACat_025-Ex1-1C-lcwgs-2-1.clmp.fp2_r2_screen	22117.0	2369.0	1772.0	1252.0	877.0	235.0	159.0	76.0	8.0	0.0	106628.0	2184590.0
Och-ACat_026-Ex1-2C-lcwgs-2-1.clmp.fp2_r1_screen	37689.0	2350.0	4131.0	2893.0	1859.0	579.0	497.0	107.0	9.0	0.0	153583.0	3575455.0
Och-ACat_026-Ex1-2C-lcwgs-2-1.clmp.fp2_r2_screen	38111.0	2317.0	4158.0	2887.0	1830.0	574.0	484.0	128.0	16.0	0.0	153570.0	3575077.0
Och-ACat_027-Ex1-3C-lcwgs-2-1.clmp.fp2_r1_screen	26991.0	3402.0	2609.0	1847.0	1150.0	350.0	284.0	78.0	2.0	0.0	141943.0	2487840.0
Och-ACat_027-Ex1-3C-lcwgs-2-1.clmp.fp2_r2_screen	27265.0	3390.0	2535.0	1841.0	1108.0	350.0	236.0	86.0	7.0	0.0	141304.0	2488374.0
Och-ACat_028-Ex1-4C-lcwgs-2-1.clmp.fp2_r1_screen	1694.0	100.0	161.0	115.0	64.0	18.0	22.0	7.0	0.0	0.0	8589.0	147834.0
Och-ACat_028-Ex1-4C-lcwgs-2-1.clmp.fp2_r2_screen	1651.0	99.0	182.0	109.0	72.0	18.0	8.0	9.0	6.0	0.0	8536.0	147914.0
Och-ACat_029-Ex1-5C-lcwgs-2-1.clmp.fp2_r1_screen	3177.0	693.0	929.0	195.0	102.0	32.0	26.0	11.0	0.0	0.0	19305.0	247113.0
Och-ACat_029-Ex1-5C-lcwgs-2-1.clmp.fp2_r2_screen	3167.0	687.0	920.0	215.0	107.0	29.0	20.0	16.0	1.0	0.0	19281.0	247140.0
Och-ACat_030-Ex1-6C-lcwgs-2-1.clmp.fp2_r1_screen	18119.0	2015.0	1468.0	1076.0	775.0	152.0	139.0	66.0	1.0	0.0	93354.0	1885652.0
Och-ACat_030-Ex1-6C-lcwgs-2-1.clmp.fp2_r2_screen	18224.0	1952.0	1439.0	1074.0	776.0	175.0	123.0	65.0	10.0	0.0	93127.0	1885852.0
Och-ACat_031-Ex1-7C-lcwgs-2-1.clmp.fp2_r1_screen	24387.0	2574.0	2893.0	1865.0	1316.0	358.0	292.0	93.0	1.0	0.0	104103.0	2802015.0
Och-ACat_031-Ex1-7C-lcwgs-2-1.clmp.fp2_r2_screen	24389.0	2655.0	2785.0	1912.0	1255.0	297.0	274.0	96.0	6.0	0.0	104213.0	2802015.0
Och-ACat_032-Ex1-7B-lcwgs-1-1.clmp.fp2_r1_screen	58.0	15.0	50.0	6.0	3.0	1.0	1.0	0.0	0.0	0.0	257.0	9616.0
Och-ACat_032-Ex1-7B-lcwgs-1-1.clmp.fp2_r2_screen	66.0	12.0	41.0	9.0	2.0	1.0	1.0	0.0	0.0	0.0	265.0	9610.0
Och-ACat_032-Ex1-8C-lcwgs-2-1.clmp.fp2_r1_screen	10038.0	850.0	731.0	563.0	363.0	94.0	52.0	41.0	10.0	0.0	53727.0	943690.0
Och-ACat_032-Ex1-8C-lcwgs-2-1.clmp.fp2_r2_screen	10075.0	832.0	770.0	587.0	366.0	99.0	57.0	37.0	1.0	0.0	53342.0	943993.0
Och-ACat_033-Ex1-9C-lcwgs-2-1.clmp.fp2_r1_screen	14934.0	998.0	1266.0	869.0	612.0	144.0	88.0	51.0	5.0	0.0	70640.0	1474205.0
Och-ACat_033-Ex1-9C-lcwgs-2-1.clmp.fp2_r2_screen	14933.0	952.0	1171.0	900.0	593.0	155.0	113.0	49.0	3.0	0.0	70269.0	1474674.0
Och-ACat_034-Ex1-10C-lcwgs-2-1.clmp.fp2_r1_screen	20922.0	1355.0	1723.0	1270.0	865.0	251.0	139.0	66.0	10.0	0.0	94792.0	2089766.0
Och-ACat_034-Ex1-10C-lcwgs-2-1.clmp.fp2_r2_screen	20980.0	1347.0	1800.0	1314.0	863.0	253.0	161.0	60.0	5.0	0.0	94168.0	2090208.0
Och-ACat_035-Ex1-11C-lcwgs-2-1.clmp.fp2_r1_screen	6472.0	424.0	410.0	331.0	196.0	60.0	23.0	26.0	0.0	0.0	40861.0	427317.0
