Sample	Unique Reads	Duplicate Reads
Sfa-CBas_023-Ex1-4G-lcwgs-1-3.2	13478.0	481.0
Sfa-CBas_024-Ex1-3G-lcwgs-1-3.1	10007.0	308.0
Sfa-CBas_024-Ex1-3G-lcwgs-1-3.2	10024.0	291.0
Sfa-CBas_025-Ex1-8H-lcwgs-1-3.1	7516397.0	1756311.0
Sfa-CBas_025-Ex1-8H-lcwgs-1-3.2	7633769.0	1638939.0
Sfa-CBas_026-Ex1-6D-lcwgs-1-3.1	18309.0	600.0
Sfa-CBas_026-Ex1-6D-lcwgs-1-3.2	18357.0	552.0
Sfa-CBas_027-Ex1-11A-lcwgs-2-3.1	2681564.0	459856.0
Sfa-CBas_027-Ex1-11A-lcwgs-2-3.2	2725822.0	415598.0
Sfa-CBas_028-Ex1-6B-lcwgs-2-3.1	10066376.0	2223819.0
Sfa-CBas_028-Ex1-6B-lcwgs-2-3.2	10300584.0	1989611.0
Sfa-CBas_029-Ex1-1B-lcwgs-2-3.1	6954699.0	1389533.0
Sfa-CBas_029-Ex1-1B-lcwgs-2-3.2	7128912.0	1215320.0
Sfa-CBas_031-Ex1-4B-lcwgs-2-3.1	6923575.0	1373542.0
Sfa-CBas_031-Ex1-4B-lcwgs-2-3.2	7095349.0	1201768.0
Sfa-CBas_032-Ex1-7E-lcwgs-1-3.1	9640712.0	2009057.0
Sfa-CBas_032-Ex1-7E-lcwgs-1-3.2	9777957.0	1871812.0
Sfa-CBas_036-Ex1-10A-lcwgs-2-3.1	4472434.0	902347.0
Sfa-CBas_036-Ex1-10A-lcwgs-2-3.2	4575925.0	798856.0
Sfa-CBas_039-Ex1-10B-lcwgs-2-3.1	8003063.0	1762100.0
Sfa-CBas_039-Ex1-10B-lcwgs-2-3.2	8269011.0	1496152.0
Sfa-CBas_041-Ex1-6A-lcwgs-1-3.1	7442.0	304.0
Sfa-CBas_041-Ex1-6A-lcwgs-1-3.2	7456.0	290.0
Sfa-CBas_043-Ex1-6F-lcwgs-1-3.1	16802.0	613.0
Sfa-CBas_043-Ex1-6F-lcwgs-1-3.2	16851.0	564.0
Sfa-CBas_046-Ex1-11B-lcwgs-2-3.1	8502.0	289.0
Sfa-CBas_046-Ex1-11B-lcwgs-2-3.2	8521.0	270.0
Sfa-CBas_048-Ex1-4C-lcwgs-1-3.1	12814.0	453.0
Sfa-CBas_048-Ex1-4C-lcwgs-1-3.2	12837.0	430.0
Sfa-CBas_056-Ex1-7B-lcwgs-2-3.1	8446910.0	1684801.0
Sfa-CBas_056-Ex1-7B-lcwgs-2-3.2	8617429.0	1514282.0
Sfa-CBas_059-Ex1-7H-lcwgs-1-3.1	9708301.0	2197084.0
Sfa-CBas_059-Ex1-7H-lcwgs-1-3.2	9931000.0	1974385.0
