Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	Snippy_mqc-generalstats-snippy-VariantTotal
Adu-AHam_026-Ex1-b-1H-lcwgs-1-1	0.9356629999999999	0.963617	7354395.0	0.409597	89.05437199162512	83.32901638282718	
Adu-AHam_027-Ex1-b-2A-lcwgs-1-1	2.1404	0.962263	48954155.0	0.441532	85.29861989995781	62.254966953936396	
Adu-AHam_028-Ex1-b-2B-lcwgs-1-1	2.1268599999999998	0.961585	17514625.0	0.452585	73.78190255220419	66.76013047833494	
Adu-AHam_029-Ex1-a-2C-lcwgs-1-1	0.869403	0.964164	11163701.0	0.428025	88.36951142853322	85.33616873303107	
Adu-AHam_030-Ex1-b-2F-lcwgs-2-1	0.653037	0.963487	10259848.0	0.420793	89.16759289855509	84.36871038481179	
Adu-AHam_032-Ex1-b-2F-lcwgs-1-1	1.55573	0.9623	13602819.0	0.428968	62.09539679233493	70.22911893355551	
Adu-AHam_033-Ex1-b-2G-lcwgs-1-1	1.34629	0.965174	12411306.0	0.403791	83.83148855207169	78.78244436731073	
Adu-AHam_034-Ex1-a-2H-lcwgs-1-1	2.32745	0.962302	42938819.0	0.446112	74.42691678257114	61.287114196613615	
Adu-AHam_035-Ex1-a-3A-lcwgs-1-1	1.8199900000000002	0.960046	16490612.0	0.448144	83.89280869931952	62.2356977579191	
Adu-AHam_036-Ex1-a-3B-lcwgs-1-1	1.82822	0.960958	18952578.0	0.452655	79.55237850535897	64.26965570400822	
Adu-AHam_037-Ex1-a-3C-lcwgs-1-1	1.25871	0.961918	11695954.0	0.435609	78.82670262980444	74.11367290834588	
Adu-AHam_038-Ex1-b-3D-lcwgs-1-1	1.21587	0.962252	10910132.0	0.420632	79.16943474634967	75.06608054051762	
Adu-AHam_040-Ex1-b-3F-lcwgs-1-1	1.57279	0.960062	17110087.0	0.450684	81.57997412571616	64.63899213503912	
Adu-AHam_041-Ex1-b-3G-lcwgs-1-1	1.37578	0.964177	9050995.0	0.415568	78.73368946492688	74.24117698572555	
Adu-AHam_042-Ex1-a-3H-lcwgs-1-1	2.73394	0.961294	12059446.0	0.433261	65.83998479665526	63.26729380463701	
Adu-AHam_043-Ex1-a-4A-lcwgs-1-1	1.55903	0.962092	17519460.0	0.42851	83.40025579251063	71.32942704460505	
Adu-AHam_044-Ex1-b-4B-lcwgs-1-1	1.80728	0.962674	29888201.0	0.422623	78.68787863862482	71.51406196128652	
Adu-AHam_045-Ex1-a-4C-lcwgs-1-1	1.30458	0.961242	16464903.0	0.437675	78.83590208522212	74.00135992747053	
Adu-AHam_046-Ex1-b-4D-lcwgs-1-1	1.78853	0.961276	80205901.0	0.42008	78.17285743022818	65.55423878534508	
Adu-AHam_047-Ex1-a-4E-lcwgs-1-1	1.0052999999999999	0.962717	15076017.0	0.422073	88.58483785961626	79.48363351264237	
Adu-AHam_048-Ex1-a-4F-lcwgs-1-1	1.76994	0.959733	39363868.0	0.440631	92.61737876539037	63.79362253925831	
Adu-AHam_049-Ex1-1A-lcwgs-1-1	2.09018	0.964379	616529325.0	0.440406	95.96852244557671	77.64245777352204	
Adu-AHam_050-Ex1-1B-lcwgs-1-1	2.5250600000000003	0.957505	159724086.0	0.485501	93.55923762636861	48.79888447008772	
Adu-AHam_051-Ex1-1C-lcwgs-1-1	1.66159	0.96417	593705944.0	0.433364	97.22905684678405	77.95726589741241	
Adu-AHam_052-Ex1-1D-lcwgs-1-1	3.03587	0.960746	687984209.0	0.446096	96.36656619069844	55.26288396275484	
Adu-AHam_053-Ex1-1E-lcwgs-1-1	2.71523	0.960428	498553885.0	0.451206	89.6506590525619	53.80949485396116	
Adu-AHam_054-Ex1-1F-lcwgs-1-1	2.46961	0.964097	760702036.0	0.437684	96.0006128792426	76.20981043020299	
Adu-AHam_055-Ex1-1G-lcwgs-1-1	3.03719	0.962474	791726262.0	0.442145	97.22399130858278	55.44635055946768	
Adu-AHam_056-Ex1-1H-lcwgs-1-1	0.990895	0.962108	16476077.0	0.407231	83.24692992131774	80.49167218177807	
Adu-AHam_057-Ex1-2A-lcwgs-1-1	1.3769200000000001	0.963791	292378175.0	0.427436	92.57089170494703	75.03383074032257	
Adu-AHam_058-Ex1-2B-lcwgs-1-1	1.3636300000000001	0.962139	11079120.0	0.411711	74.7865301445311	75.86342857846942	
Adu-AHam_059-Ex1-2C-lcwgs-1-1	1.35879	0.962069	24104633.0	0.424949	84.13835785999176	75.7822170265438	
Adu-AHam_060-Ex1-2D-lcwgs-1-1	1.55366	0.962531	209135714.0	0.409813	95.22941151686759	62.356708954022636	
Adu-AHam_061-Ex1-2E-lcwgs-1-1	1.0847900000000001	0.963704	13945977.0	0.399135	79.14937442005119	78.3637031069961	
Adu-AHam_062-Ex1-2F-lcwgs-1-1	1.28434	0.961422	15010888.0	0.408542	79.23901107054878	75.43456108588332	
Adu-AHam_063-Ex1-2G-lcwgs-1-1	1.52816	0.962797	17687443.0	0.432397	84.71621837976305	70.64421229586935	
Adu-AHam_064-Ex1-2H-lcwgs-1-1	2.6248899999999997	0.962969	798806192.0	0.424775	97.8601354993439	64.17709489268606	
Adu-AHam_065-Ex1-3A-lcwgs-1-1	2.47451	0.963252	482978659.0	0.412993	93.35303745099016	72.15013026356691	
Adu-AHam_066-Ex1-3B-lcwgs-1-1	1.20437	0.958794	29904917.0	0.438779	86.94984992074465	74.5205333153463	
Adu-AHam_067-Ex1-3C-lcwgs-1-1	3.0775799999999998	0.958385	404497172.0	0.451168	96.10579694300023	56.84301780130245	
Adu-AHam_068-Ex1-3D-lcwgs-1-1	1.6264500000000002	0.960423	97084074.0	0.41689	93.37621435717594	67.27385406773962	
Adu-AHam_069-Ex1-3E-lcwgs-1-1	2.62661	0.962834	816333385.0	0.412134	97.21356229109897	64.64983489268025	
Adu-AHam_070-Ex1-3F-lcwgs-1-1	1.6205299999999998	0.96199	109353049.0	0.410346	94.75860400777063	71.48904326003644	
