Sample	Human	Bacteria_24k	Protists_1k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Multiple Genomes	No hits
Sfa-CBas_003_Ex1_L3_clmp.fp2_r1_screen	8697.0	4345.0	52948.0	6045.0	4735.0	943.0	879.0	296.0	22.0	251316.0	6492623.0
Sfa-CBas_003_Ex1_L3_clmp.fp2_r2_screen	8558.0	4302.0	53894.0	6066.0	4592.0	934.0	884.0	316.0	12.0	254080.0	6489211.0
Sfa-CBas_006_Ex1_L3_clmp.fp2_r1_screen	8229.0	3963.0	50495.0	5669.0	4461.0	796.0	805.0	316.0	7.0	245066.0	6220210.0
Sfa-CBas_006_Ex1_L3_clmp.fp2_r2_screen	8135.0	3914.0	50934.0	5582.0	4355.0	761.0	774.0	291.0	13.0	248972.0	6216286.0
Sfa-CBas_007_Ex1_L3_clmp.fp2_r1_screen	7321.0	3143.0	46964.0	5322.0	3942.0	777.0	758.0	301.0	18.0	229573.0	5640506.0
Sfa-CBas_007_Ex1_L3_clmp.fp2_r2_screen	7123.0	3188.0	47425.0	5374.0	3973.0	772.0	759.0	317.0	9.0	231555.0	5638130.0
Sfa-CBas_008_Ex1_L3_clmp.fp2_r1_screen	7444.0	2469.0	47897.0	5274.0	4304.0	741.0	743.0	337.0	15.0	224951.0	5624835.0
Sfa-CBas_008_Ex1_L3_clmp.fp2_r2_screen	7530.0	2442.0	47866.0	5367.0	4288.0	722.0	678.0	365.0	19.0	226082.0	5623651.0
Sfa-CBas_009_Ex1_L3_clmp.fp2_r1_screen	8811.0	3483.0	57236.0	6671.0	4856.0	925.0	899.0	346.0	17.0	262893.0	6732317.0
Sfa-CBas_009_Ex1_L3_clmp.fp2_r2_screen	8829.0	3558.0	57806.0	6569.0	4798.0	908.0	897.0	317.0	26.0	265968.0	6728778.0
Sfa-CBas_010_Ex1_L3_clmp.fp2_r1_screen	8363.0	3741.0	56221.0	6143.0	4939.0	889.0	861.0	344.0	17.0	271515.0	6651589.0
Sfa-CBas_010_Ex1_L3_clmp.fp2_r2_screen	8253.0	3635.0	56910.0	6238.0	4630.0	829.0	823.0	325.0	16.0	274176.0	6648787.0
Sfa-CBas_014_Ex1_L3_clmp.fp2_r1_screen	6346.0	2341.0	43637.0	4692.0	3691.0	656.0	731.0	252.0	10.0	198442.0	4862933.0
Sfa-CBas_014_Ex1_L3_clmp.fp2_r2_screen	6254.0	2233.0	43821.0	4599.0	3396.0	670.0	727.0	282.0	12.0	201879.0	4859858.0
Sfa-CBas_015_Ex1_L3_clmp.fp2_r1_screen	6941.0	2775.0	44814.0	4913.0	3923.0	724.0	675.0	292.0	14.0	228983.0	5563577.0
Sfa-CBas_015_Ex1_L3_clmp.fp2_r2_screen	6857.0	2773.0	45155.0	4882.0	3828.0	742.0	666.0	304.0	13.0	230005.0	5562406.0
Sfa-CBas_016_Ex1_L3_clmp.fp2_r1_screen	9527.0	4804.0	66911.0	7239.0	5702.0	963.0	959.0	482.0	23.0	330745.0	7217627.0
Sfa-CBas_016_Ex1_L3_clmp.fp2_r2_screen	9315.0	4831.0	67841.0	7183.0	5622.0	962.0	931.0	492.0	20.0	334745.0	7213040.0
Sfa-CBas_017_Ex1_L3_clmp.fp2_r1_screen	7341.0	3331.0	45917.0	4926.0	4260.0	763.0	740.0	291.0	15.0	233082.0	5372269.0
Sfa-CBas_017_Ex1_L3_clmp.fp2_r2_screen	7535.0	3364.0	46407.0	5102.0	4030.0	790.0	708.0	314.0	17.0	237505.0	5367163.0
Sfa-CBas_019_Ex1_L3_clmp.fp2_r1_screen	6738.0	2872.0	43923.0	4956.0	3927.0	653.0	671.0	313.0	17.0	225137.0	4838565.0
Sfa-CBas_019_Ex1_L3_clmp.fp2_r2_screen	6757.0	2793.0	44176.0	4757.0	3941.0	616.0	667.0	342.0	5.0	227717.0	4836001.0
Sfa-CBas_020_Ex1_L3_clmp.fp2_r1_screen	8047.0	3062.0	51809.0	6043.0	4898.0	767.0	797.0	307.0	14.0	237916.0	6317613.0
Sfa-CBas_020_Ex1_L3_clmp.fp2_r2_screen	7888.0	3090.0	52284.0	5836.0	4649.0	741.0	782.0	300.0	11.0	240068.0	6315624.0
Sfa-CBas_021_Ex1_L3_clmp.fp2_r1_screen	7185.0	2345.0	49623.0	5567.0	4054.0	831.0	875.0	304.0	15.0	239679.0	5718212.0
Sfa-CBas_021_Ex1_L3_clmp.fp2_r2_screen	7438.0	2322.0	49587.0	5600.0	3969.0	768.0	860.0	314.0	15.0	241414.0	5716403.0
Sfa-CBas_023_Ex1_L3_clmp.fp2_r1_screen	6713.0	3624.0	44351.0	5097.0	4020.0	611.0	624.0	293.0	12.0	220472.0	4763947.0
Sfa-CBas_023_Ex1_L3_clmp.fp2_r2_screen	6789.0	3620.0	44659.0	5010.0	3971.0	611.0	555.0	310.0	10.0	222807.0	4761422.0
Sfa-CBas_025_Ex1_L3_clmp.fp2_r1_screen	6855.0	3279.0	47410.0	5274.0	4123.0	754.0	705.0	356.0	16.0	236662.0	5217769.0
Sfa-CBas_025_Ex1_L3_clmp.fp2_r2_screen	6897.0	3203.0	47675.0	5311.0	4145.0	691.0	690.0	351.0	13.0	239219.0	5215008.0
Sfa-CBas_026_Ex1_L3_clmp.fp2_r1_screen	8247.0	4668.0	53578.0	6164.0	4947.0	764.0	789.0	347.0	19.0	262948.0	6131447.0
Sfa-CBas_026_Ex1_L3_clmp.fp2_r2_screen	7955.0	4659.0	54276.0	6001.0	4841.0	758.0	731.0	357.0	15.0	266115.0	6128210.0
Sfa-CBas_027_Ex1_L3_clmp.fp2_r1_screen	3976.0	2001.0	27402.0	3014.0	2450.0	385.0	345.0	165.0	4.0	138101.0	3414926.0
Sfa-CBas_027_Ex1_L3_clmp.fp2_r2_screen	3916.0	1883.0	27922.0	2953.0	2462.0	413.0	386.0	188.0	4.0	139153.0	3413489.0
Sfa-CBas_028_Ex1_L3_clmp.fp2_r1_screen	6927.0	2432.0	46418.0	5177.0	3861.0	763.0	684.0	326.0	13.0	236233.0	5454451.0
Sfa-CBas_028_Ex1_L3_clmp.fp2_r2_screen	6815.0	2488.0	46960.0	5106.0	3850.0	713.0	688.0	341.0	9.0	238167.0	5452148.0
Sfa-CBas_029_Ex1_L3_clmp.fp2_r1_screen	4481.0	1855.0	30463.0	3370.0	2667.0	440.0	385.0	154.0	8.0	144306.0	3848973.0
Sfa-CBas_029_Ex1_L3_clmp.fp2_r2_screen	4242.0	1935.0	30673.0	3469.0	2721.0	419.0	410.0	148.0	1.0	144919.0	3848165.0
Sfa-CBas_030_Ex1_L3_clmp.fp2_r1_screen	4675.0	1472.0	32070.0	3693.0	2757.0	554.0	546.0	171.0	12.0	154995.0	3693319.0
Sfa-CBas_030_Ex1_L3_clmp.fp2_r2_screen	4756.0	1465.0	32432.0	3617.0	2668.0	536.0	559.0	213.0	9.0	157026.0	3690983.0
Sfa-CBas_031_Ex1_L3_clmp.fp2_r1_screen	7449.0	6648.0	29791.0	3122.0	2603.0	404.0	338.0	255.0	12.0	169292.0	3298708.0
Sfa-CBas_031_Ex1_L3_clmp.fp2_r2_screen	7489.0	6612.0	30030.0	3145.0	2500.0	402.0	347.0	269.0	5.0	170523.0	3297300.0
Sfa-CBas_032_Ex1_L3_clmp.fp2_r1_screen	12357.0	4023.0	52666.0	5675.0	4469.0	828.0	786.0	347.0	15.0	256547.0	6336442.0
Sfa-CBas_032_Ex1_L3_clmp.fp2_r2_screen	12072.0	3966.0	53535.0	5616.0	4534.0	837.0	818.0	322.0	13.0	258669.0	6333773.0
Sfa-CBas_033_Ex1_L3_clmp.fp2_r1_screen	6374.0	4050.0	44100.0	4685.0	3772.0	648.0	609.0	274.0	11.0	220393.0	4713603.0
Sfa-CBas_033_Ex1_L3_clmp.fp2_r2_screen	6136.0	4020.0	44736.0	4722.0	3680.0	583.0	607.0	243.0	12.0	224176.0	4709604.0
Sfa-CBas_036_Ex1_L3_clmp.fp2_r1_screen	6847.0	4699.0	47068.0	5341.0	4052.0	735.0	769.0	238.0	13.0	226032.0	5370750.0
Sfa-CBas_036_Ex1_L3_clmp.fp2_r2_screen	6884.0	4716.0	47607.0	5419.0	3909.0	725.0	757.0	240.0	11.0	228926.0	5367350.0
Sfa-CBas_039_Ex1_L3_clmp.fp2_r1_screen	6433.0	2922.0	43929.0	4657.0	3905.0	623.0	538.0	347.0	6.0	237994.0	4841193.0
Sfa-CBas_039_Ex1_L3_clmp.fp2_r2_screen	6401.0	3025.0	44632.0	4677.0	3823.0	536.0	561.0	309.0	17.0	241487.0	4837079.0
Sfa-CBas_041_Ex1_L3_clmp.fp2_r1_screen	7147.0	2906.0	45157.0	5238.0	3907.0	763.0	829.0	229.0	18.0	198972.0	5499296.0
Sfa-CBas_041_Ex1_L3_clmp.fp2_r2_screen	7088.0	2923.0	46153.0	5169.0	3751.0	806.0	813.0	237.0	9.0	200523.0	5496990.0
Sfa-CBas_042_Ex1_L3_clmp.fp2_r1_screen	5051.0	1901.0	32271.0	3662.0	2861.0	519.0	552.0	241.0	10.0	159893.0	4224736.0
Sfa-CBas_042_Ex1_L3_clmp.fp2_r2_screen	5030.0	1966.0	32621.0	3585.0	2776.0	494.0	470.0	235.0	6.0	161550.0	4222964.0
Sfa-CBas_043_Ex1_L3_clmp.fp2_r1_screen	9482.0	4021.0	64828.0	7139.0	5358.0	1038.0	982.0	379.0	20.0	296195.0	7640287.0
Sfa-CBas_043_Ex1_L3_clmp.fp2_r2_screen	9426.0	4021.0	65120.0	6964.0	5462.0	964.0	918.0	437.0	18.0	299324.0	7637075.0
Sfa-CBas_044_Ex1_L3_clmp.fp2_r1_screen	6548.0	4099.0	45172.0	4881.0	3722.0	661.0	694.0	270.0	14.0	226931.0	4986131.0
Sfa-CBas_044_Ex1_L3_clmp.fp2_r2_screen	6616.0	4095.0	46445.0	4916.0	3600.0	615.0	662.0	276.0	13.0	228921.0	4982964.0
Sfa-CBas_046_Ex1_L3_clmp.fp2_r1_screen	4005.0	1943.0	27633.0	3059.0	2264.0	389.0	394.0	192.0	8.0	138489.0	3212794.0
Sfa-CBas_046_Ex1_L3_clmp.fp2_r2_screen	3860.0	1976.0	28078.0	2968.0	2334.0	380.0	390.0	170.0	5.0	140928.0	3210081.0
Sfa-CBas_048_Ex1_L3_clmp.fp2_r1_screen	7385.0	3589.0	50409.0	5812.0	4503.0	692.0	714.0	388.0	15.0	254084.0	5532711.0
Sfa-CBas_048_Ex1_L3_clmp.fp2_r2_screen	7455.0	3571.0	50086.0	5684.0	4421.0	677.0	704.0	404.0	16.0	255745.0	5531539.0
Sfa-CBas_056_Ex1_L3_clmp.fp2_r1_screen	7623.0	9766.0	55657.0	5941.0	4681.0	839.0	738.0	417.0	7.0	275334.0	5961291.0
Sfa-CBas_056_Ex1_L3_clmp.fp2_r2_screen	7656.0	9851.0	55901.0	6171.0	4601.0	792.0	811.0	435.0	12.0	277935.0	5958129.0
Sfa-CBas_059_Ex1_L3_clmp.fp2_r1_screen	5800.0	2296.0	40640.0	4479.0	3443.0	665.0	605.0	310.0	11.0	217032.0	4335780.0
Sfa-CBas_059_Ex1_L3_clmp.fp2_r2_screen	5914.0	2195.0	41028.0	4453.0	3447.0	615.0	647.0	358.0	12.0	218917.0	4333475.0
Sfa-CBas_061_Ex1_L3_clmp.fp2_r1_screen	8695.0	5673.0	60059.0	6540.0	5584.0	786.0	821.0	495.0	18.0	310648.0	6190102.0
Sfa-CBas_061_Ex1_L3_clmp.fp2_r2_screen	8575.0	5742.0	60745.0	6655.0	5374.0	774.0	738.0	452.0	14.0	314863.0	6185489.0
Sfa-CBas_062_Ex1_L3_clmp.fp2_r1_screen	7692.0	3615.0	55941.0	6228.0	4578.0	823.0	732.0	447.0	23.0	294378.0	5897853.0
Sfa-CBas_062_Ex1_L3_clmp.fp2_r2_screen	7505.0	3456.0	56234.0	6173.0	4655.0	753.0	776.0	456.0	16.0	296315.0	5895971.0
Sfa-CBas_066_Ex1_L3_clmp.fp2_r1_screen	8303.0	3668.0	57442.0	6522.0	4968.0	875.0	869.0	383.0	19.0	271877.0	5971736.0
Sfa-CBas_066_Ex1_L3_clmp.fp2_r2_screen	8273.0	3698.0	57887.0	6386.0	4931.0	838.0	806.0	383.0	12.0	276141.0	5967307.0
Sfa-CBas_067_Ex1_L3_clmp.fp2_r1_screen	7271.0	2714.0	50940.0	5639.0	4353.0	841.0	756.0	394.0	10.0	256518.0	5370137.0
Sfa-CBas_067_Ex1_L3_clmp.fp2_r2_screen	7079.0	2774.0	51490.0	5570.0	4297.0	765.0	738.0	381.0	16.0	257466.0	5368997.0
Sfa-CBas_073_Ex1_L3_clmp.fp2_r1_screen	6180.0	2390.0	42280.0	4506.0	3809.0	623.0	567.0	230.0	10.0	213280.0	5023510.0
Sfa-CBas_073_Ex1_L3_clmp.fp2_r2_screen	6240.0	2410.0	42326.0	4645.0	3723.0	529.0	609.0	267.0	9.0	216296.0	5020331.0
Sfa-CBas_076_Ex1_L3_clmp.fp2_r1_screen	6739.0	4760.0	46857.0	5207.0	4329.0	562.0	543.0	327.0	6.0	235962.0	5543201.0
Sfa-CBas_076_Ex1_L3_clmp.fp2_r2_screen	6702.0	4882.0	47219.0	5296.0	4342.0	547.0	598.0	335.0	7.0	237703.0	5540862.0
Sfa-CBas_078_Ex1_L3_clmp.fp2_r1_screen	7294.0	3916.0	49120.0	5500.0	4282.0	737.0	733.0	251.0	21.0	219771.0	5360011.0
Sfa-CBas_078_Ex1_L3_clmp.fp2_r2_screen	7187.0	3914.0	49059.0	5450.0	4175.0	670.0	726.0	306.0	8.0	222391.0	5357750.0
Sfa-CBas_084_Ex1_L3_clmp.fp2_r1_screen	3801.0	5239.0	24725.0	2660.0	2312.0	354.0	303.0	202.0	8.0	135197.0	3080332.0
Sfa-CBas_084_Ex1_L3_clmp.fp2_r2_screen	3730.0	5200.0	25179.0	2645.0	2195.0	377.0	314.0	229.0	6.0	135903.0	3079355.0
Sfa-CBas_086_Ex1_L3_clmp.fp2_r1_screen	6104.0	5725.0	42368.0	4581.0	3645.0	631.0	597.0	235.0	14.0	198047.0	4756186.0
Sfa-CBas_086_Ex1_L3_clmp.fp2_r2_screen	6158.0	5768.0	42783.0	4633.0	3653.0	553.0	552.0	241.0	10.0	200607.0	4753175.0
Sfa-CBas_088_Ex1_L3_clmp.fp2_r1_screen	6970.0	6077.0	46219.0	5342.0	4015.0	741.0	704.0	293.0	10.0	200151.0	5400783.0
Sfa-CBas_088_Ex1_L3_clmp.fp2_r2_screen	7011.0	6046.0	46537.0	5212.0	4029.0	678.0	705.0	239.0	13.0	201753.0	5399082.0
Sfa-CBas_090_Ex1_L3_clmp.fp2_r1_screen	4435.0	3478.0	29674.0	3137.0	2516.0	473.0	422.0	206.0	10.0	155884.0	3276066.0
Sfa-CBas_090_Ex1_L3_clmp.fp2_r2_screen	4400.0	3534.0	29996.0	3263.0	2472.0	408.0	421.0	189.0	7.0	158326.0	3273285.0
Sfa-CBas_091_Ex1_L3_clmp.fp2_r1_screen	35206.0	4254.0	46806.0	5261.0	4236.0	734.0	718.0	325.0	9.0	242675.0	5812102.0
Sfa-CBas_091_Ex1_L3_clmp.fp2_r2_screen	35174.0	4227.0	47284.0	5229.0	4413.0	713.0	673.0	310.0	11.0	244036.0	5810256.0
Sfa-CBas_092_Ex1_L3_clmp.fp2_r1_screen	7502.0	3693.0	49251.0	5395.0	4488.0	621.0	662.0	330.0	16.0	249692.0	5612849.0
Sfa-CBas_092_Ex1_L3_clmp.fp2_r2_screen	7321.0	3643.0	50221.0	5390.0	4555.0	645.0	731.0	367.0	9.0	254109.0	5607508.0
Sfa-CBas_096_Ex1_L3_clmp.fp2_r1_screen	7856.0	5370.0	53586.0	5810.0	4796.0	682.0	681.0	341.0	18.0	242213.0	6144497.0
