Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Viruses	Coral	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Cvi-APal_018-Ex1-3A-lcwgs-1-2.clmp.fp2_r1_screen	868001.0	85608.0	36972.0	3440.0	1097.0	488.0	896.0	345.0	13.0	0.0	0.0	496866.0	5392974.0
Cvi-APal_018-Ex1-3A-lcwgs-1-2.clmp.fp2_r2_screen	862084.0	85737.0	36803.0	3430.0	1140.0	484.0	905.0	371.0	6.0	0.0	0.0	492436.0	5403304.0
Cvi-APal_019-Ex1-3B-lcwgs-1-2.clmp.fp2_r1_screen	2437053.0	323531.0	158917.0	26132.0	6579.0	2472.0	3084.0	1977.0	54.0	0.0	0.0	1653875.0	23096074.0
Cvi-APal_019-Ex1-3B-lcwgs-1-2.clmp.fp2_r2_screen	2414692.0	322360.0	158602.0	25893.0	6449.0	2492.0	2962.0	1900.0	44.0	0.0	0.0	1639486.0	23134868.0
Cvi-APal_020-Ex1-3C-lcwgs-1-2.clmp.fp2_r1_screen	2996354.0	338707.0	47757.0	14399.0	4244.0	1550.0	1865.0	1253.0	15.0	0.0	0.0	1833304.0	20418965.0
Cvi-APal_020-Ex1-3C-lcwgs-1-2.clmp.fp2_r2_screen	2972464.0	336342.0	47927.0	13983.0	4226.0	1577.0	1887.0	1255.0	15.0	0.0	0.0	1808456.0	20470281.0
Cvi-APal_021-Ex1-3D-lcwgs-1-2.clmp.fp2_r1_screen	3943540.0	355348.0	50381.0	9573.0	2913.0	1173.0	2817.0	870.0	34.0	0.0	0.0	2088959.0	19712236.0
Cvi-APal_021-Ex1-3D-lcwgs-1-2.clmp.fp2_r2_screen	3910961.0	353392.0	50219.0	9511.0	2890.0	1183.0	2884.0	848.0	20.0	0.0	0.0	2066130.0	19769806.0
Cvi-APal_022-Ex1-3E-lcwgs-1-2.clmp.fp2_r1_screen	4546653.0	472808.0	137371.0	19535.0	7028.0	2639.0	4172.0	2215.0	45.0	0.0	0.0	2691439.0	30762684.0
Cvi-APal_022-Ex1-3E-lcwgs-1-2.clmp.fp2_r2_screen	4507334.0	472229.0	137203.0	19654.0	6979.0	2564.0	4135.0	2216.0	23.0	0.0	0.0	2665868.0	30828384.0
Cvi-APal_023-Ex1-3F-lcwgs-1-2.clmp.fp2_r1_screen	5335083.0	622485.0	189951.0	32178.0	11695.0	5030.0	8922.0	3993.0	271.0	1.0	0.0	3207402.0	50717153.0
Cvi-APal_023-Ex1-3F-lcwgs-1-2.clmp.fp2_r2_screen	5295578.0	620485.0	189026.0	32375.0	11370.0	5011.0	8591.0	3981.0	232.0	0.0	1.0	3178200.0	50789314.0
Cvi-APal_024-Ex1-3G-lcwgs-1-2.clmp.fp2_r1_screen	2613418.0	473040.0	1638444.0	37337.0	15063.0	5643.0	4295.0	4558.0	111.0	0.0	0.0	2473099.0	46311742.0
Cvi-APal_024-Ex1-3G-lcwgs-1-2.clmp.fp2_r2_screen	2596409.0	474892.0	1634680.0	36936.0	15109.0	5436.0	4284.0	4492.0	61.0	0.0	0.0	2460563.0	46343888.0
Cvi-APal_025-Ex1-3H-lcwgs-1-2.clmp.fp2_r1_screen	430079.0	37117.0	12508.0	1389.0	229.0	128.0	738.0	71.0	7.0	0.0	0.0	245149.0	2090928.0
Cvi-APal_025-Ex1-3H-lcwgs-1-2.clmp.fp2_r2_screen	427755.0	36837.0	12462.0	1416.0	224.0	125.0	700.0	84.0	7.0	0.0	0.0	241886.0	2096847.0
Cvi-APal_026-Ex1-4A-lcwgs-1-2.clmp.fp2_r1_screen	1026350.0	165206.0	48916.0	10687.0	3739.0	1367.0	1551.0	1129.0	3.0	0.0	0.0	1405268.0	13375611.0
Cvi-APal_026-Ex1-4A-lcwgs-1-2.clmp.fp2_r2_screen	1019772.0	165129.0	48629.0	10561.0	3675.0	1290.0	1557.0	1109.0	13.0	0.0	0.0	1401253.0	13386839.0
Cvi-APal_027-Ex1-4B-lcwgs-1-2.clmp.fp2_r1_screen	2345419.0	382488.0	158221.0	27190.0	9643.0	4141.0	5611.0	3181.0	44.0	0.0	0.0	2316759.0	27845577.0
Cvi-APal_027-Ex1-4B-lcwgs-1-2.clmp.fp2_r2_screen	2328633.0	383343.0	157938.0	26923.0	9469.0	4135.0	5652.0	3119.0	54.0	0.0	0.0	2306952.0	27872056.0
Cvi-APal_028-Ex1-4C-lcwgs-1-2.clmp.fp2_r1_screen	1151974.0	501632.0	203918.0	51683.0	38235.0	9271.0	2245.0	11070.0	71.0	0.0	0.0	2414780.0	54393659.0
Cvi-APal_028-Ex1-4C-lcwgs-1-2.clmp.fp2_r2_screen	1146364.0	504990.0	203568.0	50906.0	37769.0	8801.0	2164.0	10850.0	85.0	0.0	0.0	2425260.0	54387781.0
Cvi-APal_029-Ex1-5H-lcwgs-1-2.clmp.fp2_r1_screen	2430125.0	194736.0	29101.0	5297.0	1531.0	565.0	1016.0	339.0	7.0	0.0	0.0	1301456.0	10652982.0
Cvi-APal_029-Ex1-5H-lcwgs-1-2.clmp.fp2_r2_screen	2409601.0	193056.0	29319.0	5253.0	1635.0	563.0	1020.0	357.0	9.0	0.0	0.0	1292664.0	10683678.0
Cvi-APal_030-Ex1-4E-lcwgs-1-2.clmp.fp2_r1_screen	4532312.0	339369.0	114140.0	18292.0	1275.0	643.0	23529.0	371.0	647.0	0.0	0.0	2496860.0	16936123.0
Cvi-APal_030-Ex1-4E-lcwgs-1-2.clmp.fp2_r2_screen	4498877.0	337532.0	113624.0	18409.0	1321.0	649.0	21927.0	366.0	555.0	0.0	0.0	2477912.0	16992389.0
Cvi-APal_031-Ex1-4F-lcwgs-1-2.clmp.fp2_r1_screen	5847853.0	507333.0	507438.0	26976.0	5930.0	2484.0	3922.0	1670.0	50.0	0.0	0.0	4194240.0	28495025.0
Cvi-APal_031-Ex1-4F-lcwgs-1-2.clmp.fp2_r2_screen	5799391.0	506382.0	505561.0	26597.0	5790.0	2406.0	3896.0	1670.0	50.0	0.0	0.0	4174886.0	28566292.0
Cvi-APal_033-Ex1-4H-lcwgs-1-2.clmp.fp2_r1_screen	1904871.0	159654.0	121614.0	8251.0	1051.0	518.0	1615.0	351.0	20.0	0.0	0.0	1033678.0	9192916.0
Cvi-APal_033-Ex1-4H-lcwgs-1-2.clmp.fp2_r2_screen	1894673.0	158934.0	121717.0	8125.0	1066.0	534.0	1593.0	336.0	20.0	0.0	0.0	1024746.0	9212795.0
Cvi-APal_034-Ex1-5A-lcwgs-1-2.clmp.fp2_r1_screen	576011.0	61901.0	50152.0	1910.0	633.0	338.0	1252.0	178.0	0.0	0.0	0.0	410675.0	3277608.0
Cvi-APal_034-Ex1-5A-lcwgs-1-2.clmp.fp2_r2_screen	571742.0	61719.0	49823.0	1916.0	627.0	279.0	1262.0	178.0	5.0	0.0	0.0	408928.0	3284179.0
Cvi-APal_035-Ex1-5B-lcwgs-1-2.clmp.fp2_r1_screen	1961400.0	520308.0	84364.0	36245.0	17924.0	7116.0	2584.0	6058.0	50.0	0.0	0.0	2445061.0	52790294.0
Cvi-APal_035-Ex1-5B-lcwgs-1-2.clmp.fp2_r2_screen	1945489.0	519618.0	84614.0	36168.0	17641.0	7080.0	2555.0	5920.0	75.0	0.0	0.0	2438801.0	52813443.0
Cvi-APal_036-Ex1-5C-lcwgs-1-2.clmp.fp2_r1_screen	1116483.0	92579.0	34033.0	4100.0	1112.0	397.0	690.0	346.0	4.0	0.0	0.0	597496.0	5751443.0
Cvi-APal_036-Ex1-5C-lcwgs-1-2.clmp.fp2_r2_screen	1107961.0	91951.0	33939.0	4073.0	1183.0	390.0	714.0	353.0	3.0	0.0	0.0	590716.0	5767400.0
Cvi-APal_037-Ex1-5D-lcwgs-1-2.clmp.fp2_r1_screen	4184520.0	342663.0	498688.0	20347.0	1937.0	720.0	3925.0	459.0	4.0	0.0	0.0	2316316.0	17510835.0
Cvi-APal_037-Ex1-5D-lcwgs-1-2.clmp.fp2_r2_screen	4147288.0	340998.0	497590.0	20239.0	1942.0	704.0	3978.0	466.0	7.0	0.0	0.0	2291678.0	17575524.0
Cvi-APal_038-Ex1-5E-lcwgs-1-2.clmp.fp2_r1_screen	5294910.0	452058.0	357276.0	19744.0	2379.0	988.0	6610.0	543.0	7.0	0.0	0.0	3471005.0	22878481.0
Cvi-APal_038-Ex1-5E-lcwgs-1-2.clmp.fp2_r2_screen	5252356.0	449917.0	356094.0	19905.0	2498.0	986.0	6675.0	570.0	16.0	0.0	0.0	3441789.0	22953195.0
Cvi-APal_039-Ex1-5F-lcwgs-1-2.clmp.fp2_r1_screen	2187811.0	157022.0	49710.0	4277.0	537.0	199.0	1563.0	140.0	4.0	0.0	0.0	1012646.0	8804805.0
Cvi-APal_039-Ex1-5F-lcwgs-1-2.clmp.fp2_r2_screen	2170141.0	155828.0	49617.0	4142.0	527.0	212.0	1571.0	142.0	6.0	0.0	0.0	999955.0	8836573.0
Cvi-APal_040-Ex1-5G-lcwgs-1-2.clmp.fp2_r1_screen	4502095.0	425104.0	455033.0	28904.0	14512.0	3971.0	2988.0	3639.0	57.0	2.0	0.0	2664086.0	34600664.0
Cvi-APal_040-Ex1-5G-lcwgs-1-2.clmp.fp2_r2_screen	4472152.0	426196.0	453553.0	28779.0	14588.0	3831.0	2880.0	3586.0	63.0	0.0	0.0	2656332.0	34639095.0
Cvi-CPal_001-Ex1-1D-lcwgs-1-2.clmp.fp2_r1_screen	26999.0	282720.0	41075.0	26994.0	22354.0	4513.0	1412.0	3198.0	30.0	0.0	0.0	979211.0	45839561.0
Cvi-CPal_001-Ex1-1D-lcwgs-1-2.clmp.fp2_r2_screen	27036.0	284830.0	41394.0	26981.0	21744.0	4438.0	1473.0	3096.0	29.0	0.0	0.0	986930.0	45830116.0
Cvi-CPal_002-Ex1-1E-lcwgs-1-2.clmp.fp2_r1_screen	26509.0	209026.0	30958.0	16646.0	15238.0	3403.0	924.0	2672.0	26.0	0.0	0.0	687328.0	31134435.0
Cvi-CPal_002-Ex1-1E-lcwgs-1-2.clmp.fp2_r2_screen	26583.0	209447.0	30631.0	16564.0	15216.0	3351.0	939.0	2677.0	15.0	0.0	0.0	687307.0	31134435.0
Cvi-CPal_003-Ex1-1F-lcwgs-1-2.clmp.fp2_r1_screen	12717.0	65675.0	10213.0	5719.0	4428.0	1068.0	326.0	965.0	2.0	0.0	0.0	214688.0	9646360.0
Cvi-CPal_003-Ex1-1F-lcwgs-1-2.clmp.fp2_r2_screen	12574.0	65649.0	10119.0	5627.0	4452.0	1083.0	316.0	925.0	11.0	0.0	0.0	215045.0	9646360.0
Cvi-CPal_004-Ex1-1G-lcwgs-1-2.clmp.fp2_r1_screen	14661.0	158344.0	22031.0	13725.0	10940.0	2623.0	758.0	2180.0	19.0	0.0	0.0	509542.0	22445698.0
Cvi-CPal_004-Ex1-1G-lcwgs-1-2.clmp.fp2_r2_screen	14741.0	159412.0	21975.0	13592.0	10707.0	2538.0	759.0	2161.0	22.0	0.0	0.0	511234.0	22443380.0
Cvi-CPal_005-Ex1-1H-lcwgs-1-2.clmp.fp2_r1_screen	17302.0	132264.0	19659.0	10798.0	9429.0	2180.0	602.0	1807.0	12.0	0.0	0.0	441467.0	19286736.0
Cvi-CPal_005-Ex1-1H-lcwgs-1-2.clmp.fp2_r2_screen	17110.0	132810.0	19196.0	10813.0	9053.0	2117.0	632.0	1742.0	18.0	0.0	0.0	442029.0	19286736.0
Cvi-CPal_006-Ex1-2A-lcwgs-1-2.clmp.fp2_r1_screen	95399.0	85397.0	14697.0	6820.0	4609.0	1154.0	399.0	870.0	23.0	0.0	0.0	296479.0	10054623.0
Cvi-CPal_006-Ex1-2A-lcwgs-1-2.clmp.fp2_r2_screen	94939.0	85801.0	14435.0	6801.0	4651.0	1133.0	439.0	924.0	9.0	0.0	0.0	297771.0	10053567.0
Cvi-CPal_008-Ex1-2B-lcwgs-1-2.clmp.fp2_r1_screen	81165.0	21874.0	6627.0	1461.0	923.0	225.0	133.0	214.0	8.0	0.0	0.0	91091.0	2339604.0
Cvi-CPal_008-Ex1-2B-lcwgs-1-2.clmp.fp2_r2_screen	80581.0	21800.0	6748.0	1484.0	884.0	197.0	132.0	222.0	1.0	0.0	0.0	90655.0	2340621.0
Cvi-CPal_009-Ex1-2C-lcwgs-1-2.clmp.fp2_r1_screen	75352.0	13284.0	5421.0	792.0	522.0	123.0	97.0	128.0	6.0	0.0	0.0	62121.0	1406532.0
Cvi-CPal_009-Ex1-2C-lcwgs-1-2.clmp.fp2_r2_screen	75629.0	13271.0	5430.0	841.0	500.0	114.0	106.0	109.0	1.0	0.0	0.0	61845.0	1406532.0
Cvi-CPal_014-Ex1-2F-lcwgs-1-2.clmp.fp2_r1_screen	48836.0	14759.0	4065.0	1049.0	615.0	157.0	103.0	137.0	2.0	0.0	0.0	61611.0	1518586.0
Cvi-CPal_014-Ex1-2F-lcwgs-1-2.clmp.fp2_r2_screen	48719.0	14854.0	4029.0	1067.0	575.0	149.0	115.0	127.0	3.0	0.0	0.0	61366.0	1518916.0
Cvi-CPal_016-Ex1-2H-lcwgs-1-2.clmp.fp2_r1_screen	54461.0	125176.0	18011.0	10284.0	7712.0	1986.0	599.0	1561.0	26.0	0.0	0.0	436835.0	15597076.0
Cvi-CPal_016-Ex1-2H-lcwgs-1-2.clmp.fp2_r2_screen	54463.0	125816.0	17869.0	10181.0	7731.0	1984.0	589.0	1570.0	20.0	0.0	0.0	438053.0	15595451.0
Cvi-CPal_017-Ex1-3A-lcwgs-1-2.clmp.fp2_r1_screen	85181.0	191966.0	30767.0	15514.0	12554.0	3003.0	952.0	2350.0	33.0	1.0	0.0	709392.0	26624942.0
Cvi-CPal_017-Ex1-3A-lcwgs-1-2.clmp.fp2_r2_screen	85327.0	193358.0	30559.0	15475.0	12406.0	2989.0	1007.0	2386.0	15.0	0.0	0.0	705424.0	26627709.0
Cvi-CPal_020-Ex1-3D-lcwgs-1-2.clmp.fp2_r1_screen	51908.0	66786.0	11669.0	5319.0	3246.0	921.0	232.0	789.0	9.0	0.0	0.0	231513.0	7776219.0
Cvi-CPal_020-Ex1-3D-lcwgs-1-2.clmp.fp2_r2_screen	51977.0	67033.0	11495.0	5225.0	3309.0	951.0	280.0	681.0	8.0	0.0	0.0	231433.0	7776219.0
Cvi-CPal_022-Ex1-3F-lcwgs-1-2.clmp.fp2_r1_screen	42893.0	35869.0	7462.0	2797.0	1856.0	494.0	199.0	392.0	4.0	0.0	0.0	123244.0	4325069.0
Cvi-CPal_022-Ex1-3F-lcwgs-1-2.clmp.fp2_r2_screen	42775.0	36126.0	7353.0	2737.0	1939.0	496.0	176.0	401.0	4.0	0.0	0.0	123203.0	4325069.0
Cvi-CPal_029-Ex1-4A-lcwgs-1-2.clmp.fp2_r1_screen	69943.0	70034.0	12651.0	6128.0	4859.0	1112.0	431.0	995.0	7.0	0.0	0.0	240341.0	11376136.0
Cvi-CPal_029-Ex1-4A-lcwgs-1-2.clmp.fp2_r2_screen	69691.0	71112.0	12596.0	5950.0	4744.0	1136.0	383.0	986.0	13.0	0.0	0.0	242247.0	11373779.0
Cvi-CPal_030-Ex1-4B-lcwgs-1-2.clmp.fp2_r1_screen	66739.0	124317.0	18520.0	9692.0	8185.0	2004.0	621.0	1642.0	22.0	0.0	0.0	484169.0	19680400.0
Cvi-CPal_030-Ex1-4B-lcwgs-1-2.clmp.fp2_r2_screen	66786.0	125401.0	18530.0	9650.0	8016.0	1937.0	674.0	1693.0	25.0	0.0	0.0	483199.0	19680400.0
Cvi-CPal_031-Ex1-4C-lcwgs-1-2.clmp.fp2_r1_screen	66476.0	186499.0	28163.0	15123.0	13252.0	3231.0	943.0	2579.0	30.0	0.0	0.0	661060.0	30049807.0
Cvi-CPal_031-Ex1-4C-lcwgs-1-2.clmp.fp2_r2_screen	66081.0	187759.0	28032.0	14973.0	13094.0	3281.0	944.0	2535.0	32.0	0.0	0.0	663728.0	30046704.0
Cvi-CPal_032-Ex1-4D-lcwgs-1-2.clmp.fp2_r1_screen	52084.0	128203.0	18036.0	10204.0	8223.0	1950.0	635.0	1678.0	21.0	0.0	0.0	468464.0	18252742.0
Cvi-CPal_032-Ex1-4D-lcwgs-1-2.clmp.fp2_r2_screen	51978.0	129475.0	17738.0	10032.0	8188.0	1935.0	639.0	1632.0	17.0	0.0	0.0	467864.0	18252742.0
Cvi-CPal_033-Ex1-4E-lcwgs-1-2.clmp.fp2_r1_screen	59627.0	54087.0	9672.0	4323.0	3556.0	802.0	384.0	660.0	10.0	0.0	0.0	216177.0	7699030.0
Cvi-CPal_033-Ex1-4E-lcwgs-1-2.clmp.fp2_r2_screen	59383.0	54508.0	9545.0	4441.0	3596.0	833.0	392.0	695.0	13.0	0.0	0.0	215892.0	7699030.0
Cvi-CPal_041-Ex1-5A-lcwgs-1-2.clmp.fp2_r1_screen	63109.0	71327.0	13734.0	6116.0	4453.0	1140.0	327.0	1101.0	9.0	0.0	0.0	251719.0	11664003.0
Cvi-CPal_041-Ex1-5A-lcwgs-1-2.clmp.fp2_r2_screen	63022.0	72119.0	13570.0	5970.0	4532.0	1181.0	302.0	1050.0	12.0	0.0	0.0	251277.0	11664003.0
Cvi-CPal_042-Ex1-5B-lcwgs-1-2.clmp.fp2_r1_screen	52694.0	59784.0	11245.0	5080.0	3855.0	961.0	260.0	805.0	7.0	0.0	0.0	205928.0	8576103.0
Cvi-CPal_042-Ex1-5B-lcwgs-1-2.clmp.fp2_r2_screen	52399.0	59976.0	11187.0	5013.0	3704.0	879.0	245.0	759.0	7.0	0.0	0.0	206450.0	8576103.0
Cvi-CPal_043-Ex1-5C-lcwgs-1-2.clmp.fp2_r1_screen	49826.0	41519.0	8368.0	3462.0	2439.0	621.0	203.0	468.0	4.0	0.0	0.0	153584.0	5714120.0
Cvi-CPal_043-Ex1-5C-lcwgs-1-2.clmp.fp2_r2_screen	49858.0	41584.0	8397.0	3594.0	2409.0	633.0	179.0	505.0	4.0	0.0	0.0	153928.0	5713523.0
Cvi-CPal_044-Ex1-5D-lcwgs-1-2.clmp.fp2_r1_screen	45024.0	115036.0	18314.0	9611.0	7946.0	1834.0	537.0	1429.0	13.0	0.0	0.0	419391.0	17020014.0
Cvi-CPal_044-Ex1-5D-lcwgs-1-2.clmp.fp2_r2_screen	44951.0	115650.0	18186.0	9347.0	7804.0	1699.0	553.0	1442.0	20.0	0.0	0.0	421247.0	17018250.0
Cvi-CPal_045-Ex1-5E-lcwgs-1-2.clmp.fp2_r1_screen	16831.0	30004.0	5332.0	2458.0	2281.0	529.0	147.0	367.0	3.0	0.0	0.0	102677.0	5158182.0
Cvi-CPal_045-Ex1-5E-lcwgs-1-2.clmp.fp2_r2_screen	16928.0	30378.0	5379.0	2547.0	2330.0	451.0	157.0	413.0	3.0	0.0	0.0	103106.0	5157119.0
Cvi-CPal_049-Ex1-6A-lcwgs-1-2.clmp.fp2_r1_screen	889.0	13379.0	1759.0	1149.0	1007.0	236.0	72.0	204.0	5.0	0.0	0.0	42153.0	2288665.0
Cvi-CPal_049-Ex1-6A-lcwgs-1-2.clmp.fp2_r2_screen	922.0	13683.0	1889.0	1221.0	937.0	209.0	61.0	207.0	2.0	0.0	0.0	42897.0	2287490.0
Cvi-CPal_050-Ex1-6B-lcwgs-1-2.clmp.fp2_r1_screen	3869.0	50714.0	6713.0	4279.0	3695.0	791.0	249.0	689.0	4.0	0.0	0.0	173606.0	8522731.0
Cvi-CPal_050-Ex1-6B-lcwgs-1-2.clmp.fp2_r2_screen	3848.0	50714.0	6719.0	4299.0	3759.0	851.0	271.0	628.0	4.0	0.0	0.0	174393.0	8521854.0
Cvi-CPal_051-Ex1-6C-lcwgs-1-2.clmp.fp2_r1_screen	10039.0	148970.0	20608.0	12762.0	10766.0	2444.0	707.0	1966.0	21.0	0.0	0.0	500455.0	22528544.0
Cvi-CPal_051-Ex1-6C-lcwgs-1-2.clmp.fp2_r2_screen	9855.0	151047.0	20448.0	12912.0	10588.0	2527.0	745.0	1977.0	21.0	0.0	0.0	507913.0	22519249.0
Cvi-CPal_052-Ex1-6D-lcwgs-1-2.clmp.fp2_r1_screen	2698.0	54069.0	7190.0	4323.0	3911.0	888.0	243.0	739.0	8.0	0.0	0.0	168741.0	8716936.0
Cvi-CPal_052-Ex1-6D-lcwgs-1-2.clmp.fp2_r2_screen	2724.0	54725.0	7200.0	4380.0	3801.0	912.0	243.0	741.0	6.0	0.0	0.0	171662.0	8713352.0
