Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Ecoli	Multiple Genomes	No hits
Par-ARag_030-Ex1-10A-lcwgs-2-T.clmp.fp2_r2_screen	133239.0	14765.0	5648.0	656.0	26.0	628.0	66.0	11.0	1.0	0.0	74191.0	1030971.0
Par-CPas_003-Ex1-5C-lcwgs-1-T.clmp.fp2_r1_screen	921.0	1852.0	395.0	110.0	73.0	24.0	10.0	6.0	0.0	0.0	4263.0	148218.0
Par-CPas_003-Ex1-5C-lcwgs-1-T.clmp.fp2_r2_screen	934.0	1886.0	367.0	123.0	87.0	15.0	15.0	15.0	0.0	0.0	4227.0	148203.0
Par-CPas_004-Ex1-7D7E-lcwgs-1and2-T.clmp.fp2_r1_screen	1670.0	1205.0	595.0	73.0	44.0	12.0	11.0	4.0	0.0	0.0	3188.0	84366.0
Par-CPas_004-Ex1-7D7E-lcwgs-1and2-T.clmp.fp2_r2_screen	1689.0	1161.0	593.0	75.0	23.0	12.0	6.0	4.0	3.0	0.0	3236.0	84366.0
Par-CPas_008-Ex1-6E6F-lcwgs-1and2-T.clmp.fp2_r1_screen	1587.0	6966.0	890.0	456.0	271.0	78.0	37.0	48.0	0.0	0.0	15096.0	534677.0
Par-CPas_008-Ex1-6E6F-lcwgs-1and2-T.clmp.fp2_r2_screen	1580.0	6864.0	873.0	452.0	303.0	68.0	43.0	54.0	3.0	0.0	15189.0	534677.0
Par-CPas_010-Ex1-5A-lcwgs-1-T.clmp.fp2_r1_screen	6060.0	50035.0	4327.0	3335.0	1897.0	447.0	378.0	358.0	3.0	0.0	91728.0	4173875.0
Par-CPas_010-Ex1-5A-lcwgs-1-T.clmp.fp2_r2_screen	6230.0	49940.0	4334.0	3305.0	1874.0	470.0	354.0	332.0	2.0	0.0	91727.0	4173875.0
Par-CPas_013-Ex1-2F3G-lcwgs-1and2-T.clmp.fp2_r1_screen	494.0	449.0	206.0	50.0	17.0	8.0	3.0	4.0	0.0	0.0	1415.0	42123.0
Par-CPas_013-Ex1-2F3G-lcwgs-1and2-T.clmp.fp2_r2_screen	468.0	503.0	226.0	39.0	18.0	7.0	3.0	6.0	0.0	0.0	1426.0	42073.0
Par-CPas_015-Ex1-7H-lcwgs-1-T.clmp.fp2_r1_screen	1778.0	5159.0	900.0	299.0	181.0	57.0	35.0	33.0	0.0	0.0	10840.0	342468.0
Par-CPas_015-Ex1-7H-lcwgs-1-T.clmp.fp2_r2_screen	1697.0	5177.0	934.0	280.0	156.0	59.0	28.0	27.0	2.0	0.0	10849.0	342541.0
Par-CPas_016-Ex1-6F6G-lcwgs-1and2-T.clmp.fp2_r1_screen	1726.0	4004.0	685.0	304.0	140.0	38.0	18.0	23.0	0.0	0.0	8238.0	298372.0
Par-CPas_016-Ex1-6F6G-lcwgs-1and2-T.clmp.fp2_r2_screen	1685.0	4022.0	702.0	242.0	139.0	43.0	30.0	22.0	2.0	0.0	8258.0	298403.0
Par-CPas_018-Ex1-3H4H-lcwgs-1and2-T.clmp.fp2_r1_screen	1250.0	1492.0	791.0	109.0	44.0	14.0	12.0	15.0	0.0	0.0	3773.0	116456.0
Par-CPas_018-Ex1-3H4H-lcwgs-1and2-T.clmp.fp2_r2_screen	1199.0	1516.0	813.0	112.0	67.0	23.0	7.0	17.0	0.0	0.0	3845.0	116357.0
Par-CPas_020-Ex1-6A-lcwgs-1-T.clmp.fp2_r1_screen	971.0	2717.0	349.0	157.0	92.0	24.0	28.0	12.0	0.0	0.0	6288.0	197931.0
Par-CPas_020-Ex1-6A-lcwgs-1-T.clmp.fp2_r2_screen	953.0	2686.0	333.0	175.0	107.0	31.0	30.0	17.0	0.0	0.0	6243.0	197994.0
Par-CPas_023-Ex1-8H-lcwgs-1-T.clmp.fp2_r1_screen	1181.0	7158.0	742.0	464.0	264.0	70.0	43.0	62.0	0.0	0.0	14152.0	586898.0
Par-CPas_023-Ex1-8H-lcwgs-1-T.clmp.fp2_r2_screen	1206.0	7142.0	802.0	480.0	291.0	68.0	56.0	46.0	0.0	0.0	14106.0	586837.0
Par-CPas_027-Ex1-2E-lcwgs-1-T.clmp.fp2_r1_screen	156.0	598.0	111.0	48.0	32.0	3.0	7.0	9.0	0.0	0.0	1681.0	53750.0
Par-CPas_027-Ex1-2E-lcwgs-1-T.clmp.fp2_r2_screen	163.0	607.0	110.0	49.0	32.0	5.0	6.0	9.0	0.0	0.0	1698.0	53716.0
Par-CPas_028-Ex1-3C-lcwgs-1-T.clmp.fp2_r1_screen	11603.0	40942.0	3362.0	2347.0	995.0	701.0	214.0	152.0	1.0	0.0	87222.0	2022145.0
Par-CPas_028-Ex1-3C-lcwgs-1-T.clmp.fp2_r2_screen	11574.0	40881.0	3331.0	2335.0	951.0	740.0	207.0	174.0	8.0	0.0	87772.0	2021711.0
Par-CPas_033-Ex1-5F-lcwgs-1-T.clmp.fp2_r1_screen	2410.0	13179.0	1581.0	837.0	493.0	128.0	79.0	86.0	1.0	0.0	23909.0	1030222.0
Par-CPas_033-Ex1-5F-lcwgs-1-T.clmp.fp2_r2_screen	2372.0	13122.0	1637.0	832.0	481.0	135.0	95.0	88.0	1.0	0.0	24262.0	1029900.0
Par-CPas_035-Ex1-2G3H-lcwgs-1and2-T.clmp.fp2_r1_screen	1636.0	9089.0	1011.0	531.0	299.0	98.0	82.0	50.0	1.0	0.0	17673.0	648135.0
Par-CPas_035-Ex1-2G3H-lcwgs-1and2-T.clmp.fp2_r2_screen	1624.0	9091.0	994.0	572.0	310.0	81.0	62.0	44.0	3.0	0.0	17689.0	648135.0
Par-CPas_037-Ex1-7C7D-lcwgs-1and2-T.clmp.fp2_r1_screen	2637.0	1565.0	475.0	107.0	56.0	12.0	15.0	6.0	0.0	0.0	4117.0	106408.0
Par-CPas_037-Ex1-7C7D-lcwgs-1and2-T.clmp.fp2_r2_screen	2620.0	1531.0	473.0	118.0	50.0	22.0	13.0	6.0	3.0	0.0	4085.0	106477.0
Par-CPas_038-Ex1-4D-lcwgs-1-T.clmp.fp2_r1_screen	19798.0	134322.0	10857.0	9009.0	4359.0	1094.0	868.0	944.0	14.0	0.0	270719.0	8867261.0
Par-CPas_038-Ex1-4D-lcwgs-1-T.clmp.fp2_r2_screen	19713.0	134553.0	10416.0	9042.0	4098.0	1119.0	903.0	889.0	21.0	0.0	272162.0	8866329.0
Par-CPas_041-Ex1-8F-lcwgs-1-T.clmp.fp2_r1_screen	2673.0	2788.0	882.0	200.0	77.0	25.0	26.0	14.0	0.0	0.0	6669.0	192714.0
Par-CPas_041-Ex1-8F-lcwgs-1-T.clmp.fp2_r2_screen	2679.0	2786.0	882.0	213.0	75.0	37.0	18.0	13.0	2.0	0.0	6587.0	192776.0
Par-CPas_043-Ex1-7F7G-lcwgs-1and2-T.clmp.fp2_r1_screen	3256.0	3363.0	1109.0	237.0	96.0	44.0	20.0	17.0	0.0	0.0	7422.0	242534.0
Par-CPas_043-Ex1-7F7G-lcwgs-1and2-T.clmp.fp2_r2_screen	3254.0	3335.0	1113.0	230.0	88.0	44.0	13.0	12.0	0.0	0.0	7501.0	242508.0
Par-CPas_044-Ex1-8D-lcwgs-1-T.clmp.fp2_r1_screen	1285.0	1370.0	523.0	91.0	35.0	18.0	6.0	8.0	0.0	0.0	3448.0	87300.0
Par-CPas_044-Ex1-8D-lcwgs-1-T.clmp.fp2_r2_screen	1302.0	1409.0	527.0	99.0	38.0	11.0	5.0	9.0	2.0	0.0	3476.0	87206.0
Par-CPas_045-Ex1-6H7A-lcwgs-1and2-T.clmp.fp2_r1_screen	1536.0	1611.0	787.0	97.0	56.0	20.0	7.0	8.0	0.0	0.0	4117.0	112202.0
Par-CPas_045-Ex1-6H7A-lcwgs-1and2-T.clmp.fp2_r2_screen	1494.0	1656.0	781.0	107.0	48.0	18.0	10.0	11.0	0.0	0.0	4150.0	112166.0
Par-CPas_046-Ex1-3G-lcwgs-1-T.clmp.fp2_r1_screen	1082.0	944.0	384.0	74.0	45.0	11.0	8.0	7.0	0.0	0.0	2492.0	76736.0
Par-CPas_046-Ex1-3G-lcwgs-1-T.clmp.fp2_r2_screen	1065.0	995.0	381.0	80.0	29.0	7.0	6.0	12.0	1.0	0.0	2503.0	76704.0
Par-CPas_047-Ex1-2H-lcwgs-1-T.clmp.fp2_r1_screen	438.0	671.0	128.0	67.0	36.0	6.0	5.0	4.0	0.0	0.0	1946.0	54394.0
Par-CPas_047-Ex1-2H-lcwgs-1-T.clmp.fp2_r2_screen	405.0	647.0	132.0	60.0	31.0	7.0	6.0	3.0	1.0	0.0	2032.0	54371.0
Par-CPas_048-Ex1-4E-lcwgs-1-T.clmp.fp2_r1_screen	6628.0	31560.0	3037.0	1862.0	1022.0	271.0	231.0	189.0	1.0	0.0	59872.0	2141528.0
Par-CPas_048-Ex1-4E-lcwgs-1-T.clmp.fp2_r2_screen	6652.0	31483.0	2995.0	1911.0	1024.0	276.0	227.0	213.0	1.0	0.0	60341.0	2141078.0
Par-CPas_049-Ex1-4B-lcwgs-1-T.clmp.fp2_r1_screen	8126.0	143934.0	10894.0	9044.0	4835.0	907.0	961.0	871.0	13.0	0.0	274798.0	9642999.0
Par-CPas_049-Ex1-4B-lcwgs-1-T.clmp.fp2_r2_screen	8091.0	145345.0	11135.0	9059.0	4802.0	845.0	969.0	869.0	10.0	0.0	276287.0	9639970.0
Par-CPas_055-Ex1-4F5E-lcwgs-1and2-T.clmp.fp2_r1_screen	10121.0	85573.0	6251.0	5131.0	2497.0	665.0	476.0	452.0	8.0	0.0	154076.0	5402467.0
Par-CPas_055-Ex1-4F5E-lcwgs-1and2-T.clmp.fp2_r2_screen	10095.0	85930.0	6226.0	5107.0	2512.0	684.0	504.0	451.0	9.0	0.0	154865.0	5401334.0
Par-CPas_058-Ex1-5D-lcwgs-1-T.clmp.fp2_r1_screen	10950.0	72182.0	8030.0	4463.0	2254.0	674.0	491.0	459.0	7.0	0.0	137071.0	4951593.0
Par-CPas_058-Ex1-5D-lcwgs-1-T.clmp.fp2_r2_screen	11034.0	72177.0	8218.0	4380.0	2269.0	649.0	504.0	435.0	12.0	0.0	137941.0	4950555.0
Par-CPas_059-Ex1-3A-lcwgs-1-T.clmp.fp2_r1_screen	1306.0	7292.0	743.0	484.0	253.0	99.0	45.0	55.0	0.0	0.0	14082.0	543436.0
Par-CPas_059-Ex1-3A-lcwgs-1-T.clmp.fp2_r2_screen	1287.0	7301.0	733.0	514.0	285.0	87.0	45.0	59.0	1.0	0.0	14047.0	543436.0
Par-CPas_061-Ex1-3D-lcwgs-1-T.clmp.fp2_r1_screen	1388.0	4649.0	469.0	316.0	169.0	48.0	36.0	26.0	0.0	0.0	9437.0	344538.0
Par-CPas_061-Ex1-3D-lcwgs-1-T.clmp.fp2_r2_screen	1462.0	4663.0	473.0	279.0	173.0	38.0	36.0	27.0	1.0	0.0	9277.0	344647.0
Par-CPas_062-Ex1-5E-lcwgs-1-T.clmp.fp2_r1_screen	6632.0	45238.0	3553.0	2844.0	1546.0	508.0	297.0	247.0	2.0	0.0	88569.0	3050462.0
Par-CPas_062-Ex1-5E-lcwgs-1-T.clmp.fp2_r2_screen	6593.0	45228.0	3631.0	2905.0	1546.0	498.0	275.0	250.0	4.0	0.0	89146.0	3049822.0
Par-CPas_063-Ex1-8B8C-lcwgs-1and2-T.clmp.fp2_r1_screen	7713.0	102503.0	5774.0	5893.0	3019.0	592.0	530.0	418.0	4.0	0.0	179617.0	6261810.0
Par-CPas_063-Ex1-8B8C-lcwgs-1and2-T.clmp.fp2_r2_screen	7623.0	102492.0	5507.0	5893.0	2932.0	605.0	517.0	397.0	3.0	0.0	181408.0	6260496.0
Par-CPas_064-Ex1-6C6D-lcwgs-1and2-T.clmp.fp2_r1_screen	1400.0	2015.0	346.0	134.0	76.0	20.0	6.0	12.0	0.0	0.0	4479.0	140679.0
Par-CPas_064-Ex1-6C6D-lcwgs-1and2-T.clmp.fp2_r2_screen	1358.0	1915.0	353.0	148.0	71.0	20.0	14.0	16.0	1.0	0.0	4562.0	140709.0
Par-CPas_065-Ex1-3E-lcwgs-1-T.clmp.fp2_r1_screen	840.0	3283.0	403.0	215.0	123.0	35.0	13.0	28.0	0.0	0.0	6677.0	242567.0
Par-CPas_065-Ex1-3E-lcwgs-1-T.clmp.fp2_r2_screen	826.0	3157.0	392.0	210.0	138.0	33.0	27.0	23.0	1.0	0.0	6810.0	242567.0
Par-CPas_066-Ex1-8G-lcwgs-1-T.clmp.fp2_r1_screen	2845.0	5907.0	1890.0	378.0	169.0	36.0	36.0	39.0	1.0	0.0	13253.0	372109.0
