Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Dar-AJol_012-Ex1-2D-lcwgs-1-1.clmp.fp2_r2_screen	171272.0	47372.0	9536.0	2943.0	3426.0	959.0	430.0	384.0	13.0	0.0	1.0	318705.0	4859989.0
Dar-AJol_013-Ex1-2E-lcwgs-1-1.clmp.fp2_r1_screen	3668.0	35362.0	3786.0	2303.0	2070.0	892.0	367.0	178.0	10.0	0.0	0.0	206881.0	3235146.0
Dar-AJol_013-Ex1-2E-lcwgs-1-1.clmp.fp2_r2_screen	3637.0	35042.0	3791.0	2280.0	1955.0	789.0	323.0	160.0	13.0	0.0	0.0	204735.0	3237938.0
Dar-AJol_014-Ex1-2F-lcwgs-1-1.clmp.fp2_r1_screen	6691.0	11749.0	12968.0	1001.0	611.0	253.0	129.0	65.0	4.0	0.0	0.0	51905.0	1961991.0
Dar-AJol_014-Ex1-2F-lcwgs-1-1.clmp.fp2_r2_screen	6672.0	11722.0	12940.0	976.0	591.0	216.0	104.0	84.0	2.0	0.0	0.0	51454.0	1962606.0
Dar-AJol_015-Ex1-2G-lcwgs-1-1.clmp.fp2_r1_screen	17965.0	4739.0	2092.0	411.0	266.0	101.0	59.0	52.0	1.0	0.0	0.0	31742.0	790833.0
Dar-AJol_015-Ex1-2G-lcwgs-1-1.clmp.fp2_r2_screen	18011.0	4770.0	2100.0	416.0	265.0	89.0	53.0	51.0	2.0	0.0	0.0	31331.0	791173.0
Dar-AJol_016-Ex1-2H-lcwgs-1-1.clmp.fp2_r1_screen	108376.0	66280.0	25919.0	4912.0	4235.0	1687.0	627.0	485.0	23.0	0.0	0.0	467994.0	4095165.0
Dar-AJol_016-Ex1-2H-lcwgs-1-1.clmp.fp2_r2_screen	107833.0	66885.0	25902.0	4701.0	4019.0	1546.0	591.0	441.0	20.0	0.0	0.0	458094.0	4105671.0
Dar-AJol_017-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	11238.0	31444.0	10279.0	2123.0	1411.0	644.0	253.0	128.0	5.0	0.0	0.0	207190.0	2287985.0
Dar-AJol_017-Ex1-3A-lcwgs-1-1.clmp.fp2_r2_screen	11152.0	31914.0	10192.0	2147.0	1378.0	634.0	262.0	109.0	4.0	0.0	0.0	204881.0	2290027.0
Dar-AJol_018-Ex1-3B-lcwgs-1-1.clmp.fp2_r1_screen	3907.0	11278.0	2110.0	889.0	562.0	255.0	121.0	70.0	1.0	0.0	0.0	65479.0	1310242.0
Dar-AJol_018-Ex1-3B-lcwgs-1-1.clmp.fp2_r2_screen	3839.0	11536.0	2066.0	862.0	557.0	241.0	98.0	57.0	8.0	0.0	0.0	65129.0	1310521.0
Dar-AJol_019-Ex1-3C-lcwgs-1-1.clmp.fp2_r1_screen	424160.0	106168.0	10104.0	7528.0	5412.0	2032.0	832.0	938.0	18.0	0.0	0.0	677366.0	7496400.0
Dar-AJol_019-Ex1-3C-lcwgs-1-1.clmp.fp2_r2_screen	421035.0	106515.0	9712.0	7290.0	5195.0	1942.0	788.0	843.0	24.0	0.0	0.0	662006.0	7515608.0
Dar-AJol_020-Ex1-3D-lcwgs-1-1.clmp.fp2_r1_screen	42990.0	29814.0	9341.0	2462.0	1565.0	552.0	361.0	270.0	0.0	0.0	0.0	146968.0	4212015.0
Dar-AJol_020-Ex1-3D-lcwgs-1-1.clmp.fp2_r2_screen	42805.0	29676.0	9529.0	2484.0	1543.0	589.0	331.0	283.0	9.0	0.0	0.0	145295.0	4213794.0
Dar-AJol_021-Ex1-3E-lcwgs-1-1.clmp.fp2_r1_screen	3358.0	7733.0	2255.0	815.0	410.0	141.0	102.0	47.0	2.0	0.0	0.0	26679.0	1480116.0
Dar-AJol_021-Ex1-3E-lcwgs-1-1.clmp.fp2_r2_screen	3371.0	7919.0	2222.0	799.0	363.0	163.0	96.0	54.0	5.0	0.0	0.0	26398.0	1480268.0
Dar-CJol_009-Ex1-3B-lcwgs-1-1.clmp.fp2_r1_screen	8364.0	15922.0	2383.0	1393.0	1477.0	212.0	113.0	78.0	1.0	0.0	0.0	72515.0	2082136.0
Dar-CJol_009-Ex1-3B-lcwgs-1-1.clmp.fp2_r2_screen	8407.0	16094.0	2287.0	1368.0	1391.0	175.0	105.0	84.0	2.0	0.0	0.0	71234.0	2083447.0
Dar-CJol_012-Ex1-3D-lcwgs-1-1.clmp.fp2_r1_screen	12243.0	17024.0	2517.0	1524.0	1568.0	167.0	92.0	147.0	1.0	0.0	0.0	84542.0	1698447.0
Dar-CJol_012-Ex1-3D-lcwgs-1-1.clmp.fp2_r2_screen	12181.0	17034.0	2286.0	1484.0	1492.0	153.0	88.0	132.0	2.0	0.0	0.0	82791.0	1700629.0
Dar-CJol_019-Ex1-1G-lcwgs-1-1.clmp.fp2_r1_screen	8435.0	15896.0	2430.0	1449.0	1422.0	221.0	95.0	74.0	0.0	0.0	0.0	64351.0	2115761.0
Dar-CJol_019-Ex1-1G-lcwgs-1-1.clmp.fp2_r2_screen	8335.0	15869.0	2282.0	1441.0	1412.0	181.0	109.0	71.0	3.0	0.0	0.0	63123.0	2117308.0
Dar-CJol_020-Ex1-4F-lcwgs-1-1.clmp.fp2_r1_screen	13312.0	30511.0	4724.0	3032.0	2973.0	363.0	208.0	159.0	1.0	0.0	0.0	135497.0	3602058.0
Dar-CJol_020-Ex1-4F-lcwgs-1-1.clmp.fp2_r2_screen	13189.0	30360.0	4466.0	3028.0	2713.0	358.0	176.0	145.0	6.0	0.0	0.0	133305.0	3605092.0
Dar-CJol_021-Ex1-6F-lcwgs-1-1.clmp.fp2_r1_screen	7054.0	30830.0	4458.0	3086.0	2683.0	390.0	224.0	144.0	13.0	0.0	0.0	132036.0	3930837.0
Dar-CJol_021-Ex1-6F-lcwgs-1-1.clmp.fp2_r2_screen	6994.0	31258.0	4154.0	3046.0	2515.0	371.0	194.0	135.0	7.0	0.0	0.0	128954.0	3934127.0
Dar-CJol_022-Ex1-7C-lcwgs-1-1.clmp.fp2_r1_screen	744.0	9789.0	1250.0	962.0	716.0	129.0	55.0	48.0	1.0	0.0	0.0	40428.0	978726.0
Dar-CJol_022-Ex1-7C-lcwgs-1-1.clmp.fp2_r2_screen	737.0	9705.0	1247.0	952.0	711.0	118.0	54.0	48.0	1.0	0.0	0.0	40136.0	979139.0
Dar-CJol_023-Ex1-8B-lcwgs-1-1.clmp.fp2_r1_screen	471.0	6304.0	809.0	622.0	505.0	78.0	33.0	34.0	2.0	0.0	0.0	25124.0	784849.0
