Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sfa-ABas_024-Ex1-4A-lcwgs-2-3.clmp.fp2_r1_screen	8908.0	28940.0	2579.0	797.0	420.0	92.0	91.0	43.0	0.0	0.0	41839.0	760980.0
Sfa-ABas_024-Ex1-4A-lcwgs-2-3.clmp.fp2_r2_screen	8891.0	28661.0	2603.0	778.0	437.0	99.0	83.0	54.0	0.0	0.0	41512.0	761571.0
Sfa-ABas_025-Ex1-7C-lcwgs-1-3.clmp.fp2_r1_screen	2496.0	1463.0	1038.0	300.0	198.0	44.0	40.0	9.0	1.0	0.0	10898.0	338053.0
Sfa-ABas_025-Ex1-7C-lcwgs-1-3.clmp.fp2_r2_screen	2430.0	1439.0	982.0	313.0	212.0	47.0	28.0	9.0	0.0	0.0	10849.0	338231.0
Sfa-ABas_026-Ex1-7F-lcwgs-1-3.clmp.fp2_r1_screen	49.0	275.0	146.0	5.0	3.0	0.0	0.0	1.0	0.0	0.0	260.0	5292.0
Sfa-ABas_026-Ex1-7F-lcwgs-1-3.clmp.fp2_r2_screen	48.0	276.0	149.0	2.0	1.0	1.0	0.0	3.0	0.0	0.0	262.0	5289.0
Sfa-ABas_027-Ex1-8A-lcwgs-1-3.clmp.fp2_r1_screen	63.0	363.0	170.0	11.0	4.0	2.0	1.0	1.0	0.0	0.0	399.0	7345.0
Sfa-ABas_027-Ex1-8A-lcwgs-1-3.clmp.fp2_r2_screen	67.0	355.0	171.0	9.0	3.0	0.0	0.0	3.0	0.0	0.0	396.0	7355.0
Sfa-ABas_028-Ex1-8D-lcwgs-1-3.clmp.fp2_r1_screen	7081.0	30080.0	22721.0	4479.0	502.0	131.0	116.0	61.0	3.0	0.0	38632.0	866340.0
Sfa-ABas_028-Ex1-8D-lcwgs-1-3.clmp.fp2_r2_screen	7137.0	29911.0	22770.0	4448.0	501.0	121.0	118.0	67.0	2.0	0.0	38149.0	866922.0
Sfa-ABas_029-Ex1-8G-lcwgs-1-3.clmp.fp2_r1_screen	41.0	319.0	119.0	8.0	0.0	1.0	0.0	1.0	0.0	0.0	273.0	4948.0
Sfa-ABas_029-Ex1-8G-lcwgs-1-3.clmp.fp2_r2_screen	43.0	312.0	116.0	7.0	2.0	1.0	1.0	1.0	0.0	0.0	292.0	4935.0
Sfa-ABas_030-Ex1-9B-lcwgs-1-3.clmp.fp2_r1_screen	44.0	310.0	93.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	193.0	3546.0
Sfa-ABas_030-Ex1-9B-lcwgs-1-3.clmp.fp2_r2_screen	44.0	303.0	95.0	7.0	1.0	0.0	0.0	1.0	0.0	0.0	208.0	3535.0
Sfa-ABas_031-Ex1-9E-lcwgs-1-3.clmp.fp2_r1_screen	33.0	186.0	56.0	9.0	1.0	1.0	0.0	1.0	0.0	0.0	127.0	2079.0
Sfa-ABas_031-Ex1-9E-lcwgs-1-3.clmp.fp2_r2_screen	20.0	168.0	55.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	2123.0
Sfa-ABas_032-Ex1-9H-lcwgs-1-3.clmp.fp2_r1_screen	27.0	259.0	58.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	170.0	3118.0
Sfa-ABas_032-Ex1-9H-lcwgs-1-3.clmp.fp2_r2_screen	34.0	250.0	61.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	184.0	3104.0
Sfa-ABas_033-Ex1-10C-lcwgs-1-3.clmp.fp2_r1_screen	23.0	49.0	16.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	77.0	1884.0
Sfa-ABas_033-Ex1-10C-lcwgs-1-3.clmp.fp2_r2_screen	22.0	43.0	19.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	67.0	1898.0
Sfa-ABas_034-Ex1-10F-lcwgs-1-3.clmp.fp2_r1_screen	12.0	30.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	1042.0
Sfa-ABas_034-Ex1-10F-lcwgs-1-3.clmp.fp2_r2_screen	15.0	30.0	6.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	38.0	1038.0
Sfa-ABas_035-Ex1-3A-lcwgs-2-3.clmp.fp2_r1_screen	12610.0	20868.0	5403.0	1519.0	834.0	208.0	187.0	67.0	4.0	0.0	58022.0	1308778.0
Sfa-ABas_035-Ex1-3A-lcwgs-2-3.clmp.fp2_r2_screen	12696.0	20836.0	5372.0	1457.0	782.0	206.0	205.0	60.0	5.0	0.0	57681.0	1309200.0
Sfa-CBas_001-Ex1-12A-lcwgs-2-3.clmp.fp2_r1_screen	22278.0	17255.0	2986.0	2195.0	1637.0	299.0	316.0	161.0	8.0	0.0	106233.0	2006731.0
Sfa-CBas_001-Ex1-12A-lcwgs-2-3.clmp.fp2_r2_screen	21587.0	16897.0	2931.0	2226.0	1630.0	277.0	289.0	142.0	9.0	0.0	104571.0	2009540.0
Sfa-CBas_002-Ex1-3C-lcwgs-1-3.clmp.fp2_r1_screen	79.0	19.0	11.0	9.0	6.0	2.0	0.0	1.0	0.0	0.0	325.0	8358.0
Sfa-CBas_002-Ex1-3C-lcwgs-1-3.clmp.fp2_r2_screen	86.0	18.0	11.0	6.0	7.0	1.0	1.0	1.0	0.0	0.0	326.0	8353.0
Sfa-CBas_003-Ex1-3A-lcwgs-1-3.clmp.fp2_r1_screen	34.0	8.0	7.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	124.0	3454.0
Sfa-CBas_003-Ex1-3A-lcwgs-1-3.clmp.fp2_r2_screen	31.0	11.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	3453.0
Sfa-CBas_006-Ex1-1F-lcwgs-1-3.clmp.fp2_r1_screen	57.0	6.0	2.0	7.0	1.0	2.0	3.0	0.0	0.0	0.0	289.0	6399.0
Sfa-CBas_006-Ex1-1F-lcwgs-1-3.clmp.fp2_r2_screen	59.0	11.0	8.0	5.0	6.0	0.0	2.0	1.0	0.0	0.0	270.0	6404.0
Sfa-CBas_007-Ex1-7D-lcwgs-1-3.clmp.fp2_r1_screen	64288.0	4418.0	10219.0	7667.0	5793.0	1148.0	1162.0	486.0	21.0	0.0	314098.0	7631956.0
Sfa-CBas_007-Ex1-7D-lcwgs-1-3.clmp.fp2_r2_screen	64250.0	4405.0	10289.0	7359.0	5767.0	1091.0	1054.0	414.0	22.0	0.0	310629.0	7635976.0
Sfa-CBas_008-Ex1-4H-lcwgs-1-3.clmp.fp2_r1_screen	162.0	28.0	27.0	11.0	8.0	1.0	4.0	3.0	0.0	0.0	698.0	15906.0
Sfa-CBas_008-Ex1-4H-lcwgs-1-3.clmp.fp2_r2_screen	157.0	21.0	23.0	14.0	11.0	1.0	1.0	3.0	0.0	0.0	683.0	15934.0
Sfa-CBas_009-Ex1-6E-lcwgs-1-3.clmp.fp2_r1_screen	315.0	62.0	43.0	22.0	16.0	2.0	1.0	1.0	0.0	0.0	981.0	29255.0
Sfa-CBas_009-Ex1-6E-lcwgs-1-3.clmp.fp2_r2_screen	320.0	67.0	31.0	39.0	19.0	5.0	5.0	2.0	0.0	0.0	1001.0	29209.0
Sfa-CBas_010-Ex1-6C-lcwgs-1-3.clmp.fp2_r1_screen	177.0	20.0	20.0	12.0	10.0	1.0	0.0	1.0	0.0	0.0	638.0	18218.0
Sfa-CBas_010-Ex1-6C-lcwgs-1-3.clmp.fp2_r2_screen	190.0	24.0	21.0	17.0	9.0	1.0	2.0	3.0	0.0	0.0	685.0	18145.0
Sfa-CBas_011-Ex1-5F-lcwgs-1-3.clmp.fp2_r1_screen	581.0	76.0	71.0	42.0	35.0	2.0	4.0	8.0	0.0	0.0	1889.0	54418.0
Sfa-CBas_011-Ex1-5F-lcwgs-1-3.clmp.fp2_r2_screen	609.0	82.0	85.0	52.0	31.0	7.0	5.0	4.0	0.0	0.0	1856.0	54395.0
Sfa-CBas_014-Ex1-8C-lcwgs-1-3.clmp.fp2_r1_screen	51514.0	2768.0	7729.0	5864.0	4469.0	887.0	920.0	342.0	32.0	0.0	234609.0	5670233.0
Sfa-CBas_014-Ex1-8C-lcwgs-1-3.clmp.fp2_r2_screen	51266.0	2774.0	7758.0	5562.0	4287.0	839.0	882.0	331.0	15.0	0.0	232430.0	5673223.0
Sfa-CBas_015-Ex1-7C-lcwgs-1-3.clmp.fp2_r1_screen	39597.0	2468.0	6403.0	4478.0	3638.0	674.0	646.0	299.0	16.0	0.0	198902.0	4844477.0
Sfa-CBas_015-Ex1-7C-lcwgs-1-3.clmp.fp2_r2_screen	39915.0	2492.0	6389.0	4534.0	3540.0	688.0	648.0	354.0	25.0	0.0	196495.0	4846518.0
Sfa-CBas_016-Ex1-7G-lcwgs-1-3.clmp.fp2_r1_screen	73039.0	5322.0	10745.0	8076.0	6507.0	1201.0	1156.0	525.0	23.0	0.0	360861.0	7648069.0
Sfa-CBas_016-Ex1-7G-lcwgs-1-3.clmp.fp2_r2_screen	73651.0	5370.0	10357.0	8080.0	6158.0	1143.0	1081.0	518.0	24.0	0.0	354580.0	7654562.0
Sfa-CBas_017-Ex1-5A-lcwgs-2-3.clmp.fp2_r1_screen	73662.0	15820.0	13345.0	8611.0	6779.0	1302.0	1277.0	426.0	31.0	0.0	311686.0	8512063.0
Sfa-CBas_017-Ex1-5A-lcwgs-2-3.clmp.fp2_r2_screen	73315.0	15637.0	12752.0	8289.0	6232.0	1207.0	1180.0	432.0	26.0	0.0	303135.0	8522797.0
Sfa-CBas_019-Ex1-5A-lcwgs-1-3.clmp.fp2_r1_screen	286.0	31.0	27.0	18.0	9.0	2.0	3.0	5.0	0.0	0.0	882.0	25877.0
Sfa-CBas_019-Ex1-5A-lcwgs-1-3.clmp.fp2_r2_screen	292.0	31.0	25.0	25.0	11.0	4.0	6.0	1.0	0.0	0.0	840.0	25905.0
Sfa-CBas_020-Ex1-7A-lcwgs-1-3.clmp.fp2_r1_screen	27631.0	1761.0	4607.0	3290.0	2688.0	454.0	444.0	180.0	8.0	0.0	126197.0	3310070.0
Sfa-CBas_020-Ex1-7A-lcwgs-1-3.clmp.fp2_r2_screen	27989.0	1632.0	4402.0	3217.0	2591.0	440.0	429.0	179.0	11.0	0.0	124631.0	3311809.0
Sfa-CBas_021-Ex1-8D-lcwgs-1-3.clmp.fp2_r1_screen	26627.0	1291.0	4194.0	3091.0	2418.0	424.0	469.0	204.0	5.0	1.0	126642.0	3027021.0
Sfa-CBas_021-Ex1-8D-lcwgs-1-3.clmp.fp2_r2_screen	26462.0	1235.0	4131.0	2996.0	2321.0	424.0	439.0	185.0	18.0	0.0	124920.0	3029256.0
Sfa-CBas_023-Ex1-4G-lcwgs-1-3.clmp.fp2_r1_screen	134.0	22.0	15.0	10.0	3.0	1.0	1.0	1.0	0.0	0.0	501.0	12050.0
Sfa-CBas_023-Ex1-4G-lcwgs-1-3.clmp.fp2_r2_screen	100.0	21.0	17.0	6.0	10.0	0.0	3.0	1.0	0.0	0.0	513.0	12067.0
Sfa-CBas_024-Ex1-3G-lcwgs-1-3.clmp.fp2_r1_screen	88.0	27.0	13.0	11.0	8.0	2.0	1.0	2.0	0.0	0.0	380.0	8862.0
Sfa-CBas_024-Ex1-3G-lcwgs-1-3.clmp.fp2_r2_screen	103.0	24.0	9.0	16.0	5.0	0.0	0.0	0.0	0.0	0.0	352.0	8885.0
Sfa-CBas_025-Ex1-8H-lcwgs-1-3.clmp.fp2_r1_screen	64141.0	4490.0	9725.0	7454.0	5916.0	1078.0	1065.0	530.0	22.0	0.0	322687.0	6913431.0
Sfa-CBas_025-Ex1-8H-lcwgs-1-3.clmp.fp2_r2_screen	64105.0	4470.0	9374.0	7335.0	5796.0	958.0	989.0	523.0	33.0	0.0	317661.0	6919295.0
Sfa-CBas_026-Ex1-6D-lcwgs-1-3.clmp.fp2_r1_screen	162.0	21.0	18.0	10.0	7.0	2.0	2.0	1.0	1.0	0.0	589.0	16468.0
Sfa-CBas_026-Ex1-6D-lcwgs-1-3.clmp.fp2_r2_screen	171.0	23.0	16.0	11.0	8.0	1.0	2.0	0.0	0.0	0.0	582.0	16467.0
Sfa-CBas_027-Ex1-11A-lcwgs-2-3.clmp.fp2_r1_screen	22453.0	1615.0	3303.0	2555.0	1885.0	351.0	348.0	148.0	10.0	0.0	98689.0	2439213.0
Sfa-CBas_027-Ex1-11A-lcwgs-2-3.clmp.fp2_r2_screen	22020.0	1655.0	3292.0	2435.0	1990.0	320.0	357.0	158.0	13.0	0.0	97060.0	2441270.0
Sfa-CBas_028-Ex1-6B-lcwgs-2-3.clmp.fp2_r1_screen	82152.0	6143.0	12440.0	9355.0	7446.0	1370.0	1326.0	663.0	35.0	0.0	406148.0	9215568.0
Sfa-CBas_028-Ex1-6B-lcwgs-2-3.clmp.fp2_r2_screen	81624.0	6098.0	12259.0	9049.0	7249.0	1287.0	1296.0	640.0	28.0	0.0	399754.0	9223362.0
Sfa-CBas_029-Ex1-1B-lcwgs-2-3.clmp.fp2_r1_screen	59038.0	7792.0	8442.0	6664.0	5071.0	911.0	963.0	394.0	26.0	0.0	245120.0	6340630.0
Sfa-CBas_029-Ex1-1B-lcwgs-2-3.clmp.fp2_r2_screen	58192.0	7744.0	8230.0	6496.0	4819.0	822.0	893.0	362.0	22.0	0.0	238830.0	6348641.0
Sfa-CBas_031-Ex1-4B-lcwgs-2-3.clmp.fp2_r1_screen	59056.0	16454.0	8355.0	6636.0	5414.0	904.0	977.0	443.0	27.0	0.0	280435.0	6300314.0
Sfa-CBas_031-Ex1-4B-lcwgs-2-3.clmp.fp2_r2_screen	58768.0	16380.0	7933.0	6268.0	5120.0	834.0	822.0	470.0	20.0	0.0	274071.0	6308329.0
Sfa-CBas_032-Ex1-7E-lcwgs-1-3.clmp.fp2_r1_screen	74869.0	5783.0	18493.0	8354.0	6659.0	1258.0	1239.0	499.0	19.0	0.0	359920.0	8786832.0
Sfa-CBas_032-Ex1-7E-lcwgs-1-3.clmp.fp2_r2_screen	74697.0	5835.0	18037.0	8238.0	6556.0	1222.0	1181.0	515.0	30.0	0.0	356150.0	8791464.0
Sfa-CBas_036-Ex1-10A-lcwgs-2-3.clmp.fp2_r1_screen	37124.0	7746.0	5617.0	4382.0	3205.0	626.0	619.0	230.0	16.0	0.0	170770.0	4050974.0
Sfa-CBas_036-Ex1-10A-lcwgs-2-3.clmp.fp2_r2_screen	37177.0	7467.0	5516.0	4185.0	3096.0	635.0	598.0	242.0	14.0	0.0	165839.0	4056540.0
Sfa-CBas_039-Ex1-10B-lcwgs-2-3.clmp.fp2_r1_screen	67093.0	5117.0	10155.0	7391.0	6095.0	1065.0	1056.0	534.0	28.0	0.0	329119.0	7390497.0
Sfa-CBas_039-Ex1-10B-lcwgs-2-3.clmp.fp2_r2_screen	66552.0	5051.0	9740.0	7064.0	5751.0	954.0	935.0	505.0	18.0	0.0	320920.0	7400660.0
Sfa-CBas_041-Ex1-6A-lcwgs-1-3.clmp.fp2_r1_screen	73.0	6.0	8.0	5.0	3.0	2.0	0.0	2.0	0.0	0.0	201.0	6702.0
Sfa-CBas_041-Ex1-6A-lcwgs-1-3.clmp.fp2_r2_screen	79.0	1.0	12.0	5.0	2.0	2.0	0.0	1.0	0.0	0.0	212.0	6688.0
Sfa-CBas_043-Ex1-6F-lcwgs-1-3.clmp.fp2_r1_screen	170.0	28.0	17.0	14.0	7.0	3.0	2.0	1.0	0.0	0.0	600.0	15067.0
Sfa-CBas_043-Ex1-6F-lcwgs-1-3.clmp.fp2_r2_screen	178.0	23.0	18.0	7.0	10.0	1.0	1.0	1.0	0.0	0.0	605.0	15065.0
Sfa-CBas_046-Ex1-11B-lcwgs-2-3.clmp.fp2_r1_screen	69.0	15.0	12.0	9.0	3.0	0.0	2.0	0.0	0.0	0.0	321.0	7376.0
Sfa-CBas_046-Ex1-11B-lcwgs-2-3.clmp.fp2_r2_screen	66.0	6.0	11.0	6.0	13.0	2.0	0.0	0.0	0.0	0.0	300.0	7403.0
Sfa-CBas_048-Ex1-4C-lcwgs-1-3.clmp.fp2_r1_screen	107.0	11.0	17.0	11.0	7.0	0.0	1.0	0.0	0.0	0.0	449.0	11524.0
Sfa-CBas_048-Ex1-4C-lcwgs-1-3.clmp.fp2_r2_screen	97.0	13.0	16.0	6.0	6.0	1.0	3.0	0.0	0.0	0.0	475.0	11510.0
Sfa-CBas_056-Ex1-7B-lcwgs-2-3.clmp.fp2_r1_screen	73922.0	13843.0	10321.0	8207.0	6372.0	1242.0	1096.0	584.0	32.0	0.0	360136.0	7684698.0
Sfa-CBas_056-Ex1-7B-lcwgs-2-3.clmp.fp2_r2_screen	73476.0	13949.0	10204.0	8247.0	6382.0	1100.0	1098.0	601.0	31.0	0.0	354139.0	7691226.0
Sfa-CBas_059-Ex1-7H-lcwgs-1-3.clmp.fp2_r1_screen	85593.0	5077.0	12351.0	9651.0	7544.0	1482.0	1500.0	800.0	38.0	0.0	456767.0	8893955.0
Sfa-CBas_059-Ex1-7H-lcwgs-1-3.clmp.fp2_r2_screen	85445.0	5002.0	12252.0	9612.0	7270.0	1352.0	1332.0	666.0	43.0	0.0	450249.0	8901535.0
Sfa-CBas_061-Ex1-2D-lcwgs-1-3.clmp.fp2_r1_screen	120.0	21.0	27.0	17.0	10.0	1.0	4.0	0.0	0.0	0.0	473.0	14102.0
Sfa-CBas_061-Ex1-2D-lcwgs-1-3.clmp.fp2_r2_screen	117.0	15.0	17.0	15.0	8.0	0.0	3.0	2.0	0.0	0.0	466.0	14132.0
Sfa-CBas_062-Ex1-2B-lcwgs-2-3.clmp.fp2_r1_screen	51551.0	6989.0	6735.0	5748.0	4386.0	770.0	668.0	441.0	25.0	0.0	237813.0	4876390.0
Sfa-CBas_062-Ex1-2B-lcwgs-2-3.clmp.fp2_r2_screen	50902.0	6964.0	6788.0	5423.0	4192.0	666.0	617.0	363.0	18.0	0.0	233482.0	4882101.0
Sfa-CBas_066-Ex1-2C-lcwgs-1-3.clmp.fp2_r1_screen	137.0	11.0	27.0	21.0	12.0	0.0	3.0	0.0	0.0	0.0	576.0	15269.0
Sfa-CBas_066-Ex1-2C-lcwgs-1-3.clmp.fp2_r2_screen	139.0	17.0	23.0	13.0	11.0	3.0	2.0	3.0	0.0	0.0	539.0	15306.0
Sfa-CBas_067-Ex1-3B-lcwgs-1-3.clmp.fp2_r1_screen	28.0	11.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	94.0	2842.0
Sfa-CBas_067-Ex1-3B-lcwgs-1-3.clmp.fp2_r2_screen	26.0	3.0	5.0	7.0	1.0	2.0	0.0	0.0	0.0	0.0	95.0	2841.0
Sfa-CBas_073-Ex1-9B-lcwgs-2-3.clmp.fp2_r1_screen	13.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	100.0	2494.0
