Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Goy-CPnd_020-Ex1-5B-lcwgs-1-T.2	0.12950946620737536	0.0
Goy-CPnd_025-Ex1-5D-lcwgs-1-T.1	0.0	0.0
Goy-CPnd_025-Ex1-5D-lcwgs-1-T.2	0.0	0.0
Goy-CPnd_026-Ex1-2F-lcwgs-1-T.1	0.0	0.0
Goy-CPnd_026-Ex1-2F-lcwgs-1-T.2	0.0	0.0
Goy-CPnd_027-Ex1-2H-lcwgs-1-T.1	0.0	0.0
Goy-CPnd_027-Ex1-2H-lcwgs-1-T.2	0.0	0.0
Goy-CPnd_031-Ex1-1F-lcwgs-1-T.1	0.363556823802893	0.0
Goy-CPnd_031-Ex1-1F-lcwgs-1-T.2	0.3708479752043667	0.0
Goy-CPnd_032-Ex1-1D-lcwgs-1-T.1	0.5297942704106476	0.0
Goy-CPnd_032-Ex1-1D-lcwgs-1-T.2	0.569611264405129	0.0
Goy-CPnd_033-Ex1-2B-lcwgs-1-T.1	0.12005944153330092	0.0
Goy-CPnd_033-Ex1-2B-lcwgs-1-T.2	0.1271522903846919	0.0
Goy-CPnd_035-Ex1-3A-lcwgs-1-T.1	0.1793603296760728	0.0
Goy-CPnd_035-Ex1-3A-lcwgs-1-T.2	0.20426839777739972	0.0
Goy-CPnd_036-Ex1-7B-lcwgs-1-T.1	0.9167201009026276	0.0
Goy-CPnd_036-Ex1-7B-lcwgs-1-T.2	0.9449051923984809	0.0
Goy-CPnd_037-Ex1-3H-lcwgs-1-T.1	0.0	0.0
Goy-CPnd_037-Ex1-3H-lcwgs-1-T.2	0.0	0.0
Goy-CPnd_038-Ex1-6F-lcwgs-1-T.1	0.17149964564104866	0.0
Goy-CPnd_038-Ex1-6F-lcwgs-1-T.2	0.17483789669049632	0.0
Goy-CPnd_039-Ex1-8A-lcwgs-1-T.1	0.16454909626197545	0.0
Goy-CPnd_039-Ex1-8A-lcwgs-1-T.2	0.17322148217862401	0.0
Goy-CPnd_040-Ex1-7A-lcwgs-1-T.1	0.8606883633809412	0.0
Goy-CPnd_040-Ex1-7A-lcwgs-1-T.2	0.9262467806134396	0.0
Goy-CPnd_041-Ex1-3C-lcwgs-1-T.1	0.12953252761435113	0.0
Goy-CPnd_041-Ex1-3C-lcwgs-1-T.2	0.13237057569088553	0.0
Goy-CPnd_042-Ex1-3B-lcwgs-1-T.1	0.0	0.0
Goy-CPnd_042-Ex1-3B-lcwgs-1-T.2	0.0	0.0
Goy-CPnd_044-Ex1-4E-lcwgs-1-T.1	0.5104843139155439	0.0
Goy-CPnd_044-Ex1-4E-lcwgs-1-T.2	0.5503322455924956	0.0
Goy-CPnd_047-Ex1-6E-lcwgs-1-T.1	0.5039937354241207	0.0
Goy-CPnd_047-Ex1-6E-lcwgs-1-T.2	0.5137607911451736	0.0
