Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sob-APnd_044-Ex1-8D-lcwgs-1-T.clmp.fp2_r2_screen	266986.0	54169.0	10150.0	3287.0	1773.0	589.0	519.0	139.0	4.0	0.0	209195.0	2862232.0
Sob-APnd_045-Ex1-9D-lcwgs-1-T.clmp.fp2_r1_screen	623436.0	77978.0	3786.0	1952.0	1051.0	245.0	248.0	184.0	4.0	0.0	341991.0	1983703.0
Sob-APnd_045-Ex1-9D-lcwgs-1-T.clmp.fp2_r2_screen	621515.0	78686.0	3802.0	1961.0	1018.0	253.0	205.0	190.0	5.0	0.0	335350.0	1991593.0
Sob-APnd_046-Ex1-10D-lcwgs-1-T.clmp.fp2_r1_screen	3763.0	3151.0	437.0	276.0	228.0	36.0	41.0	10.0	2.0	0.0	11526.0	287617.0
Sob-APnd_046-Ex1-10D-lcwgs-1-T.clmp.fp2_r2_screen	3749.0	3247.0	470.0	290.0	207.0	41.0	42.0	10.0	1.0	0.0	11505.0	287525.0
Sob-APnd_047-Ex1-11D-lcwgs-1-T.clmp.fp2_r1_screen	21356.0	8635.0	983.0	682.0	430.0	109.0	116.0	38.0	1.0	0.0	30110.0	617928.0
Sob-APnd_047-Ex1-11D-lcwgs-1-T.clmp.fp2_r2_screen	21141.0	8797.0	944.0	660.0	417.0	111.0	98.0	39.0	0.0	0.0	29777.0	618404.0
Sob-APnd_048-Ex1-12D-lcwgs-1-T.clmp.fp2_r1_screen	1710.0	1189.0	217.0	104.0	57.0	16.0	17.0	6.0	0.0	0.0	5275.0	105954.0
Sob-APnd_048-Ex1-12D-lcwgs-1-T.clmp.fp2_r2_screen	1679.0	1151.0	219.0	95.0	63.0	14.0	13.0	6.0	1.0	0.0	5201.0	106103.0
Sob-APnd_049-Ex1-1E-lcwgs-1-T.clmp.fp2_r1_screen	897.0	1819.0	289.0	193.0	146.0	22.0	23.0	9.0	0.0	0.0	6788.0	202463.0
Sob-APnd_049-Ex1-1E-lcwgs-1-T.clmp.fp2_r2_screen	893.0	1812.0	297.0	166.0	123.0	35.0	22.0	12.0	0.0	0.0	6784.0	202505.0
Sob-APnd_050-Ex1-2E-lcwgs-1-T.clmp.fp2_r1_screen	305.0	357.0	60.0	34.0	22.0	8.0	5.0	2.0	0.0	0.0	1275.0	39031.0
Sob-APnd_050-Ex1-2E-lcwgs-1-T.clmp.fp2_r2_screen	305.0	339.0	58.0	37.0	24.0	5.0	3.0	4.0	0.0	0.0	1243.0	39081.0
Sob-APnd_051-Ex1-3E-lcwgs-1-T.clmp.fp2_r1_screen	7472.0	1954.0	232.0	187.0	116.0	41.0	28.0	8.0	1.0	0.0	8028.0	202530.0
Sob-APnd_051-Ex1-3E-lcwgs-1-T.clmp.fp2_r2_screen	7483.0	1921.0	267.0	161.0	146.0	26.0	28.0	8.0	0.0	0.0	8005.0	202552.0
Sob-APnd_052-Ex1-4E-lcwgs-1-T.clmp.fp2_r1_screen	1345.0	401.0	73.0	40.0	32.0	12.0	7.0	2.0	0.0	0.0	1691.0	36559.0
Sob-APnd_052-Ex1-4E-lcwgs-1-T.clmp.fp2_r2_screen	1311.0	432.0	73.0	29.0	28.0	9.0	6.0	4.0	0.0	0.0	1647.0	36623.0
Sob-APnd_053-Ex1-5E-lcwgs-1-T.clmp.fp2_r1_screen	632.0	157.0	21.0	13.0	13.0	3.0	4.0	2.0	0.0	0.0	595.0	14750.0
Sob-APnd_053-Ex1-5E-lcwgs-1-T.clmp.fp2_r2_screen	613.0	160.0	17.0	12.0	8.0	2.0	2.0	1.0	0.0	0.0	589.0	14786.0
Sob-APnd_054-Ex1-6E-lcwgs-1-T.clmp.fp2_r1_screen	30496.0	7219.0	893.0	617.0	362.0	75.0	83.0	37.0	1.0	0.0	35982.0	609270.0
Sob-APnd_054-Ex1-6E-lcwgs-1-T.clmp.fp2_r2_screen	30317.0	7150.0	845.0	593.0	392.0	79.0	62.0	27.0	3.0	0.0	35681.0	609886.0
Sob-APnd_055-Ex1-7E-lcwgs-1-T.clmp.fp2_r1_screen	1968.0	2020.0	333.0	229.0	137.0	34.0	28.0	10.0	0.0	0.0	6178.0	234274.0
Sob-APnd_055-Ex1-7E-lcwgs-1-T.clmp.fp2_r2_screen	1984.0	2029.0	316.0	220.0	124.0	33.0	25.0	11.0	2.0	0.0	6144.0	234323.0
Sob-APnd_056-Ex1-8E-lcwgs-1-T.clmp.fp2_r1_screen	56542.0	44388.0	6199.0	4428.0	2945.0	702.0	679.0	162.0	30.0	0.0	146858.0	4579288.0
Sob-APnd_056-Ex1-8E-lcwgs-1-T.clmp.fp2_r2_screen	56136.0	44624.0	6165.0	4321.0	2768.0	695.0	675.0	157.0	12.0	0.0	145443.0	4581225.0
Sob-APnd_057-Ex1-9E-lcwgs-1-T.clmp.fp2_r1_screen	852.0	245.0	36.0	27.0	12.0	0.0	3.0	3.0	0.0	0.0	1058.0	17835.0
Sob-APnd_057-Ex1-9E-lcwgs-1-T.clmp.fp2_r2_screen	825.0	250.0	47.0	19.0	17.0	0.0	0.0	3.0	0.0	0.0	1059.0	17851.0
Sob-APnd_058-Ex1-10E-lcwgs-1-T.clmp.fp2_r1_screen	1948.0	2852.0	506.0	280.0	181.0	44.0	43.0	11.0	2.0	0.0	10475.0	245125.0
Sob-APnd_058-Ex1-10E-lcwgs-1-T.clmp.fp2_r2_screen	1950.0	2784.0	509.0	276.0	176.0	42.0	38.0	10.0	1.0	0.0	10504.0	245177.0
Sob-APnd_059-Ex1-11E-lcwgs-1-T.clmp.fp2_r1_screen	664.0	384.0	53.0	32.0	21.0	3.0	0.0	1.0	0.0	0.0	1403.0	34020.0
