Sample	Human	Bacteria_24k	Protists_1k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Sfa-ABas_026_Ex1_L3_clmp.fp2_r2_screen	428347.0	600411.0	171875.0	40417.0	12656.0	3120.0	3217.0	1498.0	57.0	0.0	0.0	912690.0	19205132.0
Sfa-ABas_027_Ex1_L3_clmp.fp2_r1_screen	128607.0	104735.0	171599.0	23695.0	14097.0	3516.0	3297.0	989.0	104.0	0.0	0.0	797258.0	19175939.0
Sfa-ABas_027_Ex1_L3_clmp.fp2_r2_screen	128573.0	104834.0	173117.0	23366.0	13817.0	3313.0	3188.0	964.0	56.0	0.0	0.0	802796.0	19169812.0
Sfa-ABas_028_Ex1_L3_clmp.fp2_r1_screen	241328.0	300025.0	141808.0	53275.0	10607.0	2605.0	2514.0	945.0	84.0	0.0	0.0	722789.0	16095208.0
Sfa-ABas_028_Ex1_L3_clmp.fp2_r2_screen	241090.0	299231.0	141563.0	52878.0	10618.0	2434.0	2434.0	954.0	41.0	0.0	0.0	726494.0	16093451.0
Sfa-ABas_029_Ex1_L3_clmp.fp2_r1_screen	130433.0	110243.0	140560.0	18522.0	11333.0	2602.0	2428.0	840.0	85.0	0.0	0.0	685179.0	16791025.0
Sfa-ABas_029_Ex1_L3_clmp.fp2_r2_screen	130623.0	110121.0	141066.0	18512.0	10997.0	2522.0	2371.0	845.0	38.0	0.0	0.0	686919.0	16789236.0
Sfa-ABas_030_Ex1_L3_clmp.fp2_r1_screen	628993.0	208388.0	147392.0	27988.0	10725.0	2734.0	2649.0	964.0	110.0	1.0	0.0	754616.0	16612965.0
Sfa-ABas_030_Ex1_L3_clmp.fp2_r2_screen	628049.0	208187.0	147254.0	27723.0	10494.0	2644.0	2593.0	967.0	30.0	0.0	0.0	756619.0	16612965.0
Sfa-ABas_031_Ex1_L3_clmp.fp2_r1_screen	14518817.0	49429.0	67335.0	14702.0	4377.0	997.0	926.0	347.0	39.0	0.0	0.0	4819155.0	6537130.0
Sfa-ABas_031_Ex1_L3_clmp.fp2_r2_screen	14513681.0	49188.0	68268.0	14610.0	4204.0	993.0	961.0	325.0	22.0	0.0	0.0	4810865.0	6550137.0
Sfa-ABas_032_Ex1_L3_clmp.fp2_r1_screen	67508.0	125094.0	145501.0	21339.0	11210.0	2672.0	2616.0	857.0	92.0	0.0	0.0	655213.0	17106771.0
Sfa-ABas_032_Ex1_L3_clmp.fp2_r2_screen	67628.0	125391.0	146407.0	21152.0	10958.0	2701.0	2541.0	858.0	53.0	0.0	0.0	659855.0	17101329.0
Sfa-ABas_033_Ex1_L3_clmp.fp2_r1_screen	292991.0	85082.0	155409.0	19767.0	12579.0	3086.0	3031.0	1087.0	68.0	0.0	0.0	718642.0	19114917.0
Sfa-ABas_033_Ex1_L3_clmp.fp2_r2_screen	292347.0	84873.0	156360.0	19520.0	12199.0	3019.0	2943.0	1024.0	49.0	0.0	0.0	725530.0	19108795.0
Sfa-ABas_034_Ex1_L3_clmp.fp2_r1_screen	231380.0	48106.0	178534.0	22019.0	15065.0	3559.0	3508.0	955.0	88.0	0.0	0.0	802160.0	22046574.0
Sfa-ABas_034_Ex1_L3_clmp.fp2_r2_screen	231155.0	48017.0	179664.0	22088.0	14837.0	3418.0	3380.0	949.0	52.0	0.0	0.0	806485.0	22041903.0
Sfa-ABas_035_Ex1_L3_clmp.fp2_r1_screen	73535.0	102393.0	116928.0	19879.0	9439.0	2433.0	2431.0	747.0	41.0	0.0	0.0	507791.0	14006602.0
Sfa-ABas_035_Ex1_L3_clmp.fp2_r2_screen	73700.0	102444.0	118699.0	19687.0	9312.0	2379.0	2289.0	791.0	40.0	0.0	0.0	512213.0	14000665.0
Sfa-CBas_001_Ex1_L3_clmp.fp2_r1_screen	5917.0	3367.0	35302.0	4166.0	3614.0	578.0	560.0	251.0	15.0	0.0	0.0	184120.0	4548627.0
Sfa-CBas_001_Ex1_L3_clmp.fp2_r2_screen	5969.0	3319.0	35754.0	4099.0	3546.0	558.0	593.0	275.0	13.0	0.0	0.0	185679.0	4546712.0
Sfa-CBas_002_Ex1_L3_clmp.fp2_r1_screen	7886.0	2265.0	46842.0	5483.0	4449.0	900.0	828.0	310.0	20.0	0.0	0.0	227995.0	5751446.0
Sfa-CBas_002_Ex1_L3_clmp.fp2_r2_screen	7892.0	2241.0	47254.0	5391.0	4491.0	834.0	781.0	299.0	14.0	0.0	0.0	230805.0	5748422.0
Sfa-CBas_003_Ex1_L3_clmp.fp2_r1_screen	9409.0	4566.0	55000.0	6472.0	5263.0	1063.0	1011.0	417.0	23.0	0.0	0.0	267064.0	6504657.0
Sfa-CBas_003_Ex1_L3_clmp.fp2_r2_screen	9555.0	4573.0	56014.0	6552.0	5277.0	998.0	1063.0	363.0	23.0	0.0	0.0	269298.0	6501229.0
Sfa-CBas_006_Ex1_L3_clmp.fp2_r1_screen	8957.0	4207.0	53024.0	6051.0	5183.0	903.0	903.0	373.0	21.0	0.0	0.0	262244.0	6232467.0
Sfa-CBas_006_Ex1_L3_clmp.fp2_r2_screen	8895.0	4135.0	53132.0	6236.0	5137.0	876.0	869.0	377.0	19.0	0.0	0.0	265477.0	6229180.0
Sfa-CBas_007_Ex1_L3_clmp.fp2_r1_screen	7803.0	3495.0	48854.0	5617.0	4562.0	858.0	899.0	329.0	15.0	0.0	0.0	243286.0	5652477.0
Sfa-CBas_007_Ex1_L3_clmp.fp2_r2_screen	7696.0	3465.0	49478.0	5688.0	4475.0	862.0	835.0	357.0	17.0	0.0	0.0	245232.0	5650090.0
Sfa-CBas_008_Ex1_L3_clmp.fp2_r1_screen	8065.0	2530.0	49977.0	5886.0	4830.0	789.0	850.0	372.0	18.0	0.0	0.0	238404.0	5637143.0
Sfa-CBas_008_Ex1_L3_clmp.fp2_r2_screen	7960.0	2653.0	50808.0	5721.0	4788.0	783.0	800.0	388.0	17.0	0.0	0.0	239588.0	5635358.0
Sfa-CBas_009_Ex1_L3_clmp.fp2_r1_screen	9834.0	3807.0	59523.0	7138.0	5472.0	1096.0	1069.0	354.0	13.0	0.0	0.0	278146.0	6749111.0
Sfa-CBas_009_Ex1_L3_clmp.fp2_r2_screen	9687.0	3740.0	60549.0	7000.0	5256.0	1090.0	1061.0	382.0	34.0	0.0	0.0	280499.0	6746265.0
Sfa-CBas_010_Ex1_L3_clmp.fp2_r1_screen	9108.0	4025.0	58470.0	6805.0	5371.0	966.0	1040.0	403.0	39.0	0.0	0.0	286115.0	6666256.0
Sfa-CBas_010_Ex1_L3_clmp.fp2_r2_screen	9042.0	3998.0	59310.0	6758.0	5309.0	1055.0	1017.0	406.0	22.0	0.0	0.0	290352.0	6661329.0
Sfa-CBas_014_Ex1_L3_clmp.fp2_r1_screen	6946.0	2462.0	45308.0	5154.0	4128.0	788.0	798.0	338.0	20.0	0.0	0.0	212716.0	4872123.0
Sfa-CBas_014_Ex1_L3_clmp.fp2_r2_screen	6850.0	2467.0	45695.0	5059.0	4038.0	821.0	791.0	317.0	21.0	0.0	0.0	215174.0	4869548.0
Sfa-CBas_015_Ex1_L3_clmp.fp2_r1_screen	7642.0	2918.0	46466.0	5426.0	4321.0	805.0	807.0	318.0	23.0	0.0	0.0	241935.0	5573070.0
Sfa-CBas_015_Ex1_L3_clmp.fp2_r2_screen	7416.0	3033.0	47448.0	5330.0	4204.0	792.0	786.0	341.0	8.0	0.0	0.0	244245.0	5570128.0
Sfa-CBas_016_Ex1_L3_clmp.fp2_r1_screen	10518.0	5091.0	70421.0	7894.0	6369.0	1149.0	1177.0	546.0	31.0	0.0	0.0	355150.0	7232015.0
Sfa-CBas_016_Ex1_L3_clmp.fp2_r2_screen	10254.0	4891.0	71076.0	7906.0	6232.0	1117.0	1150.0	531.0	31.0	0.0	0.0	359003.0	7228170.0
Sfa-CBas_017_Ex1_L3_clmp.fp2_r1_screen	8317.0	3551.0	47464.0	5650.0	4812.0	914.0	894.0	365.0	31.0	0.0	0.0	248521.0	5382660.0
Sfa-CBas_017_Ex1_L3_clmp.fp2_r2_screen	8366.0	3543.0	48755.0	5508.0	4596.0	856.0	859.0	360.0	21.0	0.0	0.0	252788.0	5377527.0
Sfa-CBas_019_Ex1_L3_clmp.fp2_r1_screen	7278.0	3008.0	45767.0	5352.0	4530.0	797.0	804.0	346.0	19.0	0.0	0.0	240426.0	4847633.0
Sfa-CBas_019_Ex1_L3_clmp.fp2_r2_screen	7271.0	3044.0	46186.0	5240.0	4455.0	732.0	799.0	374.0	20.0	0.0	0.0	242784.0	4845055.0
Sfa-CBas_020_Ex1_L3_clmp.fp2_r1_screen	8815.0	3279.0	54098.0	6352.0	5122.0	864.0	934.0	409.0	15.0	0.0	0.0	251186.0	6330372.0
Sfa-CBas_020_Ex1_L3_clmp.fp2_r2_screen	8723.0	3306.0	55111.0	6234.0	5199.0	900.0	879.0	405.0	16.0	0.0	0.0	253632.0	6327041.0
Sfa-CBas_021_Ex1_L3_clmp.fp2_r1_screen	8123.0	2451.0	51710.0	5970.0	4562.0	985.0	1052.0	333.0	25.0	0.0	0.0	255626.0	5728439.0
Sfa-CBas_021_Ex1_L3_clmp.fp2_r2_screen	8043.0	2483.0	52022.0	6017.0	4614.0	855.0	936.0	345.0	25.0	0.0	0.0	257315.0	5726621.0
Sfa-CBas_023_Ex1_L3_clmp.fp2_r1_screen	7478.0	3931.0	47017.0	5646.0	4435.0	755.0	693.0	376.0	22.0	0.0	0.0	235991.0	4773982.0
Sfa-CBas_023_Ex1_L3_clmp.fp2_r2_screen	7544.0	3855.0	46712.0	5667.0	4479.0	732.0	726.0	390.0	13.0	0.0	0.0	238258.0	4771950.0
Sfa-CBas_025_Ex1_L3_clmp.fp2_r1_screen	7514.0	3442.0	49356.0	5939.0	4725.0	825.0	813.0	368.0	12.0	0.0	0.0	252617.0	5230884.0
Sfa-CBas_025_Ex1_L3_clmp.fp2_r2_screen	7485.0	3330.0	49921.0	5800.0	4812.0	817.0	848.0	391.0	20.0	0.0	0.0	255521.0	5227550.0
Sfa-CBas_026_Ex1_L3_clmp.fp2_r1_screen	9090.0	5042.0	56057.0	6632.0	5518.0	938.0	927.0	389.0	15.0	0.0	0.0	278654.0	6146801.0
Sfa-CBas_026_Ex1_L3_clmp.fp2_r2_screen	9051.0	4979.0	57086.0	6675.0	5398.0	854.0	891.0	374.0	29.0	0.0	0.0	281180.0	6143546.0
Sfa-CBas_027_Ex1_L3_clmp.fp2_r1_screen	4277.0	2078.0	28828.0	3214.0	2842.0	486.0	448.0	209.0	16.0	0.0	0.0	146390.0	3420912.0
Sfa-CBas_027_Ex1_L3_clmp.fp2_r2_screen	4339.0	2092.0	29302.0	3204.0	2730.0	436.0	446.0	195.0	13.0	0.0	0.0	148197.0	3418746.0
Sfa-CBas_028_Ex1_L3_clmp.fp2_r1_screen	7574.0	2655.0	48618.0	5550.0	4527.0	863.0	863.0	361.0	24.0	0.0	0.0	252439.0	5463170.0
Sfa-CBas_028_Ex1_L3_clmp.fp2_r2_screen	7400.0	2696.0	48877.0	5469.0	4426.0	859.0	861.0	365.0	10.0	0.0	0.0	254826.0	5460855.0
Sfa-CBas_029_Ex1_L3_clmp.fp2_r1_screen	4600.0	2112.0	32168.0	3635.0	3071.0	496.0	472.0	208.0	11.0	0.0	0.0	153682.0	3857324.0
Sfa-CBas_029_Ex1_L3_clmp.fp2_r2_screen	4738.0	2091.0	32230.0	3538.0	3045.0	491.0	499.0	222.0	10.0	0.0	0.0	155214.0	3855701.0
Sfa-CBas_030_Ex1_L3_clmp.fp2_r1_screen	5360.0	1526.0	33233.0	3945.0	3056.0	575.0	613.0	234.0	16.0	0.0	0.0	165116.0	3699762.0
Sfa-CBas_030_Ex1_L3_clmp.fp2_r2_screen	5351.0	1505.0	33466.0	3937.0	3050.0	696.0	647.0	229.0	21.0	0.0	0.0	167120.0	3697414.0
Sfa-CBas_031_Ex1_L3_clmp.fp2_r1_screen	7767.0	6650.0	31148.0	3355.0	2902.0	469.0	448.0	254.0	10.0	0.0	0.0	182729.0	3303774.0
Sfa-CBas_031_Ex1_L3_clmp.fp2_r2_screen	7778.0	6599.0	31536.0	3401.0	2956.0	434.0	493.0	277.0	8.0	0.0	0.0	183665.0	3302359.0
Sfa-CBas_032_Ex1_L3_clmp.fp2_r1_screen	13192.0	4180.0	55067.0	5960.0	5105.0	929.0	923.0	357.0	26.0	0.0	0.0	271140.0	6351357.0
Sfa-CBas_032_Ex1_L3_clmp.fp2_r2_screen	13201.0	4213.0	55891.0	6250.0	5010.0	887.0	898.0	393.0	12.0	0.0	0.0	274149.0	6347332.0
Sfa-CBas_033_Ex1_L3_clmp.fp2_r1_screen	7039.0	4302.0	45996.0	5172.0	4068.0	710.0	715.0	306.0	29.0	0.0	0.0	235947.0	4725195.0
Sfa-CBas_033_Ex1_L3_clmp.fp2_r2_screen	6985.0	4249.0	46695.0	5167.0	4062.0	678.0	753.0	344.0	11.0	0.0	0.0	239867.0	4720668.0
Sfa-CBas_036_Ex1_L3_clmp.fp2_r1_screen	7646.0	4969.0	49238.0	5626.0	4469.0	863.0	825.0	320.0	19.0	0.0	0.0	242128.0	5379445.0
Sfa-CBas_036_Ex1_L3_clmp.fp2_r2_screen	7682.0	4944.0	49492.0	5710.0	4425.0	842.0	867.0	302.0	17.0	0.0	0.0	244670.0	5376597.0
Sfa-CBas_039_Ex1_L3_clmp.fp2_r1_screen	6922.0	3288.0	46161.0	5134.0	4490.0	683.0	774.0	364.0	20.0	0.0	0.0	256082.0	4850487.0
Sfa-CBas_039_Ex1_L3_clmp.fp2_r2_screen	6956.0	3236.0	46627.0	5109.0	4229.0	677.0	742.0	387.0	15.0	0.0	0.0	259045.0	4847382.0
Sfa-CBas_041_Ex1_L3_clmp.fp2_r1_screen	7935.0	3072.0	47221.0	5662.0	4251.0	914.0	883.0	293.0	18.0	0.0	0.0	210073.0	5511435.0
Sfa-CBas_041_Ex1_L3_clmp.fp2_r2_screen	7816.0	3013.0	47442.0	5617.0	4238.0	825.0	883.0	287.0	13.0	0.0	0.0	211925.0	5509698.0
Sfa-CBas_042_Ex1_L3_clmp.fp2_r1_screen	5424.0	2092.0	33358.0	3843.0	3195.0	596.0	549.0	267.0	8.0	0.0	0.0	170088.0	4231273.0
Sfa-CBas_042_Ex1_L3_clmp.fp2_r2_screen	5553.0	2058.0	33966.0	3995.0	3171.0	520.0	551.0	257.0	16.0	0.0	0.0	171558.0	4229048.0
Sfa-CBas_043_Ex1_L3_clmp.fp2_r1_screen	10426.0	4217.0	67739.0	7552.0	6107.0	1121.0	1090.0	471.0	35.0	0.0	0.0	314500.0	7658185.0
Sfa-CBas_043_Ex1_L3_clmp.fp2_r2_screen	10404.0	4187.0	68853.0	7430.0	6128.0	1113.0	1090.0	415.0	24.0	0.0	0.0	317650.0	7654149.0
Sfa-CBas_044_Ex1_L3_clmp.fp2_r1_screen	7116.0	4340.0	47614.0	5495.0	4159.0	785.0	840.0	375.0	20.0	0.0	0.0	242470.0	4995490.0
Sfa-CBas_044_Ex1_L3_clmp.fp2_r2_screen	7143.0	4250.0	48551.0	5247.0	4040.0	748.0	773.0	365.0	21.0	0.0	0.0	244200.0	4993366.0
Sfa-CBas_046_Ex1_L3_clmp.fp2_r1_screen	4537.0	2030.0	28846.0	3235.0	2686.0	521.0	477.0	198.0	9.0	0.0	0.0	147744.0	3219798.0
Sfa-CBas_046_Ex1_L3_clmp.fp2_r2_screen	4451.0	2055.0	29322.0	3355.0	2682.0	437.0	462.0	229.0	17.0	0.0	0.0	150342.0	3216729.0
Sfa-CBas_048_Ex1_L3_clmp.fp2_r1_screen	8143.0	3858.0	52497.0	6294.0	5193.0	849.0	843.0	415.0	13.0	0.0	0.0	272552.0	5542733.0
Sfa-CBas_048_Ex1_L3_clmp.fp2_r2_screen	8213.0	3810.0	52824.0	6148.0	5051.0	846.0	808.0	414.0	17.0	0.0	0.0	274294.0	5540965.0
Sfa-CBas_056_Ex1_L3_clmp.fp2_r1_screen	8385.0	9947.0	58233.0	6622.0	5286.0	942.0	952.0	456.0	25.0	0.0	0.0	295749.0	5971901.0
Sfa-CBas_056_Ex1_L3_clmp.fp2_r2_screen	8291.0	9899.0	58841.0	6587.0	5146.0	883.0	937.0	507.0	19.0	0.0	0.0	298031.0	5969357.0
Sfa-CBas_059_Ex1_L3_clmp.fp2_r1_screen	6185.0	2466.0	42303.0	4731.0	3772.0	744.0	735.0	361.0	25.0	0.0	0.0	232187.0	4343282.0
Sfa-CBas_059_Ex1_L3_clmp.fp2_r2_screen	6271.0	2429.0	43029.0	4838.0	3753.0	716.0	806.0	379.0	16.0	0.0	0.0	233591.0	4340963.0
Sfa-CBas_061_Ex1_L3_clmp.fp2_r1_screen	9365.0	6028.0	62860.0	7421.0	6259.0	959.0	929.0	520.0	25.0	0.0	0.0	332638.0	6203478.0
Sfa-CBas_061_Ex1_L3_clmp.fp2_r2_screen	9604.0	6021.0	63149.0	7320.0	6190.0	914.0	893.0	526.0	17.0	0.0	0.0	336348.0	6199500.0
Sfa-CBas_062_Ex1_L3_clmp.fp2_r1_screen	8278.0	3880.0	58794.0	6695.0	5227.0	953.0	861.0	494.0	31.0	0.0	0.0	312921.0	5911426.0
Sfa-CBas_062_Ex1_L3_clmp.fp2_r2_screen	8317.0	3741.0	59301.0	6759.0	5230.0	914.0	926.0	458.0	10.0	0.0	0.0	315633.0	5908271.0
Sfa-CBas_066_Ex1_L3_clmp.fp2_r1_screen	9183.0	3932.0	60032.0	7210.0	5572.0	981.0	907.0	462.0	32.0	0.0	0.0	291797.0	5986860.0
Sfa-CBas_066_Ex1_L3_clmp.fp2_r2_screen	9168.0	3965.0	60715.0	7122.0	5497.0	976.0	955.0	439.0	33.0	0.0	0.0	295695.0	5982403.0
Sfa-CBas_067_Ex1_L3_clmp.fp2_r1_screen	7750.0	2902.0	53178.0	6003.0	4780.0	850.0	805.0	437.0	25.0	0.0	0.0	273656.0	5384241.0
Sfa-CBas_067_Ex1_L3_clmp.fp2_r2_screen	7683.0	2885.0	53483.0	6021.0	4804.0	868.0	823.0	446.0	16.0	0.0	0.0	275651.0	5381947.0
Sfa-CBas_073_Ex1_L3_clmp.fp2_r1_screen	7031.0	2555.0	43966.0	5047.0	4251.0	620.0	686.0	302.0	13.0	0.0	0.0	229527.0	5032041.0
Sfa-CBas_073_Ex1_L3_clmp.fp2_r2_screen	6897.0	2510.0	44558.0	5048.0	4198.0	649.0	729.0	341.0	16.0	0.0	0.0	231715.0	5029378.0
Sfa-CBas_076_Ex1_L3_clmp.fp2_r1_screen	7557.0	5152.0	49053.0	5629.0	4883.0	641.0	685.0	368.0	11.0	0.0	0.0	251142.0	5554088.0
Sfa-CBas_076_Ex1_L3_clmp.fp2_r2_screen	7484.0	5123.0	49630.0	5645.0	4732.0	645.0	670.0	361.0	13.0	0.0	0.0	253169.0	5551737.0
Sfa-CBas_078_Ex1_L3_clmp.fp2_r1_screen	8163.0	4072.0	50787.0	5978.0	4738.0	824.0	826.0	305.0	17.0	0.0	0.0	234109.0	5374928.0
