Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Goy-APnd_056-Ex1-7H-lcwgs-1-2.clmp.fp2_r1_screen	85453.0	13543.0	14918.0	7793.0	6910.0	1540.0	1309.0	335.0	30.0	0.0	0.0	342294.0	14869721.0
Goy-APnd_056-Ex1-7H-lcwgs-1-2.clmp.fp2_r2_screen	86339.0	13508.0	14908.0	7740.0	6742.0	1500.0	1283.0	407.0	7.0	0.0	0.0	341691.0	14869721.0
Goy-APnd_059-Ex1-8C-lcwgs-1-2.clmp.fp2_r1_screen	18298.0	1535.0	3049.0	1790.0	1347.0	376.0	311.0	77.0	27.0	0.0	0.0	55112.0	3894857.0
Goy-APnd_059-Ex1-8C-lcwgs-1-2.clmp.fp2_r2_screen	18462.0	1553.0	2976.0	1730.0	1458.0	342.0	285.0	70.0	4.0	0.0	0.0	55042.0	3894857.0
Goy-APnd_060-Ex1-8D-lcwgs-1-2.clmp.fp2_r1_screen	17148.0	1143.0	2719.0	1569.0	1286.0	321.0	277.0	76.0	30.0	0.0	0.0	54448.0	3630686.0
Goy-APnd_060-Ex1-8D-lcwgs-1-2.clmp.fp2_r2_screen	17636.0	1146.0	2613.0	1622.0	1251.0	334.0	267.0	67.0	1.0	0.0	0.0	54451.0	3630315.0
Goy-APnd_062-Ex1-8F-lcwgs-1-2.clmp.fp2_r1_screen	12960.0	1302.0	2113.0	1241.0	1101.0	229.0	202.0	42.0	7.0	0.0	0.0	45650.0	2571172.0
Goy-APnd_062-Ex1-8F-lcwgs-1-2.clmp.fp2_r2_screen	13001.0	1308.0	2068.0	1075.0	1093.0	219.0	218.0	65.0	2.0	0.0	0.0	45798.0	2571172.0
Goy-APnd_063-Ex1-8G-lcwgs-1-2.clmp.fp2_r1_screen	11964.0	976.0	1983.0	1112.0	956.0	216.0	208.0	57.0	17.0	0.0	0.0	37919.0	2634261.0
Goy-APnd_063-Ex1-8G-lcwgs-1-2.clmp.fp2_r2_screen	11965.0	990.0	1882.0	1118.0	920.0	209.0	200.0	48.0	2.0	0.0	0.0	38343.0	2633992.0
Goy-APnd_064-Ex1-8H-lcwgs-1-2.clmp.fp2_r1_screen	12049.0	1540.0	2100.0	1078.0	1041.0	209.0	207.0	61.0	15.0	0.0	0.0	48783.0	2286678.0
Goy-APnd_064-Ex1-8H-lcwgs-1-2.clmp.fp2_r2_screen	12229.0	1524.0	2060.0	1061.0	990.0	207.0	187.0	56.0	1.0	0.0	0.0	48532.0	2286914.0
Goy-CPnd_001-Ex1-7F-lcwgs-1-2.clmp.fp2_r1_screen	7103.0	463.0	1304.0	672.0	681.0	157.0	110.0	29.0	1.0	0.0	0.0	27833.0	1051201.0
Goy-CPnd_001-Ex1-7F-lcwgs-1-2.clmp.fp2_r2_screen	7172.0	450.0	1266.0	677.0	600.0	142.0	101.0	33.0	2.0	0.0	0.0	28128.0	1050983.0
Goy-CPnd_003-Ex1-7G-lcwgs-1-2.clmp.fp2_r1_screen	9755.0	656.0	1721.0	909.0	912.0	186.0	141.0	50.0	3.0	0.0	0.0	40650.0	1423053.0
Goy-CPnd_003-Ex1-7G-lcwgs-1-2.clmp.fp2_r2_screen	9822.0	600.0	1629.0	916.0	849.0	174.0	155.0	57.0	2.0	0.0	0.0	40632.0	1423200.0
Goy-CPnd_004-Ex1-2D-lcwgs-1-2.clmp.fp2_r1_screen	485391.0	25983.0	93868.0	48744.0	45577.0	11227.0	8769.0	2843.0	171.0	0.0	0.0	2004601.0	77720430.0
Goy-CPnd_004-Ex1-2D-lcwgs-1-2.clmp.fp2_r2_screen	490020.0	25950.0	92349.0	48330.0	44775.0	11067.0	8484.0	2815.0	135.0	0.0	0.0	2003249.0	77720430.0
Goy-CPnd_005-Ex1-6A-lcwgs-1-2.clmp.fp2_r1_screen	65639.0	2969.0	11923.0	6561.0	6043.0	1431.0	1145.0	338.0	34.0	0.0	0.0	244134.0	11000317.0
Goy-CPnd_005-Ex1-6A-lcwgs-1-2.clmp.fp2_r2_screen	66148.0	2996.0	11905.0	6442.0	5893.0	1407.0	1147.0	322.0	17.0	0.0	0.0	243940.0	11000317.0
Goy-CPnd_006-Ex1-2C-lcwgs-1-2.clmp.fp2_r1_screen	54856.0	3702.0	9544.0	5245.0	4578.0	1157.0	866.0	255.0	5.0	0.0	0.0	218082.0	8347784.0
Goy-CPnd_006-Ex1-2C-lcwgs-1-2.clmp.fp2_r2_screen	55423.0	3659.0	9612.0	5159.0	4489.0	1142.0	834.0	280.0	12.0	0.0	0.0	216815.0	8348649.0
Goy-CPnd_007-Ex1-8E-lcwgs-1-2.clmp.fp2_r1_screen	10496.0	653.0	1898.0	1007.0	953.0	243.0	179.0	53.0	2.0	0.0	0.0	41926.0	1692889.0
Goy-CPnd_007-Ex1-8E-lcwgs-1-2.clmp.fp2_r2_screen	10517.0	646.0	1957.0	1013.0	942.0	180.0	153.0	59.0	4.0	0.0	0.0	41764.0	1693064.0
Goy-CPnd_008-Ex1-4B-lcwgs-1-2.clmp.fp2_r1_screen	324144.0	140736.0	61853.0	32836.0	30574.0	7597.0	5825.0	1983.0	96.0	0.0	0.0	1451548.0	49501502.0
Goy-CPnd_008-Ex1-4B-lcwgs-1-2.clmp.fp2_r2_screen	327470.0	139916.0	60860.0	32210.0	29382.0	7340.0	5575.0	2011.0	104.0	0.0	0.0	1452324.0	49501502.0
Goy-CPnd_009-Ex1-8H-lcwgs-1-2.clmp.fp2_r1_screen	38770.0	1469.0	6465.0	3668.0	3023.0	731.0	594.0	190.0	5.0	0.0	0.0	143584.0	5521911.0
Goy-CPnd_009-Ex1-8H-lcwgs-1-2.clmp.fp2_r2_screen	39087.0	1441.0	6422.0	3687.0	2997.0	768.0	581.0	178.0	9.0	0.0	0.0	143901.0	5521339.0
Goy-CPnd_010-Ex1-6D-lcwgs-1-2.clmp.fp2_r1_screen	23842.0	2117.0	4360.0	2382.0	2160.0	508.0	343.0	150.0	15.0	0.0	0.0	100943.0	3875495.0
Goy-CPnd_010-Ex1-6D-lcwgs-1-2.clmp.fp2_r2_screen	23978.0	2141.0	4321.0	2395.0	2180.0	503.0	393.0	132.0	7.0	0.0	0.0	100369.0	3875896.0
Goy-CPnd_015-Ex1-1E-lcwgs-1-2.clmp.fp2_r1_screen	2444.0	428.0	496.0	258.0	223.0	58.0	32.0	10.0	5.0	0.0	0.0	9643.0	407340.0
Goy-CPnd_015-Ex1-1E-lcwgs-1-2.clmp.fp2_r2_screen	2473.0	429.0	504.0	228.0	269.0	59.0	58.0	10.0	2.0	0.0	0.0	9481.0	407424.0
Goy-CPnd_016-Ex1-7C-lcwgs-1-2.clmp.fp2_r1_screen	14316.0	1747.0	2592.0	1428.0	1293.0	286.0	200.0	87.0	1.0	0.0	0.0	60625.0	2236922.0
Goy-CPnd_016-Ex1-7C-lcwgs-1-2.clmp.fp2_r2_screen	14248.0	1687.0	2547.0	1284.0	1261.0	289.0	193.0	76.0	3.0	0.0	0.0	60059.0	2237850.0
Goy-CPnd_020-Ex1-5B-lcwgs-1-2.clmp.fp2_r1_screen	190843.0	78793.0	32143.0	18548.0	15685.0	3765.0	2795.0	828.0	79.0	0.0	0.0	747285.0	29721767.0
