Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Multiple Genomes	No hits
Sne-CCab_017-Ex1-1B-lcwgs-1-1.clmp.fp2_r2_screen	930.0	13495.0	1522.0	1185.0	787.0	173.0	192.0	52.0	3.0	48905.0	1131386.0
Sne-CCab_018-Ex1-1C-lcwgs-1-1.clmp.fp2_r1_screen	1121.0	15836.0	1736.0	1401.0	1040.0	242.0	256.0	70.0	3.0	58582.0	1275896.0
Sne-CCab_018-Ex1-1C-lcwgs-1-1.clmp.fp2_r2_screen	1151.0	15924.0	1622.0	1401.0	945.0	207.0	224.0	67.0	4.0	57521.0	1277117.0
Sne-CCab_019-Ex1-1D-lcwgs-1-1.clmp.fp2_r1_screen	2817.0	21353.0	2529.0	2033.0	1417.0	314.0	314.0	118.0	1.0	78824.0	2024891.0
Sne-CCab_019-Ex1-1D-lcwgs-1-1.clmp.fp2_r2_screen	2911.0	21597.0	2477.0	1964.0	1384.0	286.0	308.0	80.0	3.0	77429.0	2026172.0
Sne-CCab_020-Ex1-1E-lcwgs-1-1.clmp.fp2_r1_screen	1563.0	18389.0	2123.0	1632.0	1248.0	292.0	279.0	68.0	3.0	65938.0	1757640.0
Sne-CCab_020-Ex1-1E-lcwgs-1-1.clmp.fp2_r2_screen	1490.0	18457.0	2176.0	1643.0	1233.0	258.0	289.0	73.0	7.0	65354.0	1758195.0
Sne-CCab_021-Ex1-1F-lcwgs-1-1.clmp.fp2_r1_screen	1839.0	27411.0	3362.0	2531.0	1909.0	532.0	507.0	139.0	5.0	101869.0	2503353.0
Sne-CCab_021-Ex1-1F-lcwgs-1-1.clmp.fp2_r2_screen	1784.0	27324.0	3383.0	2527.0	1803.0	520.0	465.0	136.0	5.0	100571.0	2504939.0
Sne-CCab_022-Ex1-1G-lcwgs-1-1.clmp.fp2_r1_screen	2353.0	25761.0	3186.0	2355.0	1849.0	422.0	415.0	83.0	5.0	90060.0	2536422.0
Sne-CCab_022-Ex1-1G-lcwgs-1-1.clmp.fp2_r2_screen	2405.0	26098.0	3172.0	2233.0	1813.0	407.0	369.0	95.0	4.0	89094.0	2537221.0
Sne-CCab_023-Ex1-1H-lcwgs-1-1.clmp.fp2_r1_screen	1478.0	21481.0	2661.0	2010.0	1450.0	348.0	303.0	100.0	10.0	73491.0	2040481.0
Sne-CCab_023-Ex1-1H-lcwgs-1-1.clmp.fp2_r2_screen	1518.0	21584.0	2584.0	1925.0	1460.0	367.0	322.0	88.0	5.0	73479.0	2040481.0
Sne-CCab_024-Ex1-2A-lcwgs-1-1.clmp.fp2_r1_screen	1467.0	22518.0	2636.0	1976.0	1535.0	375.0	340.0	92.0	4.0	76554.0	1992045.0
Sne-CCab_024-Ex1-2A-lcwgs-1-1.clmp.fp2_r2_screen	1490.0	22307.0	2562.0	2069.0	1464.0	345.0	322.0	89.0	2.0	76637.0	1992255.0
Sne-CCab_025-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen	1624.0	19070.0	2355.0	1711.0	1307.0	331.0	302.0	60.0	5.0	67240.0	1767462.0
Sne-CCab_025-Ex1-2B-lcwgs-1-1.clmp.fp2_r2_screen	1590.0	19214.0	2222.0	1692.0	1215.0	302.0	285.0	94.0	3.0	66829.0	1768021.0
Sne-CCab_026-Ex1-2C-lcwgs-1-1.clmp.fp2_r1_screen	5339.0	27310.0	3631.0	2530.0	1989.0	468.0	439.0	103.0	6.0	98989.0	2603913.0
Sne-CCab_026-Ex1-2C-lcwgs-1-1.clmp.fp2_r2_screen	5357.0	27759.0	3319.0	2481.0	1907.0	433.0	476.0	133.0	10.0	98381.0	2604461.0
Sne-CCab_027-Ex1-2D-lcwgs-1-1.clmp.fp2_r1_screen	1367.0	15707.0	1932.0	1428.0	1108.0	260.0	249.0	70.0	5.0	55981.0	1441472.0
Sne-CCab_027-Ex1-2D-lcwgs-1-1.clmp.fp2_r2_screen	1356.0	16087.0	1833.0	1457.0	1052.0	256.0	242.0	77.0	3.0	55744.0	1441472.0
Sne-CCab_028-Ex1-2E-lcwgs-1-1.clmp.fp2_r1_screen	2178.0	18407.0	2273.0	1715.0	1253.0	315.0	282.0	79.0	5.0	64941.0	1708706.0
Sne-CCab_028-Ex1-2E-lcwgs-1-1.clmp.fp2_r2_screen	2152.0	18515.0	2185.0	1696.0	1263.0	296.0	292.0	80.0	1.0	64608.0	1709066.0
Sne-CCab_029-Ex1-2F-lcwgs-1-1.clmp.fp2_r1_screen	1997.0	20412.0	2386.0	1847.0	1427.0	339.0	339.0	103.0	2.0	71649.0	1971680.0
Sne-CCab_029-Ex1-2F-lcwgs-1-1.clmp.fp2_r2_screen	1941.0	20434.0	2427.0	1849.0	1355.0	311.0	283.0	94.0	4.0	71803.0	1971680.0
Sne-CCab_030-Ex1-2G-lcwgs-1-1.clmp.fp2_r1_screen	3876.0	15440.0	2003.0	1485.0	1062.0	286.0	248.0	77.0	8.0	55843.0	1452639.0
Sne-CCab_030-Ex1-2G-lcwgs-1-1.clmp.fp2_r2_screen	3813.0	15564.0	1976.0	1412.0	1071.0	211.0	259.0	65.0	4.0	54727.0	1453865.0
Sne-CCab_031-Ex1-2H-lcwgs-1-1.clmp.fp2_r1_screen	749.0	10335.0	1172.0	910.0	661.0	163.0	136.0	48.0	2.0	35876.0	842124.0
Sne-CCab_031-Ex1-2H-lcwgs-1-1.clmp.fp2_r2_screen	789.0	10267.0	1130.0	861.0	635.0	154.0	161.0	46.0	1.0	36008.0	842124.0
Sne-CCab_032-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	3224.0	24168.0	3025.0	2277.0	1657.0	414.0	390.0	104.0	3.0	85345.0	2108713.0
Sne-CCab_032-Ex1-3A-lcwgs-1-1.clmp.fp2_r2_screen	3204.0	24531.0	2934.0	2103.0	1657.0	422.0	376.0	101.0	7.0	85272.0	2108713.0
Sne-CCab_033-Ex1-3B-lcwgs-1-1.clmp.fp2_r1_screen	3550.0	20070.0	2508.0	1816.0	1420.0	342.0	328.0	81.0	3.0	72816.0	1839210.0
Sne-CCab_033-Ex1-3B-lcwgs-1-1.clmp.fp2_r2_screen	3479.0	20480.0	2406.0	1817.0	1389.0	315.0	333.0	66.0	2.0	72453.0	1839404.0
Sne-CCab_034-Ex1-3C-lcwgs-1-1.clmp.fp2_r1_screen	5669.0	36374.0	4843.0	3317.0	2601.0	666.0	631.0	168.0	7.0	128873.0	3415050.0
Sne-CCab_034-Ex1-3C-lcwgs-1-1.clmp.fp2_r2_screen	5750.0	36539.0	4560.0	3331.0	2546.0	667.0	636.0	151.0	10.0	128239.0	3415770.0
Sne-CCab_035-Ex1-3D-lcwgs-1-1.clmp.fp2_r1_screen	3531.0	26906.0	3463.0	2579.0	1899.0	510.0	439.0	110.0	3.0	96483.0	2550288.0
Sne-CCab_035-Ex1-3D-lcwgs-1-1.clmp.fp2_r2_screen	3440.0	27006.0	3358.0	2600.0	1846.0	455.0	443.0	132.0	8.0	95829.0	2551094.0
Sne-CCab_036-Ex1-3E-lcwgs-1-1.clmp.fp2_r1_screen	2952.0	21269.0	2637.0	1923.0	1502.0	382.0	358.0	93.0	1.0	76135.0	2037787.0
Sne-CCab_036-Ex1-3E-lcwgs-1-1.clmp.fp2_r2_screen	2893.0	21267.0	2655.0	1925.0	1382.0	350.0	314.0	87.0	5.0	75087.0	2039074.0
Sne-CCab_037-Ex1-3F-lcwgs-1-1.clmp.fp2_r1_screen	1859.0	20628.0	2506.0	1910.0	1376.0	338.0	359.0	105.0	6.0	74080.0	1892309.0
Sne-CCab_037-Ex1-3F-lcwgs-1-1.clmp.fp2_r2_screen	1792.0	20599.0	2408.0	1758.0	1386.0	344.0	303.0	92.0	6.0	73680.0	1893108.0
Sne-CCab_038-Ex1-3G-lcwgs-1-1.clmp.fp2_r1_screen	3410.0	25113.0	3233.0	2278.0	1722.0	432.0	379.0	96.0	4.0	87600.0	2475445.0
Sne-CCab_038-Ex1-3G-lcwgs-1-1.clmp.fp2_r2_screen	3410.0	25518.0	3108.0	2311.0	1749.0	390.0	390.0	101.0	5.0	88065.0	2474665.0
Sne-CCab_039-Ex1-3H-lcwgs-1-1.clmp.fp2_r1_screen	1431.0	18117.0	2187.0	1645.0	1276.0	305.0	310.0	80.0	7.0	65277.0	1690008.0
Sne-CCab_039-Ex1-3H-lcwgs-1-1.clmp.fp2_r2_screen	1361.0	18191.0	2204.0	1681.0	1284.0	327.0	298.0	63.0	2.0	64868.0	1690364.0
Sne-CCab_040-Ex1-4A-lcwgs-1-1.clmp.fp2_r1_screen	1480.0	23594.0	2971.0	2063.0	1550.0	417.0	373.0	83.0	2.0	82527.0	1992257.0
Sne-CCab_040-Ex1-4A-lcwgs-1-1.clmp.fp2_r2_screen	1417.0	23800.0	2909.0	2101.0	1487.0	426.0	330.0	91.0	6.0	82493.0	1992257.0
Sne-CCab_041-Ex1-4B-lcwgs-1-1.clmp.fp2_r1_screen	1227.0	13358.0	1586.0	1205.0	886.0	235.0	208.0	58.0	3.0	46121.0	1190162.0
Sne-CCab_041-Ex1-4B-lcwgs-1-1.clmp.fp2_r2_screen	1189.0	13411.0	1535.0	1112.0	904.0	207.0	169.0	58.0	2.0	46425.0	1190037.0
Sne-CCab_042-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	1486.0	11800.0	1442.0	1102.0	822.0	191.0	182.0	47.0	0.0	41035.0	1135044.0
Sne-CCab_042-Ex1-4C-lcwgs-1-1.clmp.fp2_r2_screen	1454.0	11868.0	1440.0	1099.0	801.0	163.0	167.0	36.0	1.0	40959.0	1135163.0
Sne-CCab_043-Ex1-4D-lcwgs-1-1.clmp.fp2_r1_screen	2077.0	17509.0	2195.0	1631.0	1181.0	297.0	272.0	84.0	3.0	62997.0	1754043.0
Sne-CCab_043-Ex1-4D-lcwgs-1-1.clmp.fp2_r2_screen	2129.0	17458.0	2059.0	1618.0	1216.0	271.0	258.0	81.0	1.0	62234.0	1754964.0
Sne-CCab_044-Ex1-4E-lcwgs-1-1.clmp.fp2_r1_screen	1719.0	11897.0	1438.0	1062.0	797.0	184.0	205.0	40.0	3.0	42080.0	1041037.0
Sne-CCab_044-Ex1-4E-lcwgs-1-1.clmp.fp2_r2_screen	1658.0	11874.0	1475.0	1073.0	780.0	185.0	174.0	52.0	1.0	41603.0	1041587.0
Sne-CCab_045-Ex1-4F-lcwgs-1-1.clmp.fp2_r1_screen	1489.0	15345.0	1919.0	1434.0	1079.0	278.0	254.0	67.0	7.0	55168.0	1439494.0
Sne-CCab_045-Ex1-4F-lcwgs-1-1.clmp.fp2_r2_screen	1535.0	15568.0	1801.0	1356.0	1068.0	255.0	217.0	72.0	1.0	54864.0	1439797.0
Sne-CCab_046-Ex1-4G-lcwgs-1-1.clmp.fp2_r1_screen	701.0	8239.0	912.0	722.0	525.0	124.0	111.0	34.0	4.0	29131.0	619144.0
Sne-CCab_046-Ex1-4G-lcwgs-1-1.clmp.fp2_r2_screen	742.0	8356.0	937.0	705.0	483.0	129.0	111.0	31.0	2.0	29139.0	619012.0
Sne-CCab_047-Ex1-4H-lcwgs-1-1.clmp.fp2_r1_screen	1502.0	9400.0	2731.0	876.0	641.0	150.0	129.0	42.0	0.0	34559.0	892152.0
Sne-CCab_047-Ex1-4H-lcwgs-1-1.clmp.fp2_r2_screen	1534.0	9510.0	2744.0	852.0	643.0	151.0	135.0	41.0	4.0	34228.0	892340.0
Sne-CCab_048-Ex1-5A-lcwgs-1-1.clmp.fp2_r1_screen	2141.0	22289.0	2758.0	2002.0	1572.0	343.0	326.0	92.0	5.0	76685.0	2021959.0
Sne-CCab_048-Ex1-5A-lcwgs-1-1.clmp.fp2_r2_screen	2111.0	22049.0	2637.0	2027.0	1429.0	381.0	321.0	82.0	5.0	76958.0	2022172.0
Sne-CCab_049-Ex1-5B-lcwgs-1-1.clmp.fp2_r1_screen	1055.0	11777.0	1398.0	1081.0	738.0	190.0	158.0	50.0	2.0	41961.0	990227.0
Sne-CCab_049-Ex1-5B-lcwgs-1-1.clmp.fp2_r2_screen	1012.0	11913.0	1332.0	1080.0	744.0	202.0	167.0	53.0	2.0	41800.0	990332.0
Sne-CCab_050-Ex1-5C-lcwgs-1-1.clmp.fp2_r1_screen	2610.0	18208.0	2242.0	1638.0	1288.0	280.0	297.0	86.0	3.0	64327.0	1816324.0
Sne-CCab_050-Ex1-5C-lcwgs-1-1.clmp.fp2_r2_screen	2538.0	18385.0	2151.0	1662.0	1266.0	263.0	270.0	74.0	2.0	64368.0	1816324.0
Sne-CCab_051-Ex1-5D-lcwgs-1-1.clmp.fp2_r1_screen	884.0	10674.0	1237.0	1006.0	704.0	130.0	167.0	40.0	2.0	38021.0	931575.0
Sne-CCab_051-Ex1-5D-lcwgs-1-1.clmp.fp2_r2_screen	903.0	10876.0	1247.0	925.0	690.0	137.0	171.0	45.0	4.0	38261.0	931181.0
Sne-CCab_052-Ex1-5E-lcwgs-1-1.clmp.fp2_r1_screen	1157.0	10751.0	1257.0	966.0	748.0	154.0	150.0	47.0	1.0	37541.0	1024190.0
Sne-CCab_052-Ex1-5E-lcwgs-1-1.clmp.fp2_r2_screen	1094.0	10779.0	1243.0	1006.0	733.0	164.0	152.0	50.0	5.0	37223.0	1024513.0
Sne-CCab_053-Ex1-5F-lcwgs-1-1.clmp.fp2_r1_screen	1211.0	11369.0	1381.0	1040.0	765.0	169.0	191.0	41.0	2.0	39494.0	1029375.0
Sne-CCab_053-Ex1-5F-lcwgs-1-1.clmp.fp2_r2_screen	1180.0	11296.0	1384.0	1027.0	722.0	162.0	175.0	47.0	5.0	39231.0	1029809.0
Sne-CCab_054-Ex1-5G-lcwgs-1-1.clmp.fp2_r1_screen	1678.0	13590.0	1513.0	1186.0	890.0	195.0	213.0	57.0	4.0	46977.0	1208739.0
Sne-CCab_054-Ex1-5G-lcwgs-1-1.clmp.fp2_r2_screen	1668.0	13309.0	1596.0	1225.0	888.0	222.0	209.0	53.0	4.0	47001.0	1208867.0
Sne-CCab_055-Ex1-5H-lcwgs-1-1.clmp.fp2_r1_screen	823.0	8110.0	918.0	725.0	530.0	143.0	135.0	41.0	3.0	28819.0	654852.0
Sne-CCab_055-Ex1-5H-lcwgs-1-1.clmp.fp2_r2_screen	847.0	8130.0	939.0	696.0	502.0	144.0	109.0	35.0	2.0	28773.0	654922.0
Sne-CCab_056-Ex1-6A-lcwgs-1-1.clmp.fp2_r1_screen	1636.0	20761.0	2430.0	1796.0	1319.0	372.0	333.0	106.0	7.0	73227.0	1776217.0
Sne-CCab_056-Ex1-6A-lcwgs-1-1.clmp.fp2_r2_screen	1616.0	21256.0	2301.0	1837.0	1219.0	320.0	301.0	90.0	1.0	72858.0	1776405.0
Sne-CCab_057-Ex1-6B-lcwgs-1-1.clmp.fp2_r1_screen	2288.0	16397.0	2006.0	1530.0	1138.0	289.0	237.0	78.0	0.0	58313.0	1534133.0
Sne-CCab_057-Ex1-6B-lcwgs-1-1.clmp.fp2_r2_screen	2235.0	16463.0	1992.0	1419.0	1076.0	247.0	234.0	57.0	4.0	58387.0	1534295.0
Sne-CCab_058-Ex1-6C-lcwgs-1-1.clmp.fp2_r1_screen	1309.0	22344.0	2581.0	1881.0	1511.0	378.0	339.0	96.0	2.0	77693.0	2007990.0
Sne-CCab_058-Ex1-6C-lcwgs-1-1.clmp.fp2_r2_screen	1295.0	22497.0	2543.0	1919.0	1454.0	357.0	318.0	104.0	5.0	77642.0	2007990.0
Sne-CCab_059-Ex1-6D-lcwgs-1-1.clmp.fp2_r1_screen	1452.0	13387.0	1653.0	1293.0	918.0	250.0	201.0	46.0	2.0	47495.0	1203720.0
Sne-CCab_059-Ex1-6D-lcwgs-1-1.clmp.fp2_r2_screen	1522.0	13650.0	1531.0	1241.0	886.0	194.0	182.0	66.0	4.0	47167.0	1203974.0
Sne-CCab_060-Ex1-6E-lcwgs-1-1.clmp.fp2_r1_screen	2385.0	17640.0	2063.0	1627.0	1172.0	253.0	285.0	78.0	6.0	63739.0	1653858.0
Sne-CCab_060-Ex1-6E-lcwgs-1-1.clmp.fp2_r2_screen	2451.0	17708.0	2112.0	1608.0	1136.0	324.0	277.0	79.0	3.0	63027.0	1654381.0
Sne-CCab_061-Ex1-6F-lcwgs-1-1.clmp.fp2_r1_screen	1996.0	15803.0	1904.0	1456.0	1118.0	273.0	249.0	66.0	2.0	55016.0	1492334.0
Sne-CCab_061-Ex1-6F-lcwgs-1-1.clmp.fp2_r2_screen	2031.0	15998.0	1852.0	1433.0	1037.0	288.0	223.0	75.0	4.0	54785.0	1492491.0
Sne-CCab_062-Ex1-6G-lcwgs-1-1.clmp.fp2_r1_screen	857.0	6934.0	793.0	611.0	484.0	126.0	105.0	27.0	1.0	24125.0	656865.0
Sne-CCab_062-Ex1-6G-lcwgs-1-1.clmp.fp2_r2_screen	852.0	6950.0	842.0	682.0	469.0	96.0	105.0	31.0	1.0	24173.0	656727.0
Sne-CCab_063-Ex1-6H-lcwgs-1-1.clmp.fp2_r1_screen	759.0	13103.0	1559.0	1190.0	873.0	183.0	184.0	50.0	1.0	46159.0	1149201.0
