Sequence_Name	Extraction_ID
GotPopBL7	PopB-L-7-7C-lcwgs-1-2
GotPopAS30	PopA-S-30-7D-lcwgs-1-2
GotPopAL4	PopA-L-4-7E-lcwgs-1-2
GotPopBL14	PopB-L-14-7F-lcwgs-1-2
GotPopWCL36	PopWC-L-36-7G-lcwgs-1-2
GotPopBL10	PopB-L-10-7H-lcwgs-1-2
GotPopAL23	PopA-L-23-8A-lcwgs-1-2
GotPopBL11	PopB-L-11-8B-lcwgs-1-2
GotPopAL46	PopA-L-46-8C-lcwgs-1-2
GotPopAS11	PopA-S-11-8D-lcwgs-1-2
GotPopWCL132	PopWC-L-132-8E-lcwgs-1-2
GotPopBS4	PopB-S-4-8F-lcwgs-1-2
GotPopAS29	PopA-S-29-8G-lcwgs-1-2
GotPopWAL230	PopWA-L-230-8H-lcwgs-1-2
GotPopWCL136	PopWC-L-136-9A-lcwgs-1-2
GotPopAL22	PopA-L-22-9B-lcwgs-1-2
GotPopAL42	PopA-L-42-9C-lcwgs-1-2
GotPopBS28	PopB-S-28-9D-lcwgs-1-2
GotPopBL43	PopB-L-43-9E-lcwgs-1-2
GotPopWAL2	PopWA-L-2-9F-lcwgs-1-2
GotPopBL38	PopB-L-38-9G-lcwgs-1-2
GotPopWCL59	PopWC-L-59-9H-lcwgs-1-2
GotPopCS23	PopC-S-23-10A-lcwgs-1-2
GotPopWAL188	PopWA-L-188-10B-lcwgs-1-2
GotPopBL15	PopB-L-15-10C-lcwgs-1-2
GotPopBL13	PopB-L-13-10D-lcwgs-1-2
GotPopAS26	PopA-S-26-10E-lcwgs-1-2
GotPopBS47	PopB-S-47-10F-lcwgs-1-2
GotPopWCL217	PopWC-L-217-10G-lcwgs-1-2
GotPopWBL10	PopWB-L-10-10H-lcwgs-1-2
GotPopAL34	PopA-L-34-11A-lcwgs-1-2
GotPopAL5	PopA-L-5-11B-lcwgs-1-2
GotPopAS32	PopA-S-32-11C-lcwgs-1-2
GotPopAS45	PopA-S-45-11D-lcwgs-1-2
GotPopCS34	PopC-S-34-11E-lcwgs-1-2
GotPopBS2	PopB-S-2-11F-lcwgs-1-2
GotPopAS24	PopA-S-24-11G-lcwgs-1-2
