Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Multiple Genomes	No hits
Cvi-APal_006-Ex1-1F-lcwgs-1-T.clmp.fp2_r2_screen	78199.0	8878.0	3982.0	472.0	178.0	61.0	63.0	90.0	1.0	51775.0	625564.0
Cvi-APal_007-Ex1-1G-lcwgs-1-T.clmp.fp2_r1_screen	63642.0	6194.0	118764.0	278.0	69.0	27.0	22.0	57.0	0.0	71698.0	381966.0
Cvi-APal_007-Ex1-1G-lcwgs-1-T.clmp.fp2_r2_screen	63923.0	6189.0	118343.0	299.0	90.0	30.0	13.0	56.0	0.0	72386.0	381388.0
Cvi-APal_008-Ex1-1H-lcwgs-1-T.clmp.fp2_r1_screen	99326.0	9229.0	6048.0	518.0	110.0	46.0	30.0	60.0	0.0	57109.0	579707.0
Cvi-APal_008-Ex1-1H-lcwgs-1-T.clmp.fp2_r2_screen	99270.0	9135.0	6073.0	440.0	116.0	48.0	22.0	73.0	0.0	57600.0	579406.0
Cvi-APal_009-Ex1-2A-lcwgs-1-T.clmp.fp2_r1_screen	96033.0	8593.0	1298.0	222.0	65.0	24.0	22.0	76.0	1.0	49406.0	414527.0
Cvi-APal_009-Ex1-2A-lcwgs-1-T.clmp.fp2_r2_screen	95878.0	8495.0	1295.0	212.0	49.0	18.0	19.0	90.0	3.0	49681.0	414527.0
Cvi-APal_010-Ex1-2B-lcwgs-1-T.clmp.fp2_r1_screen	124201.0	11312.0	5306.0	395.0	119.0	42.0	33.0	77.0	0.0	62484.0	736410.0
Cvi-APal_010-Ex1-2B-lcwgs-1-T.clmp.fp2_r2_screen	124100.0	11347.0	5314.0	405.0	101.0	44.0	47.0	82.0	1.0	62622.0	736316.0
Cvi-APal_011-Ex1-2C-lcwgs-1-T.clmp.fp2_r1_screen	165870.0	11958.0	4514.0	324.0	25.0	12.0	5.0	254.0	2.0	79287.0	533654.0
Cvi-APal_011-Ex1-2C-lcwgs-1-T.clmp.fp2_r2_screen	165155.0	12023.0	4504.0	350.0	28.0	6.0	5.0	246.0	5.0	79929.0	533654.0
Cvi-APal_012-Ex1-2D-lcwgs-1-T.clmp.fp2_r1_screen	223162.0	18639.0	15551.0	985.0	188.0	74.0	54.0	101.0	0.0	120046.0	1070874.0
Cvi-APal_012-Ex1-2D-lcwgs-1-T.clmp.fp2_r2_screen	222897.0	18591.0	15592.0	948.0	205.0	71.0	59.0	101.0	0.0	120626.0	1070584.0
Cvi-APal_013-Ex1-2E-lcwgs-1-T.clmp.fp2_r1_screen	187760.0	21421.0	17598.0	1264.0	428.0	158.0	124.0	338.0	9.0	115396.0	1583292.0
Cvi-APal_013-Ex1-2E-lcwgs-1-T.clmp.fp2_r2_screen	188368.0	21512.0	17489.0	1269.0	430.0	189.0	157.0	331.0	11.0	116090.0	1581942.0
Cvi-APal_014-Ex1-2F-lcwgs-1-T.clmp.fp2_r1_screen	70318.0	39485.0	5396.0	3077.0	1709.0	555.0	540.0	216.0	13.0	134042.0	5031415.0
Cvi-APal_014-Ex1-2F-lcwgs-1-T.clmp.fp2_r2_screen	70299.0	39365.0	5321.0	3053.0	1725.0	554.0	546.0	197.0	1.0	134290.0	5031415.0
Cvi-APal_015-Ex1-2G-lcwgs-1-T.clmp.fp2_r1_screen	78875.0	8808.0	3505.0	385.0	179.0	61.0	65.0	47.0	2.0	49240.0	695128.0
Cvi-APal_015-Ex1-2G-lcwgs-1-T.clmp.fp2_r2_screen	78867.0	8970.0	3531.0	402.0	170.0	66.0	62.0	45.0	0.0	49723.0	694459.0
Cvi-APal_016-Ex1-2H-lcwgs-1-T.clmp.fp2_r1_screen	48569.0	15612.0	4449.0	1371.0	1057.0	236.0	297.0	105.0	7.0	71365.0	1702966.0
Cvi-APal_016-Ex1-2H-lcwgs-1-T.clmp.fp2_r2_screen	48686.0	15309.0	4476.0	1395.0	1088.0	244.0	327.0	89.0	2.0	71821.0	1702597.0
Cvi-APal_017-Ex2-4D-lcwgs-1-T.clmp.fp2_r1_screen	180829.0	16962.0	3246.0	727.0	265.0	81.0	83.0	104.0	2.0	90299.0	1219532.0
Cvi-APal_017-Ex2-4D-lcwgs-1-T.clmp.fp2_r2_screen	180285.0	16732.0	3202.0	743.0	251.0	106.0	89.0	110.0	3.0	91077.0	1219532.0
Cvi-APal_018-Ex1-3A-lcwgs-1-T.clmp.fp2_r1_screen	70857.0	9393.0	3378.0	504.0	216.0	69.0	71.0	83.0	0.0	46457.0	730428.0
Cvi-APal_018-Ex1-3A-lcwgs-1-T.clmp.fp2_r2_screen	70356.0	9258.0	3326.0	493.0	193.0	76.0	67.0	83.0	0.0	46918.0	730686.0
Cvi-APal_019-Ex1-3B-lcwgs-1-T.clmp.fp2_r1_screen	104112.0	18107.0	7290.0	1439.0	447.0	159.0	142.0	167.0	3.0	80031.0	1452646.0
Cvi-APal_019-Ex1-3B-lcwgs-1-T.clmp.fp2_r2_screen	103591.0	17969.0	7288.0	1429.0	424.0	175.0	136.0	162.0	7.0	81049.0	1452313.0
Cvi-APal_020-Ex1-3C-lcwgs-1-T.clmp.fp2_r1_screen	118428.0	14698.0	2068.0	691.0	267.0	67.0	73.0	83.0	1.0	75135.0	1071929.0
Cvi-APal_020-Ex1-3C-lcwgs-1-T.clmp.fp2_r2_screen	118213.0	14689.0	1992.0	731.0	278.0	78.0	65.0	99.0	2.0	75364.0	1071929.0
Cvi-APal_021-Ex1-3D-lcwgs-1-T.clmp.fp2_r1_screen	159528.0	15195.0	1856.0	478.0	171.0	61.0	53.0	121.0	1.0	85600.0	963909.0
Cvi-APal_021-Ex1-3D-lcwgs-1-T.clmp.fp2_r2_screen	159430.0	15118.0	1856.0	484.0	172.0	71.0	51.0	118.0	3.0	86374.0	963296.0
Cvi-APal_022-Ex1-3E-lcwgs-1-T.clmp.fp2_r1_screen	142749.0	15869.0	4380.0	727.0	279.0	118.0	94.0	126.0	0.0	85105.0	1151937.0
Cvi-APal_022-Ex1-3E-lcwgs-1-T.clmp.fp2_r2_screen	142656.0	15925.0	4349.0	738.0	282.0	98.0	99.0	121.0	0.0	85739.0	1151377.0
Cvi-APal_023-Ex1-3F-lcwgs-1-T.clmp.fp2_r1_screen	170640.0	23987.0	6163.0	1400.0	549.0	227.0	175.0	328.0	9.0	109333.0	2253310.0
Cvi-APal_023-Ex1-3F-lcwgs-1-T.clmp.fp2_r2_screen	170568.0	23723.0	6266.0	1422.0	549.0	221.0	199.0	313.0	11.0	110308.0	2252541.0
Cvi-APal_024-Ex1-3G-lcwgs-1-T.clmp.fp2_r1_screen	88729.0	22219.0	53350.0	1766.0	803.0	312.0	245.0	175.0	7.0	95186.0	2491834.0
Cvi-APal_024-Ex1-3G-lcwgs-1-T.clmp.fp2_r2_screen	88828.0	21961.0	53058.0	1844.0	783.0	271.0	272.0	189.0	0.0	95586.0	2491834.0
Cvi-APal_025-Ex1-3H-lcwgs-1-T.clmp.fp2_r1_screen	78256.0	6529.0	2238.0	277.0	39.0	16.0	22.0	115.0	3.0	43496.0	365751.0
Cvi-APal_025-Ex1-3H-lcwgs-1-T.clmp.fp2_r2_screen	78010.0	6631.0	2198.0	242.0	45.0	25.0	13.0	113.0	0.0	44161.0	365304.0
Cvi-APal_026-Ex1-4A-lcwgs-1-T.clmp.fp2_r1_screen	40192.0	9639.0	2441.0	764.0	304.0	107.0	95.0	78.0	0.0	78463.0	969520.0
Cvi-APal_026-Ex1-4A-lcwgs-1-T.clmp.fp2_r2_screen	40536.0	9538.0	2331.0	684.0	290.0	125.0	106.0	67.0	3.0	78623.0	969300.0
Cvi-APal_027-Ex1-4B-lcwgs-1-T.clmp.fp2_r1_screen	94548.0	20477.0	7147.0	1579.0	577.0	292.0	197.0	274.0	0.0	110487.0	1692227.0
Cvi-APal_027-Ex1-4B-lcwgs-1-T.clmp.fp2_r2_screen	94300.0	20602.0	7014.0	1584.0	590.0	269.0	199.0	272.0	4.0	111323.0	1691648.0
Cvi-APal_028-Ex1-4C-lcwgs-1-T.clmp.fp2_r1_screen	28098.0	18737.0	6318.0	2011.0	1657.0	351.0	483.0	81.0	1.0	86753.0	2454235.0
Cvi-APal_028-Ex1-4C-lcwgs-1-T.clmp.fp2_r2_screen	28230.0	18925.0	6339.0	1952.0	1567.0	373.0	449.0	72.0	5.0	87097.0	2453716.0
Cvi-APal_029-Ex1-5H-lcwgs-1-T.clmp.fp2_r1_screen	135347.0	12511.0	2219.0	453.0	184.0	57.0	43.0	67.0	1.0	78991.0	759679.0
Cvi-APal_029-Ex1-5H-lcwgs-1-T.clmp.fp2_r2_screen	134829.0	12687.0	2180.0	424.0	156.0	64.0	38.0	54.0	0.0	79639.0	759481.0
Cvi-APal_030-Ex1-4E-lcwgs-1-T.clmp.fp2_r1_screen	164517.0	11806.0	3941.0	704.0	47.0	24.0	17.0	856.0	20.0	87625.0	618309.0
Cvi-APal_030-Ex1-4E-lcwgs-1-T.clmp.fp2_r2_screen	164853.0	11986.0	3986.0	725.0	59.0	20.0	12.0	806.0	23.0	88418.0	616978.0
Cvi-APal_031-Ex1-4F-lcwgs-1-T.clmp.fp2_r1_screen	240012.0	25455.0	21454.0	1501.0	474.0	175.0	128.0	184.0	2.0	204107.0	1553342.0
Cvi-APal_031-Ex1-4F-lcwgs-1-T.clmp.fp2_r2_screen	239454.0	25420.0	21317.0	1474.0	433.0	168.0	121.0	179.0	2.0	205538.0	1552728.0
Cvi-APal_032-Ex1-4G-lcwgs-1-T.clmp.fp2_r1_screen	109007.0	8666.0	1597.0	322.0	87.0	31.0	17.0	46.0	0.0	53951.0	548921.0
Cvi-APal_032-Ex1-4G-lcwgs-1-T.clmp.fp2_r2_screen	108867.0	8573.0	1630.0	333.0	84.0	35.0	18.0	44.0	0.0	54574.0	548487.0
Cvi-APal_033-Ex1-4H-lcwgs-1-T.clmp.fp2_r1_screen	144273.0	16104.0	10322.0	954.0	240.0	127.0	81.0	111.0	2.0	98233.0	1014947.0
Cvi-APal_033-Ex1-4H-lcwgs-1-T.clmp.fp2_r2_screen	144142.0	16185.0	10304.0	940.0	238.0	120.0	65.0	132.0	0.0	99093.0	1014175.0
Cvi-APal_034-Ex1-5A-lcwgs-1-T.clmp.fp2_r1_screen	47183.0	7201.0	4492.0	357.0	135.0	76.0	55.0	100.0	1.0	44652.0	450277.0
Cvi-APal_034-Ex1-5A-lcwgs-1-T.clmp.fp2_r2_screen	47002.0	7167.0	4520.0	384.0	127.0	84.0	58.0	110.0	1.0	45132.0	449944.0
Cvi-APal_035-Ex1-5B-lcwgs-1-T.clmp.fp2_r1_screen	60277.0	24210.0	3653.0	1789.0	954.0	349.0	336.0	100.0	3.0	102012.0	2754299.0
Cvi-APal_035-Ex1-5B-lcwgs-1-T.clmp.fp2_r2_screen	60101.0	23857.0	3609.0	1774.0	939.0	333.0	321.0	120.0	3.0	102331.0	2754594.0
Cvi-APal_036-Ex1-5C-lcwgs-1-T.clmp.fp2_r1_screen	55320.0	5407.0	1758.0	268.0	94.0	36.0	34.0	47.0	0.0	33045.0	444577.0
Cvi-APal_036-Ex1-5C-lcwgs-1-T.clmp.fp2_r2_screen	55038.0	5652.0	1781.0	257.0	114.0	30.0	25.0	42.0	0.0	33232.0	444415.0
Cvi-APal_037-Ex1-5D-lcwgs-1-T.clmp.fp2_r1_screen	133173.0	10889.0	16046.0	742.0	76.0	33.0	13.0	105.0	0.0	73893.0	582884.0
Cvi-APal_037-Ex1-5D-lcwgs-1-T.clmp.fp2_r2_screen	133491.0	10674.0	16027.0	702.0	71.0	27.0	22.0	104.0	1.0	74342.0	582393.0
Cvi-APal_038-Ex1-5E-lcwgs-1-T.clmp.fp2_r1_screen	173801.0	14687.0	12211.0	684.0	108.0	40.0	22.0	215.0	0.0	122783.0	794587.0
Cvi-APal_038-Ex1-5E-lcwgs-1-T.clmp.fp2_r2_screen	173620.0	14621.0	12104.0	670.0	108.0	44.0	27.0	233.0	0.0	123907.0	793804.0
Cvi-APal_039-Ex1-5F-lcwgs-1-T.clmp.fp2_r1_screen	202448.0	13951.0	4641.0	385.0	54.0	22.0	14.0	132.0	0.0	93840.0	759426.0
Cvi-APal_039-Ex1-5F-lcwgs-1-T.clmp.fp2_r2_screen	202351.0	13949.0	4609.0	383.0	45.0	17.0	18.0	123.0	1.0	94636.0	758781.0
Cvi-APal_040-Ex1-5G-lcwgs-1-T.clmp.fp2_r1_screen	152748.0	16878.0	15940.0	1346.0	790.0	205.0	166.0	114.0	0.0	101122.0	1827064.0
Cvi-APal_040-Ex1-5G-lcwgs-1-T.clmp.fp2_r2_screen	152528.0	16871.0	15967.0	1423.0	829.0	200.0	171.0	117.0	1.0	102048.0	1826218.0
Cvi-CPal_001-Ex1-1D-lcwgs-1-T.clmp.fp2_r1_screen	1320.0	16716.0	2241.0	1587.0	1205.0	259.0	152.0	85.0	0.0	53908.0	2868245.0
Cvi-CPal_001-Ex1-1D-lcwgs-1-T.clmp.fp2_r2_screen	1302.0	16798.0	2335.0	1550.0	1290.0	256.0	158.0	76.0	2.0	54884.0	2867067.0
Cvi-CPal_002-Ex1-1E-lcwgs-1-T.clmp.fp2_r1_screen	865.0	8167.0	1137.0	622.0	519.0	116.0	103.0	33.0	0.0	24908.0	1238674.0
Cvi-CPal_002-Ex1-1E-lcwgs-1-T.clmp.fp2_r2_screen	891.0	8096.0	1158.0	651.0	534.0	134.0	112.0	29.0	0.0	25247.0	1238292.0
Cvi-CPal_003-Ex1-1F-lcwgs-1-T.clmp.fp2_r1_screen	726.0	5740.0	825.0	507.0	341.0	91.0	91.0	33.0	0.0	17331.0	853922.0
Cvi-CPal_003-Ex1-1F-lcwgs-1-T.clmp.fp2_r2_screen	662.0	5751.0	821.0	472.0	346.0	81.0	67.0	33.0	0.0	17804.0	853570.0
Cvi-CPal_004-Ex1-1G-lcwgs-1-T.clmp.fp2_r1_screen	559.0	5748.0	772.0	505.0	348.0	85.0	73.0	25.0	0.0	17497.0	842590.0
Cvi-CPal_004-Ex1-1G-lcwgs-1-T.clmp.fp2_r2_screen	517.0	5733.0	782.0	502.0	362.0	94.0	75.0	38.0	2.0	17855.0	842242.0
Cvi-CPal_005-Ex1-1H-lcwgs-1-T.clmp.fp2_r1_screen	630.0	6825.0	940.0	535.0	436.0	101.0	86.0	29.0	1.0	21451.0	1031746.0
Cvi-CPal_005-Ex1-1H-lcwgs-1-T.clmp.fp2_r2_screen	653.0	6981.0	952.0	563.0	422.0	99.0	86.0	39.0	1.0	21769.0	1031215.0
Cvi-CPal_006-Ex1-2A-lcwgs-1-T.clmp.fp2_r1_screen	2973.0	7155.0	1008.0	633.0	392.0	95.0	85.0	34.0	2.0	22405.0	923389.0
Cvi-CPal_006-Ex1-2A-lcwgs-1-T.clmp.fp2_r2_screen	2923.0	7091.0	980.0	622.0	376.0	74.0	79.0	29.0	3.0	22797.0	923197.0
Cvi-CPal_008-Ex1-2B-lcwgs-1-T.clmp.fp2_r1_screen	1145.0	7094.0	865.0	589.0	459.0	96.0	70.0	38.0	4.0	21081.0	999396.0
Cvi-CPal_008-Ex1-2B-lcwgs-1-T.clmp.fp2_r2_screen	1170.0	7148.0	870.0	619.0	452.0	115.0	98.0	32.0	1.0	21348.0	998984.0
Cvi-CPal_009-Ex1-2C-lcwgs-1-T.clmp.fp2_r1_screen	1324.0	9162.0	1138.0	830.0	621.0	141.0	114.0	43.0	1.0	27021.0	1367088.0
Cvi-CPal_009-Ex1-2C-lcwgs-1-T.clmp.fp2_r2_screen	1336.0	9044.0	1176.0	807.0	594.0	143.0	131.0	45.0	1.0	27541.0	1366665.0
Cvi-CPal_011-Ex1-2D-lcwgs-1-T.clmp.fp2_r1_screen	947.0	3739.0	498.0	333.0	180.0	63.0	51.0	15.0	0.0	11581.0	508457.0
Cvi-CPal_011-Ex1-2D-lcwgs-1-T.clmp.fp2_r2_screen	924.0	3717.0	445.0	293.0	199.0	66.0	47.0	20.0	0.0	11696.0	508457.0
Cvi-CPal_013-Ex1-2E-lcwgs-1-T.clmp.fp2_r1_screen	1018.0	3271.0	454.0	300.0	199.0	41.0	35.0	13.0	1.0	10741.0	406896.0
Cvi-CPal_013-Ex1-2E-lcwgs-1-T.clmp.fp2_r2_screen	1009.0	3350.0	466.0	268.0	193.0	47.0	44.0	24.0	1.0	11094.0	406473.0
Cvi-CPal_014-Ex1-2F-lcwgs-1-T.clmp.fp2_r1_screen	1267.0	8321.0	1005.0	697.0	424.0	124.0	114.0	38.0	3.0	25938.0	1090964.0
Cvi-CPal_014-Ex1-2F-lcwgs-1-T.clmp.fp2_r2_screen	1229.0	8306.0	893.0	719.0	451.0	133.0	104.0	42.0	0.0	26393.0	1090625.0
Cvi-CPal_015-Ex1-2G-lcwgs-1-T.clmp.fp2_r1_screen	823.0	5549.0	654.0	503.0	332.0	79.0	75.0	26.0	0.0	17663.0	694270.0
Cvi-CPal_015-Ex1-2G-lcwgs-1-T.clmp.fp2_r2_screen	814.0	5620.0	713.0	449.0	327.0	83.0	66.0	32.0	1.0	18031.0	693838.0
Cvi-CPal_016-Ex1-2H-lcwgs-1-T.clmp.fp2_r1_screen	758.0	5628.0	734.0	498.0	339.0	78.0	75.0	33.0	0.0	18109.0	762096.0
Cvi-CPal_016-Ex1-2H-lcwgs-1-T.clmp.fp2_r2_screen	770.0	5560.0	682.0	468.0	316.0	76.0	77.0	26.0	0.0	18435.0	761938.0
Cvi-CPal_017-Ex1-3A-lcwgs-1-T.clmp.fp2_r1_screen	3036.0	8482.0	1251.0	716.0	494.0	126.0	95.0	51.0	2.0	28602.0	1202912.0
Cvi-CPal_017-Ex1-3A-lcwgs-1-T.clmp.fp2_r2_screen	3069.0	8380.0	1256.0	649.0	504.0	126.0	105.0	39.0	1.0	28975.0	1202663.0
Cvi-CPal_018-Ex1-3B-lcwgs-1-T.clmp.fp2_r1_screen	1070.0	4156.0	536.0	380.0	254.0	44.0	43.0	17.0	2.0	13667.0	583671.0
Cvi-CPal_018-Ex1-3B-lcwgs-1-T.clmp.fp2_r2_screen	1075.0	4109.0	604.0	378.0	263.0	63.0	32.0	20.0	1.0	13563.0	583732.0
Cvi-CPal_019-Ex1-3C-lcwgs-1-T.clmp.fp2_r1_screen	1167.0	4082.0	549.0	304.0	239.0	47.0	43.0	24.0	1.0	13586.0	562566.0
Cvi-CPal_019-Ex1-3C-lcwgs-1-T.clmp.fp2_r2_screen	1111.0	3979.0	515.0	367.0	231.0	58.0	52.0	18.0	0.0	13711.0	562566.0
Cvi-CPal_020-Ex1-3D-lcwgs-1-T.clmp.fp2_r1_screen	995.0	6626.0	881.0	516.0	354.0	90.0	87.0	25.0	0.0	20093.0	869315.0
Cvi-CPal_020-Ex1-3D-lcwgs-1-T.clmp.fp2_r2_screen	946.0	6486.0	823.0	569.0	353.0	90.0	85.0	32.0	0.0	20553.0	869045.0
Cvi-CPal_021-Ex1-3E-lcwgs-1-T.clmp.fp2_r1_screen	1200.0	4432.0	545.0	316.0	222.0	45.0	63.0	16.0	0.0	15294.0	568072.0
Cvi-CPal_021-Ex1-3E-lcwgs-1-T.clmp.fp2_r2_screen	1183.0	4330.0	569.0	331.0	228.0	78.0	42.0	12.0	0.0	15537.0	567895.0
Cvi-CPal_022-Ex1-3F-lcwgs-1-T.clmp.fp2_r1_screen	1281.0	9729.0	1252.0	804.0	630.0	147.0	112.0	49.0	5.0	28971.0	1409038.0
Cvi-CPal_022-Ex1-3F-lcwgs-1-T.clmp.fp2_r2_screen	1260.0	9907.0	1237.0	776.0	582.0	148.0	115.0	49.0	1.0	29486.0	1408457.0
Cvi-CPal_023-Ex1-3G-lcwgs-1-T.clmp.fp2_r1_screen	752.0	5231.0	677.0	436.0	259.0	66.0	55.0	28.0	1.0	15844.0	684192.0
Cvi-CPal_023-Ex1-3G-lcwgs-1-T.clmp.fp2_r2_screen	781.0	5241.0	670.0	452.0	275.0	66.0	61.0	18.0	0.0	15998.0	683979.0
Cvi-CPal_024-Ex1-3H-lcwgs-1-T.clmp.fp2_r1_screen	736.0	4449.0	504.0	347.0	254.0	68.0	57.0	11.0	2.0	12864.0	593139.0
Cvi-CPal_024-Ex1-3H-lcwgs-1-T.clmp.fp2_r2_screen	718.0	4324.0	541.0	360.0	264.0	72.0	58.0	16.0	1.0	13183.0	592894.0
Cvi-CPal_029-Ex1-4A-lcwgs-1-T.clmp.fp2_r1_screen	5279.0	66293.0	9110.0	5806.0	4548.0	1068.0	962.0	298.0	8.0	190473.0	11642397.0
Cvi-CPal_029-Ex1-4A-lcwgs-1-T.clmp.fp2_r2_screen	5243.0	66181.0	8847.0	5815.0	4591.0	1099.0	899.0	288.0	12.0	193255.0	11640012.0
Cvi-CPal_030-Ex1-4B-lcwgs-1-T.clmp.fp2_r1_screen	1385.0	8290.0	1046.0	640.0	534.0	134.0	115.0	44.0	2.0	29359.0	1366866.0
Cvi-CPal_030-Ex1-4B-lcwgs-1-T.clmp.fp2_r2_screen	1373.0	8315.0	1108.0	673.0	587.0	130.0	95.0	32.0	1.0	29657.0	1366444.0
Cvi-CPal_031-Ex1-4C-lcwgs-1-T.clmp.fp2_r1_screen	1932.0	17474.0	2315.0	1352.0	1088.0	261.0	241.0	84.0	2.0	56205.0	2951026.0
Cvi-CPal_031-Ex1-4C-lcwgs-1-T.clmp.fp2_r2_screen	1867.0	17386.0	2429.0	1450.0	1208.0	269.0	219.0	95.0	1.0	57546.0	2949510.0
Cvi-CPal_032-Ex1-4D-lcwgs-1-T.clmp.fp2_r1_screen	1175.0	6837.0	861.0	553.0	415.0	91.0	92.0	31.0	2.0	23076.0	1012065.0
Cvi-CPal_032-Ex1-4D-lcwgs-1-T.clmp.fp2_r2_screen	1176.0	6837.0	824.0	587.0	391.0	96.0	77.0	38.0	0.0	23421.0	1011751.0
Cvi-CPal_033-Ex1-4E-lcwgs-1-T.clmp.fp2_r1_screen	1263.0	6155.0	830.0	508.0	408.0	96.0	85.0	21.0	2.0	21740.0	947108.0
Cvi-CPal_033-Ex1-4E-lcwgs-1-T.clmp.fp2_r2_screen	1257.0	6289.0	844.0	563.0	384.0	88.0	72.0	31.0	1.0	21872.0	946815.0
Cvi-CPal_034-Ex1-4F-lcwgs-1-T.clmp.fp2_r1_screen	911.0	2275.0	337.0	162.0	124.0	35.0	26.0	9.0	0.0	7315.0	360689.0
Cvi-CPal_034-Ex1-4F-lcwgs-1-T.clmp.fp2_r2_screen	881.0	2345.0	312.0	184.0	121.0	30.0	29.0	7.0	0.0	7285.0	360689.0
Cvi-CPal_035-Ex1-4G-lcwgs-1-T.clmp.fp2_r1_screen	708.0	4754.0	582.0	402.0	301.0	81.0	60.0	16.0	2.0	13889.0	701240.0
Cvi-CPal_035-Ex1-4G-lcwgs-1-T.clmp.fp2_r2_screen	707.0	4758.0	572.0	388.0	273.0	76.0	62.0	27.0	0.0	14221.0	700951.0
Cvi-CPal_036-Ex1-4H-lcwgs-1-T.clmp.fp2_r1_screen	654.0	4158.0	577.0	386.0	267.0	71.0	57.0	19.0	0.0	12462.0	631202.0
Cvi-CPal_036-Ex1-4H-lcwgs-1-T.clmp.fp2_r2_screen	666.0	4111.0	547.0	382.0	260.0	63.0	57.0	22.0	1.0	12802.0	630942.0
Cvi-CPal_041-Ex1-5A-lcwgs-1-T.clmp.fp2_r1_screen	4553.0	41498.0	5673.0	3440.0	2650.0	701.0	564.0	181.0	2.0	128414.0	7230333.0
Cvi-CPal_041-Ex1-5A-lcwgs-1-T.clmp.fp2_r2_screen	4613.0	41471.0	5513.0	3484.0	2671.0	674.0	608.0	171.0	6.0	130691.0	7228107.0
Cvi-CPal_042-Ex1-5B-lcwgs-1-T.clmp.fp2_r1_screen	942.0	6384.0	882.0	525.0	380.0	111.0	83.0	28.0	2.0	18529.0	989124.0
Cvi-CPal_042-Ex1-5B-lcwgs-1-T.clmp.fp2_r2_screen	944.0	6307.0	841.0	536.0	431.0	102.0	84.0	20.0	2.0	19209.0	988514.0
Cvi-CPal_043-Ex1-5C-lcwgs-1-T.clmp.fp2_r1_screen	1084.0	6290.0	787.0	596.0	377.0	88.0	80.0	20.0	0.0	19143.0	933184.0
Cvi-CPal_043-Ex1-5C-lcwgs-1-T.clmp.fp2_r2_screen	1083.0	6182.0	840.0	595.0	379.0	107.0	81.0	31.0	0.0	19648.0	932703.0
Cvi-CPal_044-Ex1-5D-lcwgs-1-T.clmp.fp2_r1_screen	1025.0	6613.0	908.0	550.0	465.0	99.0	89.0	38.0	0.0	22138.0	1042982.0
Cvi-CPal_044-Ex1-5D-lcwgs-1-T.clmp.fp2_r2_screen	1012.0	6697.0	952.0	524.0	422.0	104.0	104.0	28.0	2.0	22510.0	1042552.0
Cvi-CPal_045-Ex1-5E-lcwgs-1-T.clmp.fp2_r1_screen	1797.0	23963.0	3266.0	1971.0	1773.0	370.0	293.0	120.0	2.0	73282.0	4253855.0
Cvi-CPal_045-Ex1-5E-lcwgs-1-T.clmp.fp2_r2_screen	1873.0	24015.0	3418.0	2064.0	1759.0	416.0	298.0	120.0	2.0	75489.0	4251238.0
Cvi-CPal_046-Ex1-5F-lcwgs-1-T.clmp.fp2_r1_screen	844.0	4385.0	610.0	394.0	287.0	79.0	55.0	20.0	0.0	13915.0	706909.0
Cvi-CPal_046-Ex1-5F-lcwgs-1-T.clmp.fp2_r2_screen	873.0	4323.0	626.0	388.0	317.0	79.0	79.0	18.0	0.0	14322.0	706473.0
Cvi-CPal_047-Ex1-5G-lcwgs-1-T.clmp.fp2_r1_screen	614.0	4221.0	602.0	413.0	268.0	81.0	55.0	22.0	2.0	12630.0	639879.0
