Sample	Human	Protists_1k	Bacteria_24k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sfa-ABas_006-Ex1-8H-lcwgs-1-T.clmp.fp2_r1_screen	12063.0	23043.0	6444.0	3284.0	1765.0	446.0	393.0	123.0	19.0	0.0	93293.0	3082744.0
Sfa-ABas_006-Ex1-8H-lcwgs-1-T.clmp.fp2_r2_screen	12041.0	22802.0	6361.0	3241.0	1803.0	474.0	384.0	113.0	15.0	0.0	93316.0	3083067.0
Sfa-ABas_007-Ex1-9C-lcwgs-1-T.clmp.fp2_r1_screen	1241.0	2364.0	2851.0	376.0	182.0	40.0	33.0	16.0	2.0	0.0	10807.0	318761.0
Sfa-ABas_007-Ex1-9C-lcwgs-1-T.clmp.fp2_r2_screen	1252.0	2388.0	2822.0	357.0	171.0	40.0	38.0	22.0	0.0	0.0	10855.0	318728.0
Sfa-ABas_008-Ex1-9F-lcwgs-1-T.clmp.fp2_r1_screen	9658.0	34143.0	43756.0	5033.0	2473.0	586.0	504.0	265.0	19.0	0.0	164058.0	4192409.0
Sfa-ABas_008-Ex1-9F-lcwgs-1-T.clmp.fp2_r2_screen	9664.0	34157.0	43385.0	4895.0	2437.0	565.0	518.0	235.0	15.0	0.0	164624.0	4192409.0
Sfa-ABas_009-Ex1-10A-lcwgs-1-T.clmp.fp2_r1_screen	12463.0	20044.0	18108.0	3218.0	1604.0	327.0	343.0	155.0	15.0	0.0	105810.0	2394487.0
Sfa-ABas_009-Ex1-10A-lcwgs-1-T.clmp.fp2_r2_screen	12399.0	19946.0	18002.0	3200.0	1620.0	314.0	315.0	162.0	16.0	0.0	105602.0	2394998.0
Sfa-ABas_010-Ex1-10D-lcwgs-1-T.clmp.fp2_r1_screen	6607.0	16574.0	28540.0	3259.0	1171.0	328.0	296.0	113.0	6.0	0.0	67381.0	2079182.0
Sfa-ABas_010-Ex1-10D-lcwgs-1-T.clmp.fp2_r2_screen	6578.0	16491.0	28462.0	3260.0	1153.0	341.0	259.0	117.0	9.0	0.0	67165.0	2079622.0
Sfa-ABas_011-Ex1-10G-lcwgs-1-T.clmp.fp2_r1_screen	1991.0	5167.0	42831.0	2589.0	96.0	25.0	13.0	96.0	0.0	0.0	27796.0	387205.0
Sfa-ABas_011-Ex1-10G-lcwgs-1-T.clmp.fp2_r2_screen	1998.0	5126.0	42677.0	2585.0	81.0	22.0	21.0	86.0	1.0	0.0	27726.0	387486.0
Sfa-ABas_012-Ex1-11B-lcwgs-1-T.clmp.fp2_r1_screen	2485.0	2080.0	21561.0	602.0	0.0	2.0	5.0	34.0	0.0	0.0	11019.0	111039.0
Sfa-ABas_012-Ex1-11B-lcwgs-1-T.clmp.fp2_r2_screen	2490.0	2109.0	21443.0	589.0	3.0	1.0	2.0	34.0	0.0	0.0	10953.0	111203.0
Sfa-ABas_013-Ex1-7B-lcwgs-1-T.clmp.fp2_r1_screen	7333.0	10597.0	20166.0	2220.0	870.0	191.0	181.0	81.0	4.0	0.0	47410.0	1506874.0
Sfa-ABas_013-Ex1-7B-lcwgs-1-T.clmp.fp2_r2_screen	7387.0	10654.0	20180.0	2136.0	855.0	167.0	177.0	90.0	6.0	0.0	47242.0	1507033.0
Sfa-ABas_014-Ex1-7E-lcwgs-1-T.clmp.fp2_r1_screen	22408.0	13695.0	46793.0	5709.0	1053.0	207.0	215.0	140.0	8.0	0.0	74664.0	1681598.0
Sfa-ABas_014-Ex1-7E-lcwgs-1-T.clmp.fp2_r2_screen	22492.0	13595.0	46772.0	5607.0	1060.0	225.0	175.0	149.0	9.0	0.0	74808.0	1681598.0
Sfa-ABas_015-Ex1-7H-lcwgs-1-T.clmp.fp2_r1_screen	994.0	575.0	2515.0	144.0	35.0	3.0	13.0	3.0	0.0	0.0	3063.0	73189.0
Sfa-ABas_015-Ex1-7H-lcwgs-1-T.clmp.fp2_r2_screen	991.0	573.0	2536.0	147.0	38.0	9.0	4.0	8.0	1.0	0.0	3135.0	73092.0
Sfa-ABas_016-Ex1-8C-lcwgs-1-T.clmp.fp2_r1_screen	8274.0	8304.0	13109.0	1462.0	703.0	156.0	138.0	67.0	5.0	0.0	40704.0	1086403.0
Sfa-ABas_016-Ex1-8C-lcwgs-1-T.clmp.fp2_r2_screen	8273.0	8284.0	13118.0	1489.0	671.0	123.0	135.0	55.0	9.0	0.0	40649.0	1086519.0
Sfa-ABas_017-Ex1-8F-lcwgs-1-T.clmp.fp2_r1_screen	7448.0	17911.0	15610.0	2702.0	1427.0	308.0	273.0	136.0	6.0	0.0	75045.0	2335759.0
Sfa-ABas_017-Ex1-8F-lcwgs-1-T.clmp.fp2_r2_screen	7399.0	17795.0	15623.0	2690.0	1403.0	309.0	288.0	119.0	7.0	0.0	75479.0	2335513.0
Sfa-ABas_018-Ex1-9A-lcwgs-1-T.clmp.fp2_r1_screen	4073.0	10645.0	8339.0	1598.0	910.0	199.0	200.0	71.0	6.0	0.0	46715.0	1455725.0
Sfa-ABas_018-Ex1-9A-lcwgs-1-T.clmp.fp2_r2_screen	4067.0	10657.0	8377.0	1609.0	906.0	184.0	182.0	83.0	6.0	0.0	46685.0	1455725.0
Sfa-ABas_019-Ex1-9D-lcwgs-1-T.clmp.fp2_r1_screen	6017.0	14842.0	14352.0	2248.0	1235.0	271.0	216.0	91.0	6.0	0.0	65076.0	2020964.0
Sfa-ABas_019-Ex1-9D-lcwgs-1-T.clmp.fp2_r2_screen	5997.0	14857.0	14376.0	2131.0	1220.0	250.0	213.0	104.0	10.0	0.0	65408.0	2020752.0
Sfa-ABas_020-Ex1-1A-lcwgs-2-T.clmp.fp2_r1_screen	1865.0	9458.0	70016.0	495.0	214.0	38.0	36.0	30.0	3.0	0.0	58654.0	573591.0
Sfa-ABas_020-Ex1-1A-lcwgs-2-T.clmp.fp2_r2_screen	1867.0	9567.0	69592.0	482.0	219.0	46.0	43.0	35.0	2.0	0.0	57670.0	574877.0
Sfa-ABas_021-Ex1-2A-lcwgs-2-T.clmp.fp2_r1_screen	12397.0	29598.0	87665.0	2841.0	1532.0	324.0	342.0	153.0	10.0	0.0	142116.0	2793725.0
Sfa-ABas_021-Ex1-2A-lcwgs-2-T.clmp.fp2_r2_screen	12309.0	29446.0	87629.0	2762.0	1560.0	355.0	330.0	160.0	10.0	0.0	141803.0	2794339.0
Sfa-ABas_022-Ex1-10E-lcwgs-1-T.clmp.fp2_r1_screen	6700.0	14744.0	17230.0	2288.0	1043.0	258.0	223.0	90.0	2.0	0.0	60095.0	1898750.0
Sfa-ABas_022-Ex1-10E-lcwgs-1-T.clmp.fp2_r2_screen	6667.0	14861.0	17233.0	2202.0	1068.0	260.0	275.0	98.0	8.0	0.0	60402.0	1898349.0
Sfa-ABas_023-Ex1-10H-lcwgs-1-T.clmp.fp2_r1_screen	3276.0	10869.0	17028.0	1562.0	788.0	186.0	183.0	72.0	5.0	0.0	51020.0	1424577.0
Sfa-ABas_023-Ex1-10H-lcwgs-1-T.clmp.fp2_r2_screen	3296.0	11055.0	17123.0	1567.0	771.0	212.0	176.0	68.0	3.0	0.0	51020.0	1424275.0
Sfa-ABas_024-Ex1-4A-lcwgs-2-T.clmp.fp2_r1_screen	227.0	882.0	2423.0	79.0	47.0	3.0	9.0	1.0	0.0	0.0	3575.0	80681.0
Sfa-ABas_024-Ex1-4A-lcwgs-2-T.clmp.fp2_r2_screen	208.0	818.0	2413.0	73.0	44.0	7.0	4.0	3.0	0.0	0.0	3684.0	80673.0
Sfa-ABas_025-Ex1-7C-lcwgs-1-T.clmp.fp2_r1_screen	4091.0	17628.0	3877.0	2000.0	1386.0	322.0	280.0	77.0	2.0	0.0	73171.0	2272081.0
Sfa-ABas_025-Ex1-7C-lcwgs-1-T.clmp.fp2_r2_screen	4070.0	17688.0	3941.0	1851.0	1382.0	291.0	303.0	73.0	8.0	0.0	73465.0	2271843.0
Sfa-ABas_026-Ex1-7F-lcwgs-1-T.clmp.fp2_r1_screen	41185.0	21047.0	57467.0	4349.0	1670.0	389.0	410.0	164.0	4.0	0.0	100606.0	2682953.0
Sfa-ABas_026-Ex1-7F-lcwgs-1-T.clmp.fp2_r2_screen	41254.0	21035.0	57221.0	4432.0	1585.0	363.0	399.0	150.0	3.0	0.0	100558.0	2683244.0
Sfa-ABas_027-Ex1-8A-lcwgs-1-T.clmp.fp2_r1_screen	6586.0	11500.0	5273.0	1505.0	939.0	219.0	214.0	82.0	6.0	0.0	50429.0	1419401.0
Sfa-ABas_027-Ex1-8A-lcwgs-1-T.clmp.fp2_r2_screen	6492.0	11368.0	5232.0	1472.0	901.0	237.0	206.0	76.0	9.0	0.0	50760.0	1419401.0
Sfa-ABas_028-Ex1-8D-lcwgs-1-T.clmp.fp2_r1_screen	19663.0	15132.0	24313.0	4539.0	1164.0	269.0	258.0	106.0	6.0	0.0	70065.0	1911532.0
Sfa-ABas_028-Ex1-8D-lcwgs-1-T.clmp.fp2_r2_screen	19666.0	15103.0	24231.0	4519.0	1178.0	260.0	261.0	100.0	3.0	0.0	70399.0	1911327.0
Sfa-ABas_029-Ex1-8G-lcwgs-1-T.clmp.fp2_r1_screen	6478.0	8694.0	5491.0	1075.0	750.0	173.0	125.0	49.0	6.0	0.0	40258.0	1186373.0
Sfa-ABas_029-Ex1-8G-lcwgs-1-T.clmp.fp2_r2_screen	6415.0	9002.0	5465.0	1064.0	744.0	160.0	135.0	63.0	3.0	0.0	40173.0	1186248.0
Sfa-ABas_030-Ex1-9B-lcwgs-1-T.clmp.fp2_r1_screen	58776.0	16854.0	19733.0	2909.0	1222.0	326.0	325.0	130.0	11.0	0.0	81204.0	2157292.0
Sfa-ABas_030-Ex1-9B-lcwgs-1-T.clmp.fp2_r2_screen	58483.0	16953.0	19597.0	2879.0	1220.0	289.0	309.0	149.0	9.0	0.0	81368.0	2157526.0
Sfa-ABas_031-Ex1-9E-lcwgs-1-T.clmp.fp2_r1_screen	1568501.0	9043.0	5331.0	1607.0	584.0	130.0	118.0	45.0	2.0	0.0	509779.0	946142.0
Sfa-ABas_031-Ex1-9E-lcwgs-1-T.clmp.fp2_r2_screen	1569688.0	9074.0	5266.0	1592.0	527.0	120.0	111.0	39.0	3.0	0.0	507199.0	947663.0
Sfa-ABas_032-Ex1-9H-lcwgs-1-T.clmp.fp2_r1_screen	6139.0	15527.0	10877.0	2091.0	1128.0	268.0	304.0	105.0	10.0	0.0	65395.0	2028770.0
Sfa-ABas_032-Ex1-9H-lcwgs-1-T.clmp.fp2_r2_screen	6063.0	15644.0	10858.0	2046.0	1186.0	246.0	257.0	88.0	9.0	0.0	65660.0	2028557.0
Sfa-ABas_033-Ex1-10C-lcwgs-1-T.clmp.fp2_r1_screen	21445.0	14429.0	6125.0	1778.0	1143.0	265.0	293.0	88.0	8.0	0.0	63581.0	1994019.0
Sfa-ABas_033-Ex1-10C-lcwgs-1-T.clmp.fp2_r2_screen	21410.0	14574.0	6035.0	1703.0	1102.0	273.0	256.0	89.0	3.0	0.0	63921.0	1993808.0
Sfa-ABas_034-Ex1-10F-lcwgs-1-T.clmp.fp2_r1_screen	15332.0	16601.0	3422.0	1971.0	1395.0	323.0	298.0	85.0	12.0	0.0	70569.0	2201071.0
Sfa-ABas_034-Ex1-10F-lcwgs-1-T.clmp.fp2_r2_screen	15251.0	16622.0	3472.0	2034.0	1337.0	329.0	301.0	88.0	7.0	0.0	70798.0	2200840.0
Sfa-ABas_035-Ex1-3A-lcwgs-2-T.clmp.fp2_r1_screen	3351.0	8308.0	12722.0	1013.0	585.0	132.0	134.0	37.0	3.0	0.0	37552.0	954282.0
Sfa-ABas_035-Ex1-3A-lcwgs-2-T.clmp.fp2_r2_screen	3262.0	8555.0	12484.0	1018.0	554.0	102.0	148.0	43.0	3.0	0.0	37464.0	954486.0
Sfa-CBas_001-Ex1-12A-lcwgs-2-T.clmp.fp2_r1_screen	2415.0	14772.0	15182.0	1455.0	1092.0	179.0	229.0	106.0	3.0	0.0	71943.0	1274554.0
Sfa-CBas_001-Ex1-12A-lcwgs-2-T.clmp.fp2_r2_screen	2366.0	14785.0	14967.0	1460.0	1050.0	192.0	192.0	124.0	6.0	0.0	71267.0	1275521.0
Sfa-CBas_002-Ex1-3C-lcwgs-1-T.clmp.fp2_r1_screen	9644.0	57846.0	2919.0	6898.0	5335.0	1058.0	1026.0	393.0	22.0	0.0	270143.0	7418963.0
Sfa-CBas_002-Ex1-3C-lcwgs-1-T.clmp.fp2_r2_screen	9585.0	57923.0	2820.0	6840.0	5164.0	1018.0	992.0	356.0	31.0	0.0	267445.0	7422073.0
Sfa-CBas_003-Ex1-3A-lcwgs-1-T.clmp.fp2_r1_screen	8230.0	47242.0	4198.0	5557.0	4385.0	901.0	871.0	273.0	21.0	0.0	220821.0	5839551.0
Sfa-CBas_003-Ex1-3A-lcwgs-1-T.clmp.fp2_r2_screen	7884.0	47207.0	4148.0	5569.0	4435.0	851.0	855.0	303.0	19.0	0.0	218775.0	5842004.0
Sfa-CBas_004-Ex1-4B-lcwgs-1-T.clmp.fp2_r1_screen	211.0	1650.0	95.0	178.0	116.0	18.0	11.0	15.0	0.0	0.0	7627.0	157364.0
Sfa-CBas_004-Ex1-4B-lcwgs-1-T.clmp.fp2_r2_screen	182.0	1649.0	95.0	174.0	118.0	21.0	15.0	7.0	0.0	0.0	7626.0	157398.0
Sfa-CBas_006-Ex1-1F-lcwgs-1-T.clmp.fp2_r1_screen	3646.0	20199.0	1782.0	2383.0	1808.0	312.0	324.0	157.0	11.0	0.0	97518.0	2541433.0
Sfa-CBas_006-Ex1-1F-lcwgs-1-T.clmp.fp2_r2_screen	3389.0	20684.0	1804.0	2396.0	1905.0	323.0	320.0	125.0	11.0	0.0	96115.0	2542501.0
Sfa-CBas_007-Ex1-7D-lcwgs-1-T.clmp.fp2_r1_screen	5209.0	32898.0	2316.0	3840.0	3018.0	518.0	523.0	239.0	9.0	0.0	153871.0	3980207.0
Sfa-CBas_007-Ex1-7D-lcwgs-1-T.clmp.fp2_r2_screen	5126.0	32553.0	2237.0	3886.0	2929.0	523.0	534.0	232.0	14.0	0.0	152734.0	3981880.0
Sfa-CBas_008-Ex1-4H-lcwgs-1-T.clmp.fp2_r1_screen	7549.0	47004.0	2605.0	5462.0	4357.0	675.0	802.0	348.0	20.0	0.0	211367.0	5557077.0
Sfa-CBas_008-Ex1-4H-lcwgs-1-T.clmp.fp2_r2_screen	7533.0	47545.0	2581.0	5270.0	4245.0	694.0	727.0	334.0	24.0	0.0	209485.0	5558828.0
Sfa-CBas_009-Ex1-6E-lcwgs-1-T.clmp.fp2_r1_screen	9380.0	58437.0	4006.0	7002.0	5230.0	1012.0	933.0	379.0	16.0	0.0	260153.0	6949192.0
Sfa-CBas_009-Ex1-6E-lcwgs-1-T.clmp.fp2_r2_screen	9302.0	57994.0	3941.0	6814.0	5171.0	957.0	958.0	321.0	20.0	0.0	257422.0	6952840.0
Sfa-CBas_010-Ex1-6C-lcwgs-1-T.clmp.fp2_r1_screen	7142.0	46132.0	3317.0	5258.0	4060.0	790.0	742.0	293.0	30.0	0.0	213962.0	5563194.0
Sfa-CBas_010-Ex1-6C-lcwgs-1-T.clmp.fp2_r2_screen	7123.0	46341.0	3277.0	5169.0	4029.0	767.0	692.0	310.0	29.0	0.0	212820.0	5564363.0
Sfa-CBas_011-Ex1-5F-lcwgs-1-T.clmp.fp2_r1_screen	910.0	5361.0	365.0	578.0	533.0	85.0	84.0	29.0	4.0	0.0	23109.0	794950.0
Sfa-CBas_011-Ex1-5F-lcwgs-1-T.clmp.fp2_r2_screen	904.0	5333.0	379.0	605.0	528.0	97.0	80.0	46.0	3.0	0.0	23001.0	795032.0
Sfa-CBas_013-Ex1-6B-lcwgs-1-T.clmp.fp2_r1_screen	63.0	469.0	45.0	51.0	28.0	4.0	6.0	5.0	0.0	0.0	1750.0	47081.0
Sfa-CBas_013-Ex1-6B-lcwgs-1-T.clmp.fp2_r2_screen	53.0	425.0	54.0	50.0	33.0	4.0	5.0	5.0	0.0	0.0	1812.0	47061.0
Sfa-CBas_014-Ex1-8C-lcwgs-1-T.clmp.fp2_r1_screen	5807.0	37540.0	2146.0	4272.0	3343.0	637.0	595.0	278.0	25.0	0.0	171724.0	4265026.0
Sfa-CBas_014-Ex1-8C-lcwgs-1-T.clmp.fp2_r2_screen	5579.0	38296.0	2188.0	4089.0	3267.0	629.0	609.0	252.0	17.0	0.0	170093.0	4266374.0
Sfa-CBas_015-Ex1-7C-lcwgs-1-T.clmp.fp2_r1_screen	4667.0	29317.0	1850.0	3231.0	2480.0	488.0	503.0	215.0	11.0	0.0	142279.0	3583600.0
Sfa-CBas_015-Ex1-7C-lcwgs-1-T.clmp.fp2_r2_screen	4737.0	29244.0	1907.0	3350.0	2554.0	524.0	463.0	213.0	12.0	0.0	140906.0	3584731.0
Sfa-CBas_016-Ex1-7G-lcwgs-1-T.clmp.fp2_r1_screen	2850.0	20460.0	1598.0	2228.0	1774.0	289.0	330.0	151.0	8.0	0.0	99216.0	2164750.0
Sfa-CBas_016-Ex1-7G-lcwgs-1-T.clmp.fp2_r2_screen	2940.0	20271.0	1599.0	2238.0	1744.0	333.0	285.0	158.0	7.0	0.0	98182.0	2165897.0
Sfa-CBas_017-Ex1-5A-lcwgs-2-T.clmp.fp2_r1_screen	3596.0	18312.0	5186.0	2160.0	1556.0	303.0	283.0	129.0	8.0	0.0	75189.0	2010771.0
Sfa-CBas_017-Ex1-5A-lcwgs-2-T.clmp.fp2_r2_screen	3664.0	18336.0	5142.0	2138.0	1580.0	259.0	282.0	113.0	5.0	0.0	74144.0	2011830.0
Sfa-CBas_018-Ex1-5H-lcwgs-1-T.clmp.fp2_r1_screen	216.0	1452.0	139.0	149.0	124.0	30.0	26.0	6.0	0.0	0.0	6155.0	148535.0
Sfa-CBas_018-Ex1-5H-lcwgs-1-T.clmp.fp2_r2_screen	217.0	1349.0	152.0	127.0	125.0	23.0	20.0	14.0	1.0	0.0	6175.0	148629.0
Sfa-CBas_019-Ex1-5A-lcwgs-1-T.clmp.fp2_r1_screen	3402.0	21338.0	1478.0	2456.0	2045.0	309.0	336.0	187.0	7.0	0.0	108245.0	2338963.0
Sfa-CBas_019-Ex1-5A-lcwgs-1-T.clmp.fp2_r2_screen	3388.0	21148.0	1480.0	2277.0	2005.0	310.0	331.0	196.0	10.0	0.0	106923.0	2340698.0
Sfa-CBas_020-Ex1-7A-lcwgs-1-T.clmp.fp2_r1_screen	3143.0	19843.0	1325.0	2343.0	1945.0	298.0	273.0	123.0	8.0	1.0	88052.0	2433811.0
Sfa-CBas_020-Ex1-7A-lcwgs-1-T.clmp.fp2_r2_screen	3089.0	19966.0	1282.0	2237.0	1806.0	311.0	309.0	135.0	7.0	0.0	87702.0	2434321.0
Sfa-CBas_021-Ex1-8D-lcwgs-1-T.clmp.fp2_r1_screen	4225.0	27343.0	1434.0	3324.0	2406.0	477.0	472.0	180.0	14.0	0.0	129567.0	3199171.0
Sfa-CBas_021-Ex1-8D-lcwgs-1-T.clmp.fp2_r2_screen	4199.0	27542.0	1425.0	3134.0	2338.0	415.0	434.0	184.0	15.0	0.0	127735.0	3201192.0
Sfa-CBas_022-Ex1-6G-lcwgs-1-T.clmp.fp2_r1_screen	8.0	123.0	8.0	8.0	8.0	2.0	1.0	1.0	0.0	0.0	477.0	12715.0
Sfa-CBas_022-Ex1-6G-lcwgs-1-T.clmp.fp2_r2_screen	21.0	125.0	10.0	13.0	10.0	1.0	1.0	2.0	0.0	0.0	465.0	12703.0
Sfa-CBas_023-Ex1-4G-lcwgs-1-T.clmp.fp2_r1_screen	5152.0	31867.0	2797.0	3872.0	2942.0	494.0	484.0	258.0	12.0	0.0	158868.0	3433140.0
Sfa-CBas_023-Ex1-4G-lcwgs-1-T.clmp.fp2_r2_screen	5018.0	31939.0	2836.0	3924.0	2963.0	459.0	448.0	210.0	13.0	0.0	156388.0	3435688.0
Sfa-CBas_024-Ex1-3G-lcwgs-1-T.clmp.fp2_r1_screen	1202.0	7990.0	1038.0	849.0	780.0	107.0	115.0	65.0	6.0	0.0	43998.0	845121.0
Sfa-CBas_024-Ex1-3G-lcwgs-1-T.clmp.fp2_r2_screen	1136.0	7989.0	992.0	869.0	729.0	91.0	92.0	71.0	2.0	0.0	43818.0	845482.0
Sfa-CBas_025-Ex1-8H-lcwgs-1-T.clmp.fp2_r1_screen	3367.0	21862.0	1576.0	2519.0	1967.0	372.0	353.0	148.0	11.0	0.0	106637.0	2408183.0
Sfa-CBas_025-Ex1-8H-lcwgs-1-T.clmp.fp2_r2_screen	3345.0	22057.0	1550.0	2513.0	2045.0	369.0	327.0	148.0	8.0	0.0	105431.0	2409202.0
Sfa-CBas_026-Ex1-6D-lcwgs-1-T.clmp.fp2_r1_screen	5490.0	35542.0	3239.0	4249.0	3357.0	568.0	553.0	214.0	11.0	0.0	168455.0	4082739.0
Sfa-CBas_026-Ex1-6D-lcwgs-1-T.clmp.fp2_r2_screen	5664.0	36020.0	3198.0	4056.0	3283.0	517.0	581.0	232.0	9.0	0.0	166827.0	4084030.0
Sfa-CBas_027-Ex1-11A-lcwgs-2-T.clmp.fp2_r1_screen	1748.0	12033.0	1222.0	1378.0	1047.0	164.0	168.0	74.0	2.0	0.0	49007.0	1246364.0
Sfa-CBas_027-Ex1-11A-lcwgs-2-T.clmp.fp2_r2_screen	1746.0	12075.0	1243.0	1459.0	929.0	179.0	171.0	83.0	8.0	0.0	48687.0	1246627.0
Sfa-CBas_028-Ex1-6B-lcwgs-2-T.clmp.fp2_r1_screen	1226.0	7681.0	1326.0	882.0	698.0	110.0	102.0	56.0	2.0	0.0	36079.0	816494.0
Sfa-CBas_028-Ex1-6B-lcwgs-2-T.clmp.fp2_r2_screen	1130.0	7694.0	1396.0	912.0	677.0	125.0	106.0	62.0	7.0	0.0	35534.0	817013.0
Sfa-CBas_029-Ex1-1B-lcwgs-2-T.clmp.fp2_r1_screen	2694.0	18956.0	3554.0	2201.0	1699.0	300.0	262.0	122.0	9.0	0.0	77325.0	1968875.0
Sfa-CBas_029-Ex1-1B-lcwgs-2-T.clmp.fp2_r2_screen	2660.0	18645.0	3632.0	2050.0	1577.0	281.0	268.0	117.0	12.0	0.0	76219.0	1970536.0
Sfa-CBas_030-Ex1-5B-lcwgs-2-T.clmp.fp2_r1_screen	467.0	3450.0	398.0	430.0	296.0	60.0	57.0	28.0	2.0	0.0	14058.0	360344.0
Sfa-CBas_030-Ex1-5B-lcwgs-2-T.clmp.fp2_r2_screen	514.0	3311.0	382.0	397.0	292.0	49.0	55.0	30.0	6.0	0.0	13944.0	360610.0
Sfa-CBas_031-Ex1-4B-lcwgs-2-T.clmp.fp2_r1_screen	2681.0	19306.0	8036.0	2098.0	1850.0	259.0	303.0	161.0	12.0	0.0	91191.0	1982916.0
Sfa-CBas_031-Ex1-4B-lcwgs-2-T.clmp.fp2_r2_screen	2594.0	19430.0	7992.0	2056.0	1679.0	266.0	263.0	168.0	12.0	0.0	89539.0	1984814.0
Sfa-CBas_032-Ex1-7E-lcwgs-1-T.clmp.fp2_r1_screen	5748.0	22710.0	1852.0	2527.0	1977.0	350.0	332.0	145.0	11.0	0.0	104480.0	2749173.0
Sfa-CBas_032-Ex1-7E-lcwgs-1-T.clmp.fp2_r2_screen	5724.0	22637.0	1824.0	2394.0	1946.0	382.0	337.0	154.0	8.0	0.0	103859.0	2750040.0
Sfa-CBas_033-Ex1-6A-lcwgs-2-T.clmp.fp2_r1_screen	788.0	4979.0	786.0	531.0	409.0	70.0	69.0	42.0	5.0	0.0	22163.0	555276.0
Sfa-CBas_033-Ex1-6A-lcwgs-2-T.clmp.fp2_r2_screen	754.0	4889.0	753.0	550.0	403.0	80.0	82.0	36.0	1.0	0.0	21884.0	555686.0
Sfa-CBas_035-Ex1-5G-lcwgs-1-T.clmp.fp2_r1_screen	43.0	372.0	37.0	33.0	29.0	8.0	3.0	1.0	0.0	0.0	1261.0	32575.0
Sfa-CBas_035-Ex1-5G-lcwgs-1-T.clmp.fp2_r2_screen	42.0	363.0	42.0	39.0	24.0	1.0	4.0	4.0	0.0	0.0	1320.0	32523.0
Sfa-CBas_036-Ex1-10A-lcwgs-2-T.clmp.fp2_r1_screen	1714.0	11239.0	3216.0	1357.0	955.0	176.0	195.0	64.0	3.0	0.0	51907.0	1203014.0
Sfa-CBas_036-Ex1-10A-lcwgs-2-T.clmp.fp2_r2_screen	1713.0	11386.0	3140.0	1356.0	1019.0	189.0	177.0	71.0	8.0	0.0	51130.0	1203651.0
Sfa-CBas_037-Ex1-4E-lcwgs-1-T.clmp.fp2_r1_screen	84.0	531.0	91.0	60.0	40.0	5.0	15.0	9.0	0.0	0.0	2523.0	51058.0
Sfa-CBas_037-Ex1-4E-lcwgs-1-T.clmp.fp2_r2_screen	76.0	499.0	95.0	54.0	35.0	5.0	6.0	3.0	0.0	0.0	2525.0	51118.0
Sfa-CBas_038-Ex1-3H-lcwgs-1-T.clmp.fp2_r1_screen	443.0	2468.0	383.0	274.0	269.0	39.0	21.0	17.0	0.0	0.0	11740.0	303797.0
Sfa-CBas_038-Ex1-3H-lcwgs-1-T.clmp.fp2_r2_screen	437.0	2552.0	373.0	276.0	229.0	30.0	23.0	8.0	3.0	0.0	11531.0	303989.0
Sfa-CBas_039-Ex1-10B-lcwgs-2-T.clmp.fp2_r1_screen	3347.0	23160.0	1974.0	2587.0	2146.0	367.0	343.0	210.0	15.0	0.0	113275.0	2475772.0
