Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Multiple Genomes	No hits
Psq-AGal_047-Ex1-11D-lcwgs-1-1.clmp.fp2_r2_screen	6322.0	14230.0	1881.0	561.0	314.0	117.0	59.0	36.0	2.0	22004.0	1089781.0
Psq-AGal_048-Ex1-12D-lcwgs-1-1.clmp.fp2_r1_screen	13290.0	11237.0	3631.0	929.0	355.0	191.0	89.0	31.0	12.0	22028.0	1329338.0
Psq-AGal_048-Ex1-12D-lcwgs-1-1.clmp.fp2_r2_screen	13418.0	11187.0	3640.0	933.0	362.0	181.0	82.0	42.0	3.0	21807.0	1329476.0
Psq-AGal_049-Ex1-1E-lcwgs-1-1.clmp.fp2_r1_screen	3861.0	4615.0	614.0	379.0	223.0	51.0	26.0	14.0	2.0	11481.0	669162.0
Psq-AGal_049-Ex1-1E-lcwgs-1-1.clmp.fp2_r2_screen	3974.0	4546.0	638.0	369.0	246.0	53.0	47.0	16.0	2.0	11444.0	669093.0
Psq-AGal_050-Ex1-2E-lcwgs-1-1.clmp.fp2_r1_screen	11216.0	14307.0	4889.0	1018.0	515.0	212.0	106.0	48.0	1.0	27122.0	1555614.0
Psq-AGal_050-Ex1-2E-lcwgs-1-1.clmp.fp2_r2_screen	11490.0	14321.0	4845.0	1068.0	498.0	194.0	91.0	58.0	1.0	26868.0	1555614.0
Psq-AGal_051-Ex1-3E-lcwgs-1-1.clmp.fp2_r1_screen	14844.0	5957.0	994.0	1078.0	507.0	251.0	97.0	45.0	1.0	25249.0	1397080.0
Psq-AGal_051-Ex1-3E-lcwgs-1-1.clmp.fp2_r2_screen	15290.0	5951.0	1052.0	1082.0	474.0	230.0	100.0	50.0	5.0	24934.0	1396935.0
Psq-AGal_052-Ex1-4E-lcwgs-1-1.clmp.fp2_r1_screen	12154.0	7458.0	977.0	907.0	396.0	191.0	89.0	40.0	1.0	20287.0	1328447.0
Psq-AGal_052-Ex1-4E-lcwgs-1-1.clmp.fp2_r2_screen	12478.0	7366.0	998.0	938.0	382.0	209.0	106.0	30.0	2.0	20265.0	1328173.0
Psq-AGal_053-Ex1-5E-lcwgs-1-1.clmp.fp2_r1_screen	14853.0	9342.0	2080.0	1098.0	505.0	196.0	110.0	40.0	4.0	28290.0	1760774.0
Psq-AGal_053-Ex1-5E-lcwgs-1-1.clmp.fp2_r2_screen	14998.0	9498.0	2165.0	1136.0	473.0	226.0	106.0	46.0	3.0	28049.0	1760592.0
Psq-AGal_054-Ex1-6E-lcwgs-1-1.clmp.fp2_r1_screen	14628.0	11887.0	1254.0	1049.0	434.0	175.0	85.0	51.0	7.0	25743.0	1695083.0
Psq-AGal_054-Ex1-6E-lcwgs-1-1.clmp.fp2_r2_screen	15076.0	11844.0	1220.0	1077.0	440.0	220.0	109.0	48.0	4.0	25625.0	1694733.0
Psq-AGal_055-Ex1-7E-lcwgs-1-1.clmp.fp2_r1_screen	13947.0	9374.0	966.0	964.0	384.0	197.0	66.0	39.0	1.0	24316.0	1199826.0
Psq-AGal_055-Ex1-7E-lcwgs-1-1.clmp.fp2_r2_screen	14383.0	9354.0	953.0	982.0	394.0	240.0	103.0	43.0	3.0	24299.0	1199326.0
Psq-AGal_056-Ex1-8E-lcwgs-1-1.clmp.fp2_r1_screen	15044.0	8764.0	929.0	1038.0	369.0	241.0	112.0	45.0	1.0	23175.0	1395544.0
Psq-AGal_056-Ex1-8E-lcwgs-1-1.clmp.fp2_r2_screen	15141.0	8663.0	921.0	1047.0	408.0	280.0	119.0	41.0	1.0	23241.0	1395400.0
Psq-AGal_057-Ex1-9E-lcwgs-1-1.clmp.fp2_r1_screen	13885.0	5316.0	1133.0	1010.0	413.0	202.0	80.0	23.0	0.0	22090.0	1483586.0
Psq-AGal_057-Ex1-9E-lcwgs-1-1.clmp.fp2_r2_screen	14129.0	5343.0	1128.0	1076.0	405.0	204.0	102.0	35.0	2.0	21881.0	1483433.0
Psq-AGal_058-Ex1-10E-lcwgs-1-1.clmp.fp2_r1_screen	3519.0	4534.0	309.0	235.0	92.0	49.0	24.0	6.0	0.0	6703.0	381207.0
Psq-AGal_058-Ex1-10E-lcwgs-1-1.clmp.fp2_r2_screen	3624.0	4502.0	298.0	251.0	93.0	64.0	20.0	12.0	0.0	6647.0	381167.0
Psq-AGal_059-Ex1-11E-lcwgs-1-1.clmp.fp2_r1_screen	12736.0	12485.0	1705.0	894.0	424.0	165.0	74.0	37.0	2.0	26126.0	1402608.0
Psq-AGal_059-Ex1-11E-lcwgs-1-1.clmp.fp2_r2_screen	13025.0	12412.0	1677.0	956.0	391.0	207.0	90.0	38.0	4.0	25993.0	1402463.0
Psq-AGal_060-Ex1-12E-lcwgs-1-1.clmp.fp2_r1_screen	9387.0	17970.0	1942.0	803.0	419.0	164.0	74.0	34.0	6.0	29252.0	1286377.0
Psq-AGal_060-Ex1-12E-lcwgs-1-1.clmp.fp2_r2_screen	9484.0	17937.0	1934.0	842.0	425.0	153.0	85.0	37.0	2.0	29018.0	1286511.0
Psq-AGal_061-Ex1-1F-lcwgs-1-1.clmp.fp2_r1_screen	9666.0	13884.0	945.0	876.0	420.0	198.0	104.0	40.0	4.0	23630.0	1352112.0
Psq-AGal_061-Ex1-1F-lcwgs-1-1.clmp.fp2_r2_screen	9973.0	13904.0	1073.0	946.0	451.0	198.0	103.0	30.0	1.0	23649.0	1351551.0
Psq-AGal_062-Ex1-2F-lcwgs-1-1.clmp.fp2_r1_screen	14831.0	5274.0	1228.0	1153.0	512.0	230.0	140.0	39.0	2.0	25200.0	1820958.0
Psq-AGal_062-Ex1-2F-lcwgs-1-1.clmp.fp2_r2_screen	14946.0	5324.0	1237.0	1163.0	495.0	241.0	127.0	45.0	0.0	25031.0	1820958.0
Psq-AGal_063-Ex1-3F-lcwgs-1-1.clmp.fp2_r1_screen	10947.0	6654.0	1337.0	940.0	627.0	170.0	100.0	34.0	2.0	27828.0	1836562.0
Psq-AGal_063-Ex1-3F-lcwgs-1-1.clmp.fp2_r2_screen	11142.0	6543.0	1370.0	997.0	605.0	178.0	105.0	45.0	3.0	27651.0	1836562.0
Psq-AGal_064-Ex1-4F-lcwgs-1-1.clmp.fp2_r1_screen	15669.0	8900.0	1648.0	1126.0	408.0	240.0	107.0	40.0	1.0	23882.0	1357753.0
Psq-AGal_064-Ex1-4F-lcwgs-1-1.clmp.fp2_r2_screen	15637.0	9021.0	1616.0	1131.0	395.0	256.0	103.0	33.0	1.0	23687.0	1357894.0
Psq-AGal_065-Ex1-5F-lcwgs-1-1.clmp.fp2_r1_screen	10771.0	18585.0	1525.0	1038.0	521.0	164.0	86.0	26.0	5.0	34223.0	1685512.0
Psq-AGal_065-Ex1-5F-lcwgs-1-1.clmp.fp2_r2_screen	10860.0	18549.0	1545.0	995.0	556.0	147.0	70.0	52.0	0.0	34170.0	1685512.0
Psq-AGal_066-Ex1-6F-lcwgs-1-1.clmp.fp2_r1_screen	15251.0	7135.0	1323.0	1142.0	522.0	238.0	133.0	48.0	12.0	25964.0	1810383.0
Psq-AGal_066-Ex1-6F-lcwgs-1-1.clmp.fp2_r2_screen	15822.0	7114.0	1416.0	1180.0	473.0	241.0	106.0	42.0	1.0	25932.0	1809824.0
Psq-AGal_067-Ex1-7F-lcwgs-1-1.clmp.fp2_r1_screen	9395.0	5215.0	1520.0	894.0	526.0	175.0	98.0	33.0	3.0	22621.0	1704332.0
Psq-AGal_067-Ex1-7F-lcwgs-1-1.clmp.fp2_r2_screen	9454.0	5217.0	1537.0	835.0	523.0	174.0	102.0	35.0	1.0	22602.0	1704332.0
Psq-AGal_068-Ex1-8F-lcwgs-1-1.clmp.fp2_r1_screen	12613.0	6484.0	1089.0	891.0	380.0	163.0	84.0	30.0	0.0	22338.0	1480885.0
Psq-AGal_068-Ex1-8F-lcwgs-1-1.clmp.fp2_r2_screen	12806.0	6489.0	1131.0	933.0	394.0	172.0	96.0	28.0	2.0	22173.0	1480733.0
Psq-AGal_069-Ex1-9F-lcwgs-1-1.clmp.fp2_r1_screen	15043.0	5552.0	1507.0	1168.0	467.0	222.0	120.0	42.0	1.0	24830.0	1819429.0
Psq-AGal_069-Ex1-9F-lcwgs-1-1.clmp.fp2_r2_screen	15130.0	5539.0	1556.0	1214.0	481.0	213.0	107.0	44.0	0.0	24855.0	1819242.0
Psq-AGal_070-Ex1-10F-lcwgs-1-1.clmp.fp2_r1_screen	12127.0	8076.0	1713.0	924.0	437.0	164.0	96.0	41.0	0.0	24598.0	1515957.0
Psq-AGal_070-Ex1-10F-lcwgs-1-1.clmp.fp2_r2_screen	12681.0	7999.0	1701.0	965.0	442.0	177.0	100.0	43.0	1.0	24536.0	1515488.0
Psq-AGal_071-Ex1-11F-lcwgs-1-1.clmp.fp2_r1_screen	11487.0	7122.0	1043.0	847.0	356.0	184.0	75.0	36.0	0.0	21797.0	1407944.0
Psq-AGal_071-Ex1-11F-lcwgs-1-1.clmp.fp2_r2_screen	11550.0	7065.0	1055.0	881.0	377.0	171.0	85.0	28.0	0.0	21590.0	1408089.0
Psq-AGal_072-Ex1-12F-lcwgs-1-1.clmp.fp2_r1_screen	11323.0	3724.0	934.0	848.0	423.0	151.0	102.0	29.0	9.0	21154.0	1484777.0
Psq-AGal_072-Ex1-12F-lcwgs-1-1.clmp.fp2_r2_screen	11263.0	3696.0	1024.0	836.0	368.0	188.0	82.0	21.0	3.0	21063.0	1484930.0
Psq-AGal_073-Ex1-1G-lcwgs-1-1.clmp.fp2_r1_screen	9930.0	2714.0	3860.0	754.0	359.0	146.0	89.0	31.0	1.0	16979.0	1201407.0
Psq-AGal_073-Ex1-1G-lcwgs-1-1.clmp.fp2_r2_screen	9993.0	2655.0	3895.0	786.0	331.0	171.0	87.0	25.0	0.0	16920.0	1201407.0
Psq-AGal_074-Ex1-2G-lcwgs-1-1.clmp.fp2_r1_screen	12963.0	6131.0	4436.0	960.0	390.0	180.0	82.0	39.0	1.0	22273.0	1468670.0
Psq-AGal_074-Ex1-2G-lcwgs-1-1.clmp.fp2_r2_screen	13429.0	6121.0	4432.0	937.0	405.0	185.0	82.0	36.0	0.0	21980.0	1468518.0
Psq-AGal_075-Ex1-3G-lcwgs-1-1.clmp.fp2_r1_screen	14080.0	6048.0	1363.0	1097.0	436.0	232.0	89.0	37.0	1.0	23043.0	1582530.0
Psq-AGal_075-Ex1-3G-lcwgs-1-1.clmp.fp2_r2_screen	14274.0	5966.0	1345.0	1115.0	431.0	193.0	95.0	40.0	1.0	22966.0	1582530.0
Psq-AGal_076-Ex1-4G-lcwgs-1-1.clmp.fp2_r1_screen	6961.0	4189.0	1009.0	483.0	222.0	111.0	76.0	23.0	1.0	11383.0	864889.0
Psq-AGal_076-Ex1-4G-lcwgs-1-1.clmp.fp2_r2_screen	7005.0	4099.0	1030.0	551.0	223.0	109.0	56.0	32.0	0.0	11441.0	864801.0
Psq-AGal_077-Ex1-5G-lcwgs-1-1.clmp.fp2_r1_screen	17706.0	9007.0	1948.0	1319.0	540.0	204.0	124.0	62.0	6.0	29645.0	1992330.0
Psq-AGal_077-Ex1-5G-lcwgs-1-1.clmp.fp2_r2_screen	17765.0	8951.0	1943.0	1367.0	531.0	236.0	130.0	59.0	1.0	29578.0	1992330.0
Psq-AGal_078-Ex1-6G-lcwgs-1-1.clmp.fp2_r1_screen	10738.0	25556.0	1699.0	1013.0	536.0	197.0	85.0	47.0	14.0	35061.0	1688471.0
Psq-AGal_078-Ex1-6G-lcwgs-1-1.clmp.fp2_r2_screen	10768.0	25566.0	1758.0	1045.0	527.0	188.0	85.0	56.0	2.0	34598.0	1688824.0
Psq-AGal_079-Ex1-7G-lcwgs-1-1.clmp.fp2_r1_screen	11787.0	6535.0	1810.0	1112.0	609.0	194.0	349.0	49.0	7.0	40098.0	1694454.0
Psq-AGal_079-Ex1-7G-lcwgs-1-1.clmp.fp2_r2_screen	11999.0	6590.0	1796.0	1068.0	564.0	217.0	333.0	64.0	6.0	39561.0	1694806.0
Psq-AGal_080-Ex1-8G-lcwgs-1-1.clmp.fp2_r1_screen	10149.0	3678.0	770.0	745.0	354.0	190.0	92.0	33.0	1.0	15989.0	1258340.0
Psq-AGal_080-Ex1-8G-lcwgs-1-1.clmp.fp2_r2_screen	10235.0	3681.0	747.0	741.0	309.0	170.0	86.0	38.0	3.0	15991.0	1258340.0
Psq-AGal_081-Ex1-9G-lcwgs-1-1.clmp.fp2_r1_screen	7310.0	5459.0	826.0	657.0	404.0	112.0	79.0	24.0	1.0	17326.0	1392486.0
Psq-AGal_081-Ex1-9G-lcwgs-1-1.clmp.fp2_r2_screen	7297.0	5500.0	760.0	602.0	379.0	112.0	65.0	26.0	1.0	17171.0	1392771.0
Psq-AGal_082-Ex1-10G-lcwgs-1-1.clmp.fp2_r1_screen	10992.0	7434.0	753.0	749.0	314.0	153.0	82.0	34.0	0.0	18749.0	942229.0
Psq-AGal_082-Ex1-10G-lcwgs-1-1.clmp.fp2_r2_screen	11357.0	7349.0	757.0	790.0	307.0	143.0	76.0	39.0	1.0	18834.0	941836.0
Psq-AGal_083-Ex1-11G-lcwgs-1-1.clmp.fp2_r1_screen	17719.0	5608.0	1122.0	1216.0	557.0	202.0	97.0	37.0	1.0	39033.0	1514936.0
Psq-AGal_083-Ex1-11G-lcwgs-1-1.clmp.fp2_r2_screen	17971.0	5625.0	1086.0	1309.0	546.0	222.0	97.0	51.0	3.0	38840.0	1514778.0
Psq-AGal_084-Ex1-12G-lcwgs-1-1.clmp.fp2_r1_screen	16690.0	4882.0	888.0	1153.0	422.0	208.0	85.0	38.0	6.0	32436.0	1450028.0
