Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Coral	Bird	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Pli-AMvi_008-Ex1-1B-lcwgs-1-1.clmp.fp2_r1_screen	3435.0	3042.0	1615.0	337.0	101.0	171.0	68.0	13.0	1.0	0.0	23388.0	225810.0
Pli-AMvi_008-Ex1-1B-lcwgs-1-1.clmp.fp2_r2_screen	3430.0	3087.0	1569.0	331.0	91.0	201.0	60.0	12.0	0.0	0.0	23441.0	225759.0
Pli-AMvi_008-Ex1-1B-lcwgs-2-1.clmp.fp2_r1_screen	2636.0	459.0	68.0	24.0	10.0	12.0	8.0	1.0	2.0	0.0	3949.0	26901.0
Pli-AMvi_008-Ex1-1B-lcwgs-2-1.clmp.fp2_r2_screen	2582.0	472.0	71.0	22.0	11.0	19.0	5.0	1.0	2.0	0.0	3946.0	26939.0
Pli-AMvi_009-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen	38.0	31.0	37.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	1119.0	3978.0
Pli-AMvi_009-Ex1-2B-lcwgs-1-1.clmp.fp2_r2_screen	38.0	25.0	41.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	1181.0	3919.0
Pli-AMvi_009-Ex1-2B-lcwgs-2-1.clmp.fp2_r1_screen	46.0	9.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	72.0	410.0
Pli-AMvi_009-Ex1-2B-lcwgs-2-1.clmp.fp2_r2_screen	41.0	7.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	72.0	415.0
Pli-AMvi_010-Ex1-7A-lcwgs-1-1.clmp.fp2_r1_screen	225.0	373.0	58.0	49.0	8.0	33.0	9.0	0.0	1.0	0.0	2453.0	28650.0
Pli-AMvi_010-Ex1-7A-lcwgs-1-1.clmp.fp2_r2_screen	239.0	395.0	64.0	37.0	14.0	23.0	6.0	2.0	0.0	0.0	2467.0	28612.0
Pli-AMvi_010-Ex1-7A-lcwgs-2-1.clmp.fp2_r1_screen	72700.0	13488.0	3938.0	845.0	268.0	767.0	144.0	67.0	1.0	0.0	78015.0	817193.0
Pli-AMvi_010-Ex1-7A-lcwgs-2-1.clmp.fp2_r2_screen	71961.0	13404.0	3926.0	856.0	278.0	736.0	139.0	57.0	3.0	0.0	76305.0	819761.0
Pli-AMvi_011-Ex1-8A-lcwgs-1-1.clmp.fp2_r1_screen	2563.0	3905.0	605.0	364.0	117.0	222.0	79.0	13.0	0.0	0.0	24569.0	313738.0
Pli-AMvi_011-Ex1-8A-lcwgs-1-1.clmp.fp2_r2_screen	2564.0	3795.0	582.0	370.0	120.0	215.0	73.0	13.0	1.0	0.0	24566.0	313876.0
Pli-AMvi_011-Ex1-8A-lcwgs-2-1.clmp.fp2_r1_screen	99158.0	15681.0	2107.0	937.0	302.0	624.0	167.0	90.0	0.0	0.0	107278.0	911061.0
Pli-AMvi_011-Ex1-8A-lcwgs-2-1.clmp.fp2_r2_screen	97518.0	15593.0	2047.0	963.0	291.0	578.0	174.0	89.0	2.0	0.0	104539.0	915611.0
Pli-AMvi_012-Ex1-9A-lcwgs-1-1.clmp.fp2_r1_screen	2013.0	2741.0	458.0	277.0	77.0	196.0	46.0	36.0	0.0	0.0	14239.0	238706.0
Pli-AMvi_012-Ex1-9A-lcwgs-1-1.clmp.fp2_r2_screen	2025.0	2727.0	504.0	305.0	81.0	187.0	53.0	33.0	0.0	0.0	14090.0	238784.0
Pli-AMvi_012-Ex1-9A-lcwgs-2-1.clmp.fp2_r1_screen	35664.0	6104.0	911.0	397.0	141.0	238.0	62.0	64.0	0.0	0.0	39446.0	423233.0
Pli-AMvi_012-Ex1-9A-lcwgs-2-1.clmp.fp2_r2_screen	35156.0	6164.0	928.0	386.0	132.0	265.0	83.0	69.0	0.0	0.0	38427.0	424650.0
Pli-AMvi_013-Ex1-10A-lcwgs-1-1.clmp.fp2_r1_screen	1546.0	2659.0	522.0	275.0	86.0	174.0	63.0	28.0	0.0	0.0	18443.0	227210.0
Pli-AMvi_013-Ex1-10A-lcwgs-1-1.clmp.fp2_r2_screen	1553.0	2695.0	528.0	252.0	71.0	167.0	54.0	24.0	0.0	0.0	18326.0	227336.0
Pli-AMvi_013-Ex1-10A-lcwgs-2-1.clmp.fp2_r1_screen	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	56.0
Pli-AMvi_013-Ex1-10A-lcwgs-2-1.clmp.fp2_r2_screen	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	54.0
Pli-AMvi_014-Ex1-11A-lcwgs-1-1.clmp.fp2_r1_screen	6315.0	1711.0	942.0	208.0	57.0	86.0	32.0	29.0	1.0	0.0	16694.0	137401.0
Pli-AMvi_014-Ex1-11A-lcwgs-1-1.clmp.fp2_r2_screen	6223.0	1678.0	925.0	198.0	48.0	103.0	31.0	27.0	0.0	0.0	16204.0	138039.0
Pli-AMvi_014-Ex1-11A-lcwgs-2-1.clmp.fp2_r1_screen	15.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	377.0
Pli-AMvi_014-Ex1-11A-lcwgs-2-1.clmp.fp2_r2_screen	16.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	377.0
Pli-AMvi_015-Ex1-12A-lcwgs-1-1.clmp.fp2_r1_screen	2.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	287.0
Pli-AMvi_015-Ex1-12A-lcwgs-1-1.clmp.fp2_r2_screen	2.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	56.0	282.0
Pli-AMvi_015-Ex1-12A-lcwgs-2-1.clmp.fp2_r1_screen	48.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	258.0
Pli-AMvi_015-Ex1-12A-lcwgs-2-1.clmp.fp2_r2_screen	49.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	265.0
Pli-AMvi_016-Ex1-3B-lcwgs-1-1.clmp.fp2_r1_screen	194.0	415.0	62.0	36.0	21.0	18.0	11.0	2.0	0.0	0.0	3855.0	45921.0
Pli-AMvi_016-Ex1-3B-lcwgs-1-1.clmp.fp2_r2_screen	208.0	471.0	69.0	51.0	20.0	12.0	11.0	1.0	0.0	0.0	3852.0	45840.0
Pli-AMvi_016-Ex1-3B-lcwgs-2-1.clmp.fp2_r1_screen	1619.0	567.0	85.0	47.0	17.0	20.0	9.0	2.0	0.0	0.0	4327.0	51351.0
Pli-AMvi_016-Ex1-3B-lcwgs-2-1.clmp.fp2_r2_screen	1604.0	552.0	75.0	57.0	21.0	21.0	7.0	3.0	0.0	0.0	4318.0	51386.0
Pli-AMvi_017-Ex1-4B-lcwgs-1-1.clmp.fp2_r1_screen	190.0	527.0	69.0	44.0	24.0	31.0	7.0	2.0	0.0	0.0	6776.0	50656.0
Pli-AMvi_017-Ex1-4B-lcwgs-1-1.clmp.fp2_r2_screen	185.0	524.0	59.0	50.0	23.0	31.0	6.0	2.0	1.0	0.0	6766.0	50679.0
Pli-AMvi_017-Ex1-4B-lcwgs-2-1.clmp.fp2_r1_screen	19.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	234.0
Pli-AMvi_017-Ex1-4B-lcwgs-2-1.clmp.fp2_r2_screen	19.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	54.0	236.0
Pli-AMvi_018-Ex1-1C-lcwgs-1-1.clmp.fp2_r1_screen	56.0	327.0	52.0	21.0	6.0	8.0	6.0	2.0	0.0	0.0	8378.0	29119.0
Pli-AMvi_018-Ex1-1C-lcwgs-1-1.clmp.fp2_r2_screen	57.0	335.0	38.0	17.0	10.0	17.0	2.0	0.0	0.0	0.0	8342.0	29157.0
Pli-AMvi_018-Ex1-1C-lcwgs-2-1.clmp.fp2_r1_screen	103.0	14.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	156.0	787.0
Pli-AMvi_018-Ex1-1C-lcwgs-2-1.clmp.fp2_r2_screen	104.0	13.0	4.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	154.0	787.0
Pli-AMvi_019-Ex1-2C-lcwgs-1-1.clmp.fp2_r1_screen	65.0	146.0	58.0	10.0	6.0	4.0	2.0	1.0	0.0	0.0	3198.0	17120.0
Pli-AMvi_019-Ex1-2C-lcwgs-1-1.clmp.fp2_r2_screen	78.0	158.0	63.0	10.0	3.0	5.0	2.0	0.0	0.0	0.0	3208.0	17083.0
Pli-AMvi_019-Ex1-2C-lcwgs-2-1.clmp.fp2_r1_screen	41.0	8.0	18.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	60.0	487.0
Pli-AMvi_019-Ex1-2C-lcwgs-2-1.clmp.fp2_r2_screen	39.0	9.0	20.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	62.0	484.0
Pli-AMvi_020-Ex1-3C-lcwgs-1-1.clmp.fp2_r1_screen	25.0	101.0	16.0	7.0	1.0	3.0	2.0	2.0	0.0	0.0	1746.0	11109.0
Pli-AMvi_020-Ex1-3C-lcwgs-1-1.clmp.fp2_r2_screen	29.0	91.0	16.0	12.0	4.0	1.0	2.0	2.0	0.0	0.0	1790.0	11065.0
Pli-AMvi_020-Ex1-3C-lcwgs-2-1.clmp.fp2_r1_screen	9.0	2.0	13.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	209.0
Pli-AMvi_020-Ex1-3C-lcwgs-2-1.clmp.fp2_r2_screen	10.0	3.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	207.0
Pli-AMvi_021-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	124.0	435.0	44.0	43.0	14.0	20.0	5.0	4.0	2.0	0.0	4271.0	50662.0
Pli-AMvi_021-Ex1-4C-lcwgs-1-1.clmp.fp2_r2_screen	125.0	449.0	51.0	52.0	17.0	29.0	8.0	2.0	1.0	0.0	4312.0	50578.0
Pli-AMvi_021-Ex1-4C-lcwgs-2-1.clmp.fp2_r1_screen	1239.0	1315.0	149.0	101.0	58.0	30.0	13.0	9.0	0.0	0.0	11635.0	169145.0
Pli-AMvi_021-Ex1-4C-lcwgs-2-1.clmp.fp2_r2_screen	1226.0	1358.0	149.0	93.0	65.0	38.0	11.0	6.0	1.0	0.0	11510.0	169237.0
Pli-AMvi_022-Ex1-7B-lcwgs-1-1.clmp.fp2_r1_screen	510.0	452.0	97.0	58.0	16.0	39.0	7.0	3.0	1.0	0.0	3609.0	43465.0
Pli-AMvi_022-Ex1-7B-lcwgs-1-1.clmp.fp2_r2_screen	514.0	457.0	89.0	49.0	15.0	27.0	10.0	5.0	0.0	0.0	3665.0	43426.0
Pli-AMvi_022-Ex1-7B-lcwgs-2-1.clmp.fp2_r1_screen	274144.0	26221.0	4286.0	929.0	194.0	443.0	143.0	148.0	1.0	0.0	187563.0	1235869.0
Pli-AMvi_022-Ex1-7B-lcwgs-2-1.clmp.fp2_r2_screen	269411.0	26024.0	4202.0	915.0	211.0	474.0	142.0	136.0	20.0	0.0	178178.0	1250228.0
Pli-AMvi_023-Ex1-8B-lcwgs-1-1.clmp.fp2_r1_screen	1412.0	2431.0	340.0	227.0	69.0	135.0	36.0	15.0	0.0	0.0	20413.0	195675.0
Pli-AMvi_023-Ex1-8B-lcwgs-1-1.clmp.fp2_r2_screen	1393.0	2455.0	396.0	243.0	57.0	143.0	33.0	11.0	1.0	0.0	20192.0	195829.0
Pli-AMvi_023-Ex1-8B-lcwgs-2-1.clmp.fp2_r1_screen	26855.0	4669.0	601.0	283.0	101.0	183.0	54.0	18.0	0.0	0.0	30705.0	305748.0
Pli-AMvi_023-Ex1-8B-lcwgs-2-1.clmp.fp2_r2_screen	26604.0	4706.0	636.0	284.0	93.0	176.0	46.0	12.0	4.0	0.0	29948.0	306708.0
Pli-AMvi_024-Ex1-9B-lcwgs-1-1.clmp.fp2_r1_screen	3246.0	3547.0	966.0	361.0	92.0	188.0	78.0	14.0	1.0	0.0	24228.0	297791.0
Pli-AMvi_024-Ex1-9B-lcwgs-1-1.clmp.fp2_r2_screen	3262.0	3585.0	960.0	350.0	92.0	193.0	69.0	16.0	0.0	0.0	23996.0	297989.0
Pli-AMvi_024-Ex1-9B-lcwgs-2-1.clmp.fp2_r1_screen	127364.0	13204.0	1840.0	511.0	117.0	252.0	61.0	51.0	0.0	0.0	88498.0	608616.0
Pli-AMvi_024-Ex1-9B-lcwgs-2-1.clmp.fp2_r2_screen	124260.0	13102.0	1834.0	555.0	102.0	252.0	88.0	48.0	4.0	0.0	84089.0	616180.0
Pli-AMvi_025-Ex1-10B-lcwgs-1-1.clmp.fp2_r1_screen	618.0	1011.0	244.0	109.0	36.0	66.0	14.0	9.0	0.0	0.0	8979.0	92037.0
Pli-AMvi_025-Ex1-10B-lcwgs-1-1.clmp.fp2_r2_screen	618.0	982.0	228.0	92.0	34.0	68.0	17.0	11.0	0.0	0.0	8902.0	92171.0
Pli-AMvi_025-Ex1-10B-lcwgs-2-1.clmp.fp2_r1_screen	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	36.0
Pli-AMvi_025-Ex1-10B-lcwgs-2-1.clmp.fp2_r2_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	38.0
Pli-AMvi_026-Ex1-11B-lcwgs-1-1.clmp.fp2_r1_screen	29819.0	23775.0	4591.0	2447.0	755.0	1240.0	397.0	122.0	11.0	0.0	167098.0	1907673.0
Pli-AMvi_026-Ex1-11B-lcwgs-1-1.clmp.fp2_r2_screen	29647.0	24111.0	4568.0	2393.0	724.0	1275.0	367.0	113.0	21.0	0.0	164043.0	1910666.0
Pli-AMvi_026-Ex1-11B-lcwgs-2-1.clmp.fp2_r1_screen	25.0	14.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	1492.0
Pli-AMvi_026-Ex1-11B-lcwgs-2-1.clmp.fp2_r2_screen	17.0	15.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	137.0	1498.0
Pli-AMvi_027-Ex1-12B-lcwgs-1-1.clmp.fp2_r1_screen	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	222.0
Pli-AMvi_027-Ex1-12B-lcwgs-1-1.clmp.fp2_r2_screen	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	222.0
Pli-AMvi_027-Ex1-12B-lcwgs-2-1.clmp.fp2_r1_screen	99.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	756.0
Pli-AMvi_027-Ex1-12B-lcwgs-2-1.clmp.fp2_r2_screen	94.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	71.0	755.0
Pli-AMvi_028-Ex1-1D-lcwgs-1-1.clmp.fp2_r1_screen	14.0	34.0	8.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1217.0	3337.0
Pli-AMvi_028-Ex1-1D-lcwgs-1-1.clmp.fp2_r2_screen	15.0	34.0	6.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	1264.0	3289.0
Pli-AMvi_028-Ex1-1D-lcwgs-2-1.clmp.fp2_r1_screen	56.0	9.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	479.0
Pli-AMvi_028-Ex1-1D-lcwgs-2-1.clmp.fp2_r2_screen	53.0	14.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	473.0
Pli-AMvi_029-Ex1-2D-lcwgs-1-1.clmp.fp2_r1_screen	4094.0	6078.0	1632.0	579.0	210.0	332.0	102.0	42.0	3.0	0.0	74738.0	519868.0
Pli-AMvi_029-Ex1-2D-lcwgs-1-1.clmp.fp2_r2_screen	4042.0	6188.0	1673.0	510.0	212.0	317.0	94.0	39.0	7.0	0.0	73513.0	521083.0
Pli-AMvi_029-Ex1-2D-lcwgs-2-1.clmp.fp2_r1_screen	737.0	362.0	42.0	28.0	14.0	9.0	2.0	2.0	0.0	0.0	3738.0	39040.0
Pli-AMvi_029-Ex1-2D-lcwgs-2-1.clmp.fp2_r2_screen	744.0	341.0	40.0	19.0	18.0	6.0	2.0	3.0	1.0	0.0	3712.0	39088.0
Pli-AMvi_030-Ex1-3D-lcwgs-1-1.clmp.fp2_r1_screen	151.0	655.0	67.0	60.0	22.0	26.0	9.0	1.0	0.0	0.0	8452.0	73092.0
Pli-AMvi_030-Ex1-3D-lcwgs-1-1.clmp.fp2_r2_screen	142.0	644.0	60.0	61.0	23.0	26.0	2.0	2.0	0.0	0.0	8516.0	73059.0
Pli-AMvi_030-Ex1-3D-lcwgs-2-1.clmp.fp2_r1_screen	277.0	320.0	21.0	21.0	8.0	6.0	3.0	4.0	0.0	0.0	3050.0	39927.0
Pli-AMvi_030-Ex1-3D-lcwgs-2-1.clmp.fp2_r2_screen	272.0	352.0	19.0	16.0	10.0	10.0	4.0	5.0	0.0	0.0	2982.0	39967.0
Pli-AMvi_031-Ex1-4D-lcwgs-1-1.clmp.fp2_r1_screen	21.0	62.0	3.0	4.0	3.0	1.0	1.0	0.0	0.0	0.0	2049.0	4029.0
Pli-AMvi_031-Ex1-4D-lcwgs-1-1.clmp.fp2_r2_screen	24.0	57.0	4.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	2133.0	3950.0
Pli-AMvi_031-Ex1-4D-lcwgs-2-1.clmp.fp2_r1_screen	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	82.0
Pli-AMvi_031-Ex1-4D-lcwgs-2-1.clmp.fp2_r2_screen	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	79.0
Pli-AMvi_032-Ex1-5C-lcwgs-1-1.clmp.fp2_r1_screen	1345.0	1756.0	333.0	164.0	65.0	92.0	34.0	10.0	1.0	0.0	16763.0	184238.0
Pli-AMvi_032-Ex1-5C-lcwgs-1-1.clmp.fp2_r2_screen	1354.0	1751.0	347.0	166.0	53.0	123.0	27.0	10.0	2.0	0.0	16586.0	184382.0
Pli-AMvi_032-Ex1-5C-lcwgs-2-1.clmp.fp2_r1_screen	8860.0	4260.0	537.0	364.0	166.0	191.0	49.0	22.0	4.0	0.0	29521.0	487105.0
Pli-AMvi_032-Ex1-5C-lcwgs-2-1.clmp.fp2_r2_screen	8746.0	4236.0	541.0	351.0	156.0	187.0	47.0	24.0	1.0	0.0	29366.0	487424.0
Pli-AMvi_033-Ex1-6C-lcwgs-1-1.clmp.fp2_r1_screen	29.0	97.0	12.0	10.0	3.0	2.0	2.0	0.0	0.0	0.0	1409.0	11500.0
Pli-AMvi_033-Ex1-6C-lcwgs-1-1.clmp.fp2_r2_screen	28.0	90.0	16.0	8.0	2.0	1.0	1.0	0.0	1.0	0.0	1433.0	11484.0
Pli-AMvi_033-Ex1-6C-lcwgs-2-1.clmp.fp2_r1_screen	6805.0	6935.0	743.0	549.0	348.0	249.0	81.0	69.0	18.0	0.0	57338.0	900697.0
Pli-AMvi_033-Ex1-6C-lcwgs-2-1.clmp.fp2_r2_screen	6706.0	6906.0	722.0	525.0	340.0	246.0	85.0	63.0	2.0	0.0	56956.0	901281.0
Pli-AMvi_034-Ex1-7C-lcwgs-1-1.clmp.fp2_r1_screen	3.0	18.0	6.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	714.0	1413.0
Pli-AMvi_034-Ex1-7C-lcwgs-1-1.clmp.fp2_r2_screen	4.0	18.0	5.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	744.0	1386.0
Pli-AMvi_034-Ex1-7C-lcwgs-2-1.clmp.fp2_r1_screen	72.0	23.0	47.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	296.0	2332.0
Pli-AMvi_034-Ex1-7C-lcwgs-2-1.clmp.fp2_r2_screen	69.0	28.0	47.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	293.0	2332.0
Pli-AMvi_035-Ex1-8C-lcwgs-1-1.clmp.fp2_r1_screen	41.0	139.0	16.0	13.0	6.0	8.0	2.0	0.0	0.0	0.0	1640.0	18250.0
Pli-AMvi_035-Ex1-8C-lcwgs-1-1.clmp.fp2_r2_screen	41.0	146.0	23.0	16.0	5.0	7.0	2.0	1.0	0.0	0.0	1650.0	18224.0
Pli-AMvi_035-Ex1-8C-lcwgs-2-1.clmp.fp2_r1_screen	16.0	6.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	620.0
Pli-AMvi_035-Ex1-8C-lcwgs-2-1.clmp.fp2_r2_screen	17.0	7.0	41.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	87.0	620.0
Pli-AMvi_036-Ex1-9C-lcwgs-1-1.clmp.fp2_r1_screen	7338.0	1609.0	45577.0	214.0	57.0	62.0	20.0	9.0	1.0	0.0	26192.0	110369.0
Pli-AMvi_036-Ex1-9C-lcwgs-1-1.clmp.fp2_r2_screen	7248.0	1550.0	45596.0	197.0	50.0	72.0	26.0	8.0	0.0	0.0	25585.0	111116.0
Pli-AMvi_036-Ex1-9C-lcwgs-2-1.clmp.fp2_r1_screen	228799.0	22427.0	614583.0	1037.0	220.0	483.0	187.0	183.0	30.0	0.0	361253.0	1111242.0
Pli-AMvi_036-Ex1-9C-lcwgs-2-1.clmp.fp2_r2_screen	224086.0	22206.0	615474.0	1095.0	215.0	446.0	139.0	181.0	33.0	0.0	345667.0	1130902.0
Pli-AMvi_037-Ex1-10C-lcwgs-1-1.clmp.fp2_r1_screen	2459.0	7407.0	1266.0	727.0	267.0	472.0	144.0	51.0	0.0	0.0	46866.0	659124.0
Pli-AMvi_037-Ex1-10C-lcwgs-1-1.clmp.fp2_r2_screen	2454.0	7558.0	1250.0	671.0	250.0	403.0	135.0	46.0	2.0	0.0	46172.0	659842.0
Pli-AMvi_037-Ex1-10C-lcwgs-2-1.clmp.fp2_r1_screen	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	47.0
Pli-AMvi_037-Ex1-10C-lcwgs-2-1.clmp.fp2_r2_screen	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	47.0
Pli-AMvi_038-Ex1-11C-lcwgs-1-1.clmp.fp2_r1_screen	2828.0	2648.0	754.0	268.0	131.0	139.0	30.0	32.0	2.0	0.0	44758.0	257142.0
Pli-AMvi_038-Ex1-11C-lcwgs-1-1.clmp.fp2_r2_screen	2711.0	2737.0	672.0	276.0	127.0	124.0	25.0	29.0	2.0	0.0	44331.0	257698.0
Pli-AMvi_038-Ex1-11C-lcwgs-2-1.clmp.fp2_r1_screen	5.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	63.0
Pli-AMvi_038-Ex1-11C-lcwgs-2-1.clmp.fp2_r2_screen	5.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	63.0
Pli-AMvi_039-Ex1-12C-lcwgs-1-1.clmp.fp2_r1_screen	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	224.0
Pli-AMvi_039-Ex1-12C-lcwgs-1-1.clmp.fp2_r2_screen	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	218.0
Pli-AMvi_039-Ex1-12C-lcwgs-2-1.clmp.fp2_r1_screen	83931.0	5898.0	482.0	71.0	0.0	3.0	0.0	31.0	0.0	0.0	38775.0	194839.0
Pli-AMvi_039-Ex1-12C-lcwgs-2-1.clmp.fp2_r2_screen	82374.0	5701.0	490.0	86.0	0.0	0.0	2.0	28.0	1.0	0.0	35778.0	199570.0
Pli-AMvi_040-Ex1-5A-lcwgs-1-1.clmp.fp2_r1_screen	396.0	552.0	83.0	38.0	13.0	32.0	10.0	10.0	0.0	0.0	6039.0	57096.0
Pli-AMvi_040-Ex1-5A-lcwgs-1-1.clmp.fp2_r2_screen	362.0	552.0	77.0	49.0	12.0	40.0	4.0	10.0	0.0	0.0	6022.0	57141.0
Pli-AMvi_040-Ex1-5A-lcwgs-2-1.clmp.fp2_r1_screen	94678.0	17008.0	3031.0	1055.0	359.0	748.0	192.0	160.0	6.0	0.0	113773.0	1158101.0
Pli-AMvi_040-Ex1-5A-lcwgs-2-1.clmp.fp2_r2_screen	93127.0	17101.0	3025.0	1045.0	352.0	712.0	186.0	178.0	1.0	0.0	110976.0	1162408.0
